parameter	value
pastml_version	1.9.33
character	country
log_likelihood	-502.7602718772096
log_likelihood_restricted_JOINT	-518.1150653908006
log_likelihood_restricted_MAP	-519.8734962760922
log_likelihood_restricted_MPPA	-506.3394778294387
method	MPPA
model	F81
num_nodes	484
num_scenarios	116095057920
num_states_per_node_avg	1.128099173553719
num_tips	301
num_unresolved_nodes	21
percentage_of_unresolved_nodes	4.338842975206612
scaling_factor	0.19289074677205878
smoothing_factor	0.659320799618662
state_changes_per_avg_branch	0.2623037251699987
Angola	0.010459492257322388
Argentina	0.010168890789505856
Australia	0.01016875600590209
Brazil	0.012477494073294954
Cambodia	0.010219640723360391
Canada	0.061175648235739115
Cape Verde	0.010254956196630338
China	0.042078659001008524
Colombia	0.032104191017830325
Cuba	0.0328670292769734
Dominican Republic	0.03261842126280933
Ecuador	0.010209043085311327
El Salvador	0.010168504041417004
French Guiana	0.010168647722978149
French Polynesia	0.010658270128849893
Guatemala	0.031260864019072555
Guinea	1.1782617362729999e-08
Haiti	0.03105651410535648
Honduras	0.09545943766802427
India	0.01035235920113974
Indonesia	0.010168760979319685
Italy	0.0408983122453509
Jamaica	0.03417635362389451
Japan	0.050980842032433075
Martinique	0.01035552914068276
Mexico	0.06531001645432975
Micronesia	0.01016871527453278
Nicaragua	0.02370922285419053
Nigeria	1.1782617362729999e-08
Panama	0.020755163770506967
Peru	0.010210295504384034
Philippines	0.010168630508422503
Portugal	0.010168637872571254
Puerto Rico	0.010584184793389736
Russia	0.06133997458413802
Singapore	0.010396277928532706
South Korea	0.020493831230550198
Suriname	0.019931035417497963
Taiwan	0.020380888777169075
Thailand	0.015044390873754724
USA	0.038615353979982725
Venezuela	0.020434122413875225
Vietnam	0.011782617362729998
