node	country
root	Micronesia
root	Philippines
root	Thailand
root	USA
EU545988	Micronesia
n0	Micronesia
n0	Philippines
n0	Thailand
n00	Mexico
n00	Micronesia
n00	Nicaragua
n00	Philippines
n00	South Korea
n00	Thailand
n00	USA
n2	Thailand
KU681082	Philippines
n1	South Korea
n22	Thailand
n33	Thailand
KY120353	South Korea
n11	South Korea
MG645981	Thailand
n3	Cambodia
n4	Thailand
n7	Thailand
KY553111	South Korea
KY962729	South Korea
KU955593	Cambodia
MH158236	Cambodia
JN860885	Cambodia
MK028862	Cambodia
n44	Thailand
n55	Thailand
KU179098	Indonesia
n77	Thailand
n5	Thailand
KY272987	Thailand
n6	Thailand
n66	Thailand
KX051560	Thailand
n8	Thailand
KX694532	Thailand
KF993678	Canada
MH119185	Thailand
KX051561	Thailand
KY328290	China
KX051562	Thailand
n88	India
n1010	Thailand
MK238035	India
n9	India
KU681081	Thailand
n1111	Thailand
MK238039	India
n99	India
n12	Thailand
n25	Vietnam
n10	India
MK238036	India
n1212	Thailand
n1313	Thailand
n2525	Vietnam
n30	French Polynesia
MK238037	India
MK238038	India
MG807647	Thailand
n13	Singapore
n13	Taiwan
n13	Thailand
n14	Thailand
n1616	Thailand
n26	Vietnam
n2828	Vietnam
KX447517	French Polynesia
n3030	French Polynesia
KY241691	Singapore
KY126351	Taiwan
MH013290	Thailand
n1414	Thailand
MG807646	Thailand
n17	Singapore
n2626	Vietnam
8607_IonXpress_035_rawlib	Vietnam
n27	Vietnam
n29	Vietnam
n2929	China
KX447516	French Polynesia
n31	Australia
n31	China
n31	French Polynesia
KX447515	French Polynesia
n3636	French Polynesia
n187187	French Polynesia
MF692778	Taiwan
n15	Thailand
KY241688	Singapore
n1717	Singapore
3015_IonXpress_030_rawlib	Vietnam
3015u_IonXpress_001_rawlib	Vietnam
7938_IonXpress_048_rawlib	Vietnam
n2727	Vietnam
IonXpress_039_rawlib	Vietnam
8628_IonXpress_066_rawlib	Vietnam
IonXpress_040_rawlib	Vietnam
8711_IonXpress_002_rawlib	Vietnam
IonXpress_041_rawlib	Vietnam
IonXpress_004_rawlib	Vietnam
MN190155	China
MN611472	China
n3131	Australia
n3131	China
n3131	French Polynesia
n3131	Japan
n32	China
n37	French Polynesia
KX447511	French Polynesia
n38	French Polynesia
n3838	French Polynesia
n187	French Polynesia
KX447521	French Polynesia
KX447514	French Polynesia
KX447509	French Polynesia
KJ776791	French Polynesia
n1515	Thailand
LC369584	Japan
KY241722	Singapore
n18	Singapore
KY241765	Singapore
KY241704	Singapore
KY241715	Singapore
KY241745	Singapore
n19	Singapore
KX827309	Singapore
KY241731	Singapore
KY241674	Singapore
n1919	Singapore
KY241769	Singapore
KY241733	Singapore
n20	Singapore
KY241735	Singapore
KY241711	Singapore
KY241748	Singapore
KY241687	Singapore
KY241723	Singapore
KY241771	Singapore
KY241705	Singapore
KY241695	Singapore
KY241752	Singapore
KY241710	Singapore
KY241754	Singapore
KY241737	Singapore
n2020	Singapore
KY241703	Singapore
KY241725	Singapore
n21	Singapore
MH255601	Singapore
KY241679	Singapore
KY241726	Singapore
KY241701	Singapore
KY241760	Singapore
KY241728	Singapore
KY241742	Singapore
KY241757	Singapore
KY241732	Singapore
KY241739	Singapore
KY241746	Singapore
KY241747	Singapore
KY241750	Singapore
KY241772	Singapore
KY241753	Singapore
KY241762	Singapore
KY241718	Singapore
KY241755	Singapore
KY241761	Singapore
KY241719	Singapore
KY241763	Singapore
KY241743	Singapore
KY241699	Singapore
KY241741	Singapore
KY241770	Singapore
KY241758	Singapore
KY241768	Singapore
KY241708	Singapore
KY241702	Singapore
KY241724	Singapore
KY241764	Singapore
KY241709	Singapore
n2121	Singapore
KY241696	Singapore
n2222	Singapore
8546_IonXpress_034_rawlib	Vietnam
7040_IonXpress_033_rawlib	Vietnam
n28	Vietnam
KX806557	Australia
LC191864	Japan
KU761561	China
n3232	China
KX447512	French Polynesia
n3737	French Polynesia
KY766069	French Polynesia
KX447520	French Polynesia
MG976700	French Polynesia
KX447518	French Polynesia
n39	Brazil
KX447510	French Polynesia
KX447513	French Polynesia
KX447519	French Polynesia
n16	Thailand
MG548660	Thailand
n1818	Singapore
KY241730	Singapore
KY241720	Singapore
KY241717	Singapore
KY241684	Singapore
KY241677	Singapore
KY241680	Singapore
KY241767	Singapore
KY241675	Singapore
KY241685	Singapore
KY241681	Singapore
KY241676	Singapore
KY241678	Singapore
KY241756	Singapore
KY241751	Singapore
KY241773	Singapore
KY241707	Singapore
KY241729	Singapore
KY241738	Singapore
KY241744	Singapore
KY241734	Singapore
KY241714	Singapore
KY241727	Singapore
KY241682	Singapore
KY241713	Singapore
KX813683	Singapore
KY241689	Singapore
KY241736	Singapore
KY241683	Singapore
n23	Singapore
n24	Singapore
LC219720	Japan
222_IonXpress_003_rawlib	Vietnam
KU761560	China
n3333	China
MG827392	French Polynesia
KX369547	French Polynesia
n3939	Brazil
n42	Brazil
MG548661	Thailand
MF996804	Thailand
KY241766	Singapore
KY241673	Singapore
KY241694	Singapore
KY241686	Singapore
n2323	Singapore
KY241690	Singapore
KY241706	Singapore
KY241697	Singapore
KY241721	Singapore
KY241716	Singapore
KY241749	Singapore
n2424	Singapore
KY241671	Singapore
KX117076	China
n34	China
KX051563	USA
n40	Brazil
n4242	Brazil
n47	Brazil
n4747	Brazil
n7070	Brazil
KY241788	Singapore
n7373	Brazil
n74	Brazil
n145145	Brazil
n148148	Brazil
n152152	Brazil
KY241693	Singapore
KY241759	Singapore
KY241692	Singapore
KY241698	Singapore
KY241740	Singapore
n3434	China
KU820899	China
KX185891	China
n36	China
KU963796	China
KU509998	Haiti
n4040	Brazil
n43	Italy
n4343	Brazil
KY559003	Brazil
KU729218	Brazil
KY559030	Brazil
n48	Brazil
KY014313	Brazil
n71	Brazil
KY559024	Brazil
KY559023	Brazil
KY559018	Brazil
MK216724	Brazil
n7474	Brazil
n108	Brazil
KY559021	Brazil
n146	Brazil
n147147	Brazil
n149	Argentina
n149	Brazil
n149	USA
n149149	Brazil
n153	Brazil
n157	Brazil
n186	Brazil
KX253996	China
n35	China
KX266255	China
KU955589	China
n3535	China
KU866423	China
KU997667	China
KX013000	China
KU321639	Brazil
KR872956	Brazil
KX197192	Brazil
n41	Brazil
n4141	Brazil
KY003153	Italy
KY003154	Italy
KX101060	Brazil
n4444	Brazil
KY785429	Brazil
KU497555	Brazil
n4848	Brazil
n68	Brazil
n69	Brazil
KY559031	Brazil
n7171	Brazil
n72	Brazil
KY014309	Brazil
n7272	Brazil
KY014317	Brazil
n75	Brazil
MH513600	Brazil
n9292	Brazil
KY441401	Brazil
n108108	Brazil
KY559004	Brazil
n109	Brazil
n109109	Brazil
n109109	Honduras
KY785446	Brazil
n146146	Brazil
KY785483	Dominican Republic
n148	Brazil
MT636065	Argentina
MK269360	USA
n150	Brazil
n150150	Brazil
n153153	Brazil
n155	Colombia
n156156	Brazil
n157157	Brazil
n158	Brazil
KY559000	Brazil
n186186	Brazil
MF036115	China
KY967711	China
MG674718	China
MG674719	China
MF352141	Brazil
MT078742	Brazil
KY558993	Brazil
KY558990	Brazil
KX101067	Brazil
n45	Brazil
KU940228	Brazil
n4646	Brazil
n49	Brazil
n5050	Brazil
KY558996	Brazil
n51	Brazil
n51	Colombia
KY558999	Brazil
KY558995	Brazil
KY559001	Brazil
n6868	Brazil
KY559002	Brazil
KY558997	Brazil
KY558992	Brazil
n6969	Brazil
KY014301	Brazil
KY785479	Brazil
KY014296	Brazil
KY014320	Brazil
n73	Brazil
KY785427	Brazil
n7575	Brazil
n7777	Brazil
n93	Brazil
n9393	Brazil
n9595	Brazil
n9696	Brazil
KY559025	Brazil
KY272991	Brazil
KY559032	Brazil
KY014308	Brazil
KU926309	Brazil
KY785437	Brazil
KY785410	Brazil
KY558991	Brazil
n110	Nicaragua
n110110	Honduras
MN473450	Canada
MH882544	Brazil
MH882543	Brazil
n147	Brazil
KX830930	Brazil
KX197205	Brazil
KY559007	Brazil
KY559005	Brazil
KY559008	Brazil
n151	Brazil
KY559016	Brazil
n154	Angola
n155155	Colombia
MK049249	Colombia
MK049252	Colombia
MH513599	Brazil
KX280026	Brazil
KU527068	Brazil
KU926310	Brazil
MF073359	Brazil
n158158	Brazil
n182	Brazil
n183	Brazil
MK216721	Brazil
MK216697	Brazil
n4545	Brazil
KX101061	Brazil
KX101065	Brazil
n46	Brazil
KU940224	Brazil
KX520666	Brazil
n4949	Brazil
n50	Brazil
KY559015	Brazil
KY559014	Brazil
MN473453	Canada
n5151	Colombia
KU991811	Italy
KY559022	Brazil
n70	Brazil
KY014307	Brazil
KY559027	Brazil
MH763833	Brazil
MH763832	Brazil
KY559020	Brazil
n76	Brazil
MH513598	Brazil
n78	Brazil
n7878	Brazil
KU312312	Suriname
MK216698	Brazil
MK216706	Brazil
MK216692	Brazil
n94	Brazil
n9494	Brazil
n96	Brazil
MK216722	Brazil
n97	Brazil
n98	Brazil
n9898	Brazil
n9999	Brazil
n101101	Brazil
MK216691	Brazil
n102	Brazil
