node	Angola	Argentina	Australia	Brazil	Cambodia	Canada	Cape Verde	China	Colombia	Cuba	Dominican Republic	Ecuador	El Salvador	French Guiana	French Polynesia	Guatemala	Guinea	Haiti	Honduras	India	Indonesia	Italy	Jamaica	Japan	Martinique	Mexico	Micronesia	Nicaragua	Nigeria	Panama	Peru	Philippines	Portugal	Puerto Rico	Russia	Singapore	South Korea	Suriname	Taiwan	Thailand	USA	Venezuela	Vietnam
root	0.0027679507826564387	0.0027372475060877064	0.0027372002622573846	0.014075005839301626	0.0038817784158265813	0.01637231595069256	0.0027433611496823686	0.015603088058268969	0.01727800746878198	0.008563524117510003	0.014559156474769124	0.0027395188819293185	0.0027374256927439663	0.002737236016168766	0.0027851788113117497	0.008292562604973722	2.961875523944231e-09	0.008234444272568557	0.0030294070594793607	0.0027516625058786734	0.002737567544875583	0.01094294250537678	0.010933487512754051	0.013617130993257861	0.002770594163572942	0.03609660440014395	0.1152833516745059	0.034343522033659805	2.961875523944231e-09	0.005593395387310995	0.0027395594976371796	0.04756184139846389	0.0027373428842564487	0.005624179811917107	0.016385745910939855	0.011511604571811659	0.03195357100040955	0.005547258348739858	0.005470486808947786	0.4531008193378612	0.04198572098275097	0.00547531499366806	0.002961880442498553
EU545988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n0	0.0026610814985787495	0.0026315636611465433	0.0026315182413783962	0.013531576452167845	0.003826294935387813	0.015740188512873125	0.00263744125982373	0.015000660138407491	0.01661091168801611	0.008232890459803844	0.013997034258224366	0.002633747340230111	0.0026317349680994116	0.002631552614847995	0.0026776444225270818	0.007972390644433135	2.8475188963789926e-09	0.007916516233637722	0.002912443070937718	0.002645424297177686	0.0026318972777218267	0.010520440617488953	0.010511350677705634	0.013091379939605605	0.0026636228197953974	0.03470293140059128	0.10626501558554168	0.033017534723682726	2.8475188963789926e-09	0.005377437009600357	0.002633786387784504	0.04943165084039997	0.002631655356808836	0.005407032861982204	0.015753099931266588	0.01106714691038792	0.032908559722501986	0.005333081300492322	0.005259273876829589	0.4727943707421294	0.04036467194856041	0.005263915644684126	0.002847524031701908
n00	0.00373693418828389	0.003695482539424759	0.0036954187568294106	0.019002278093508313	0.004091016994038993	0.02210381305011269	0.0037037364014179076	0.02106529977155024	0.023326562459159834	0.01156137827573822	0.019655916544485934	0.0036985490614489746	0.003695723104326363	0.0036954670272013558	0.0037601925276893704	0.011195560593483707	3.998746645432051e-09	0.011117096632096913	0.004089919113349397	0.003714917127870116	0.0036955987367073137	0.014773765568736684	0.014761000643361845	0.018384113862813783	0.003740502944123565	0.048733032360640575	0.03774334182052144	0.04636624409574773	3.998746645432051e-09	0.00755148920363815	0.00369860389559857	0.2037331821423053	0.003695611306865937	0.007593050408229666	0.022121944681530246	0.015541500544760098	0.12553520291911566	0.00748920085737746	0.007385553678472853	0.15877720301110115	0.05668376661293574	0.007392072113299999	0.0039987483326063954
n2	6.386132584724241e-05	6.315294910809676e-05	6.315185911268883e-05	0.0003247342907386684	0.0025685283631939992	0.000377737593253915	6.329400124968792e-05	0.0003599899129120476	0.0003986329785445208	0.0001975750463106787	0.00033590446821598117	6.320535360663467e-05	6.3157060176902e-05	6.315268401615147e-05	6.426041867796655e-05	0.00019132350399548827	6.833549900480719e-11	0.0001899826153544473	6.989356623013358e-05	6.354311280426032e-05	6.384144644186831e-05	0.00025247226989810436	0.0002522541271592426	0.00031417034037272833	6.392231313469886e-05	0.0008328099726413084	0.0012463808017604602	0.0007923633848823834	6.833549900480719e-11	0.00012904913181972078	6.320629067999974e-05	0.0005974904842937579	6.315514964444694e-05	0.00012975938078191662	0.00037804698892239373	0.00026559233964923326	0.0004420368440304203	0.0001279846719773422	0.00012621349868387682	0.9871108163190097	0.0009686818947111545	0.0001263248165819458	6.834629290263907e-05
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1	8.920304300174999e-07	8.821356525625813e-07	8.821204272433517e-07	4.5359670374201995e-06	8.941191072400419e-07	5.276323534203871e-06	8.8410590295825e-07	5.028423687913759e-06	5.56820176456735e-06	2.7597759862176817e-06	4.6919947754332425e-06	8.8286765126047e-07	8.821930769649958e-07	8.821319496942364e-07	8.975822928612196e-07	2.6724529326213446e-06	9.545267617607844e-13	2.653723076089169e-06	9.762902212343415e-07	8.867729000049656e-07	8.821407405338723e-07	3.526593669906169e-06	3.5235465994207005e-06	4.388407225888225e-06	8.928823151848312e-07	1.1632890926741811e-05	1.8423371409684765e-06	1.106792321596115e-05	9.545267617607844e-13	1.8025894549369326e-06	8.828807405276549e-07	6.52379586946018e-06	8.821663901860286e-07	1.8125103840557943e-06	5.280651687406608e-06	3.709856986195645e-06	0.9998730947037376	1.7877208226569731e-06	1.7629795662100486e-06	5.424363075220962e-06	1.3530782764458844e-05	1.7645355614291676e-06	9.545268093441712e-07
n22	6.358317214383013e-05	6.287788080278404e-05	6.287679555494837e-05	0.00032331988155759404	0.005519115546628505	0.00037609207512882316	6.301831857918567e-05	0.00035842185222312973	0.0003968966970343365	0.00019671449056580387	0.0003344414063301303	6.293005704885224e-05	6.288197396546225e-05	6.287761686547038e-05	6.397964893014893e-05	0.0001904901774010255	6.803785764095295e-11	0.0001891551291201152	6.958913856544484e-05	6.323500748983965e-05	6.319272010291106e-05	0.0002513726043971243	0.00025115541179842764	0.0003128019434089321	6.364389379571386e-05	0.0008291825944894209	0.0006038116194647356	0.0007889121754527434	6.803785764095295e-11	0.00012848704681034192	6.293099004071065e-05	0.00030716058457518346	6.288007175450179e-05	0.00012919420221980363	0.00037640037152700555	0.00026443549040855755	0.00027019138639501904	0.00012742722331779421	0.0001256637228836201	0.9853003788410132	0.0009644627142781202	0.00012577459757069016	6.804279228428986e-05
n33	8.795882712829585e-08	8.698315074961777e-08	8.698164945417199e-08	4.4726987676447824e-07	1.6213260028379952e-06	5.213100865432484e-07	8.717742765780427e-08	4.962150060962558e-07	5.490535747927828e-07	2.721282264774096e-07	4.626550210076393e-07	8.705532961791542e-08	8.69888130935412e-08	8.698278562759316e-08	9.217247548579856e-08	2.6351772047096716e-07	9.41212895903134e-14	2.6167085947002677e-07	9.626727957577917e-08	2.1833057965555197e-07	1.6351438232481617e-06	3.4774042737189334e-07	3.4743997041766834e-07	4.3271976088812427e-07	8.804282742430033e-08	1.1470633821399243e-06	8.115885106817632e-07	1.091354635517177e-06	9.41212895903134e-14	1.7774466981689874e-07	8.705662028755046e-08	4.1421101087340644e-07	8.698618163871768e-08	1.787229248852835e-07	5.20699645737679e-07	3.6597029744849956e-07	3.674519767151889e-07	1.7627854555438733e-07	1.740128671204273e-07	0.9999840111316056	1.3342053612074783e-06	1.739923585414388e-07	1.1839771595864726e-07
KY120353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
