name	bootstrap
n11	84.0
n1	100.0
n00	100.0
n3	100.0
n22	100.0
n5	100.0
n44	100.0
n6	100.0
n66	83.0
n55	94.0
n4	100.0
n10	83.0
n99	48.0
n9	78.0
n88	100.0
n13	100.0
n1212	99.0
n16	53.0
n1515	99.0
n15	99.0
n1414	98.0
n14	96.0
n1818	59.0
n18	56.0
n19	77.0
n1919	46.0
n20	5.0
n2020	62.0
n21	93.0
n2121	67.0
n2323	26.0
n23	52.0
n2424	63.0
n24	27.0
n2222	3.0
n1717	22.0
n17	53.0
n1616	91.0
n1313	95.0
n12	95.0
n2626	77.0
n28	91.0
n2727	81.0
n27	40.0
n26	91.0
n29	51.0
n2929	100.0
n2828	25.0
n2525	49.0
n3131	85.0
n35	97.0
n3535	87.0
n3434	62.0
n36	50.0
n34	48.0
n3333	86.0
n3232	49.0
n32	99.0
n31	97.0
n3737	94.0
n37	56.0
n38	98.0
n41	91.0
n4141	98.0
n4040	78.0
n40	59.0
n3939	56.0
n43	100.0
n4545	52.0
n46	27.0
n45	24.0
n4646	48.0
n4444	38.0
n4343	60.0
n4242	95.0
n47	43.0
n4949	100.0
n50	100.0
n49	49.0
n5050	65.0
n5353	60.0
n5454	99.0
n54	95.0
n53	64.0
n5555	100.0
n5252	62.0
n52	51.0
n5656	93.0
n57	56.0
n58	96.0
n5858	51.0
n5757	27.0
n61.polytomy_8	27.0
n61	74.0
n6060	69.0
n62	84.0
n6161	91.0
n60	85.0
n5959	39.0
n6363	91.0
n6464	64.0
n64	70.0
n65	96.0
n6565	63.0
n6666	98.0
n63	49.0
n6767	100.0
n67	62.0
n6262	98.0
n59	43.0
n56	21.0
n5151	46.0
n51	54.0
n4848	27.0
n6868	37.0
n68	14.0
n70	85.0
n6969	29.0
n69	17.0
n48	6.0
n4747	1.0
n7171	82.0
n72	100.0
n73	100.0
n7272	59.0
n71	75.0
n7070	56.0
n7373	14.0
n7676	91.0
n76	99.0
n7575	38.0
n78	100.0
n79	99.0
n8181	67.0
n81	69.0
n8080	100.0
n83	96.0
n8282	99.0
n82	77.0
n80	99.0
n7979	88.0
n8484	68.0
n86	70.0
n8787	99.0
n87	51.0
n89.polytomy_8	2.0
n89	39.0
n8989	90.0
n8888	9.0
n8686	56.0
n91	94.0
n9090	65.0
n90	96.0
n8585	80.0
n85	72.0
n84	33.0
n8383	32.0
n92	92.0
n9191	99.0
n7878	21.0
n7777	36.0
n75	20.0
n93	99.0
n94	92.0
n95	53.0
n9494	45.0
n9393	28.0
n96	72.0
n9595	67.0
n9797	86.0
n97	56.0
n98	75.0
n9898	99.0
n100	39.0
n101	52.0
n100100	48.0
n9999	94.0
n101101	100.0
n104104	100.0
n104	93.0
n103103	53.0
n103	69.0
n102102	94.0
n106106	100.0
n106	69.0
n105105	52.0
n107107	64.0
n107	48.0
n105	68.0
n102	60.0
n9696	40.0
n9292	79.0
n7474	15.0
n108108	34.0
n109	33.0
n110	96.0
n111.polytomy_25	7.0
n111	7.0
n111111	36.0
n112112	100.0
n112	40.0
n117	100.0
n116116	77.0
n117117	46.0
n116	35.0
n118118	88.0
n118	50.0
n115115	18.0
n120120	95.0
n120	56.0
n121121	80.0
n121	83.0
n122122	99.0
n125125	87.0
n126	86.0
n125	99.0
n124124	89.0
n126126	98.0
n124	51.0
n123123	43.0
n128	65.0
n127127	76.0
n127	25.0
n123	55.0
n122	52.0
n128128	53.0
n129129	94.0
n130130	66.0
n130	41.0
n131131	73.0
n132132	93.0
n132.polytomy_27	40.0
n132	40.0
n131	18.0
n133	35.0
n129	6.0
n143143	99.0
n144	52.0
n143	46.0
n142142	80.0
n142.polytomy_25	14.0
n142	30.0
n145	100.0
n144144	41.0
n114114	90.0
n115	65.0
n114	70.0
n113113	67.0
n113	33.0
n110110.polytomy_15	14.0
n119119	27.0
n119	19.0
n135135	97.0
n135	51.0
n136136	100.0
n137	100.0
n137137	87.0
n136	87.0
n138138	98.0
n140	91.0
n139139	90.0
n139	99.0
n138	57.0
n134134	87.0
n134	87.0
n141141	74.0
n141	32.0
n140140	23.0
n133133	87.0
n110110.polytomy_25	87.0
n110110	87.0
n109109	87.0
n108	87.0
n74	87.0
n147	69.0
n146146	99.0
n146	97.0
n148	100.0
n147147	41.0
n145145	41.0
n149	100.0
n150	86.0
n152	42.0
n151151	35.0
n151	57.0
n150150	28.0
n149149	38.0
n148148	31.0
n154154	93.0
n154	99.0
n153153	70.0
n156	94.0
n155155	55.0
n155	99.0
n156156	100.0
n153	35.0
n157157	33.0
n162	96.0
n162162	56.0
n163	77.0
n164164	100.0
n164	59.0
n163163	7.0
n165	77.0
n165165	100.0
n166166	90.0
n166	88.0
n167	100.0
n168	96.0
n168168	100.0
n167167	81.0
n170	64.0
n170170	64.0
n169169	95.0
n172172	99.0
n173173	46.0
n173	84.0
n172	66.0
n171171	97.0
n177	45.0
n177177	23.0
n178	70.0
n176176	7.0
n178178	53.0
n179	99.0
n176	56.0
n175175	67.0
n175	66.0
n174174	53.0
n174	27.0
n180	96.0
n180180	98.0
n179179	64.0
n171	24.0
n181	87.0
n161161	84.0
n161	43.0
n169	61.0
n160160.polytomy_9	0.0
n160160.polytomy_22	0.0
n160160	9.0
n181181	100.0
n160	44.0
n159159	35.0
n159	38.0
n158158	35.0
n182182	100.0
n182	54.0
n184184	66.0
n185185	61.0
n185	53.0
n184	54.0
n183183	46.0
n183	100.0
n158	51.0
n157	26.0
n186186	97.0
n186	73.0
n152152	12.0
n42	87.0
n39	87.0
n3838	87.0
n187	64.0
n3636	87.0
n187187	59.0
n3030	87.0
n30	87.0
n25	87.0
n1111	87.0
n1010	87.0
n8	87.0
n77	87.0
n7	87.0
n33	87.0
n2	87.0
n0	87.0
