parameter	value
pastml_version	1.9.29.6
character	country
log_likelihood	-707.1853857386034
log_likelihood_restricted_JOINT	-718.9821927094049
log_likelihood_restricted_MAP	-721.025539492696
log_likelihood_restricted_MPPA	-710.1078928010412
method	MPPA
model	F81
num_nodes	1126
num_scenarios	94058496
num_states_per_node_avg	1.0310834813499112
num_tips	747
num_unresolved_nodes	18
percentage_of_unresolved_nodes	1.5985790408525755
scaling_factor	0.14552598702719613
smoothing_factor	0.2864711618918617
state_changes_per_avg_branch	0.14382843881251411
Angola	0.00757834566364278
Argentina	0.00749428345982689
Australia	0.00749415411140087
Brazil	0.03853582229003766
Cambodia	0.007502262129039436
Canada	0.04482560483863717
Cape Verde	0.007511021945465767
China	0.04271954359648274
Colombia	0.04730528945741209
Cuba	0.02344598981602895
Dominican Republic	0.03986137362998034
Ecuador	0.007500502237764464
El Salvador	0.007494771315348663
French Guiana	0.007494252001688893
French Polynesia	0.0076255120828960035
Guatemala	0.022704126912826385
Guinea	8.109290336293735e-09
Haiti	0.022545005292918942
Honduras	0.0082941842739637
India	0.00753367754170255
Indonesia	0.00749430090535238
Italy	0.02996057639562731
Jamaica	0.02993468966281743
Japan	0.037282211179674035
Martinique	0.007585582950675388
Mexico	0.09882854389684244
Micronesia	0.007493794891299727
Nicaragua	0.09402879664942082
Nigeria	8.109290336293735e-09
Panama	0.015314103106192977
Peru	0.007500613439118053
Philippines	0.007494230156904706
Portugal	0.007494544594792168
Puerto Rico	0.015398387484435049
Russia	0.044862375172202
Singapore	0.03151751067635107
South Korea	0.015009060925663408
Suriname	0.015187784954735812
Taiwan	0.0149775928023364
Thailand	0.009117159862493797
USA	0.11495229920207846
Venezuela	0.01499081193904793
Vietnam	0.008109290336293736
