node	country
root	China
root	Cuba
root	Dominican Republic
root	Guatemala
root	Haiti
root	Italy
root	Jamaica
root	Japan
root	Malaysia
root	Mexico
root	Nicaragua
root	Russia
root	Singapore
root	USA
HQ234499	Malaysia
n0	Philippines
n0	Thailand
n00	Philippines
n00	South Korea
n00	Thailand
n00	USA
n11	Thailand
n1	South Korea
KU681082	Philippines
n2	Thailand
n3	Thailand
KY120353	South Korea
KY553111	South Korea
MG645981	Thailand
n22	Cambodia
n33	Thailand
n6	Thailand
J860885	Cambodia
KU955593	Cambodia
n4	Thailand
n5	Thailand
KU179098	Indonesia
n66	Thailand
KY272987	Thailand
n44	Thailand
n55	Thailand
KX051561	Thailand
KX051560	Thailand
n7	Thailand
KF993678	Canada
KX694532	Thailand
KY328290	China
KX051562	Thailand
n77	India
n9	Thailand
n8	India
MK238035	India
KU681081	Thailand
n99	Thailand
MK238036	India
n88	India
n10	Thailand
n1313	French Polynesia
n1313	Thailand
n1313	Vietnam
MK238037	India
MK238038	India
n1010	Thailand
n12	Thailand
n14	Vietnam
n1717	French Polynesia
MG807647	Thailand
n1111	Singapore
n1111	Taiwan
n1111	Thailand
MG807646	Thailand
n1212	Thailand
n1414	Vietnam
n15	Vietnam
KX447517	French Polynesia
n18	French Polynesia
KY241691	Singapore
KY126351	Taiwan
MH013290	Thailand
n13	Thailand
IonXpress_040_rawlib.basecaller	Vietnam
8711_IonXpress_002_rawlib.basecaller	Vietnam
IonXpress_041_rawlib.basecaller	Vietnam
IonXpress_004_rawlib.basecaller	Vietnam
IonXpress_039_rawlib.basecaller	Vietnam
8628_IonXpress_066_rawlib.basecaller	Vietnam
n1515	Vietnam
8607_IonXpress_035_rawlib.basecaller	Vietnam
n16	Vietnam
n1818	Australia
n1818	China
n1818	French Polynesia
n1818	Japan
n2121	French Polynesia
KX447516	French Polynesia
KX447515	French Polynesia
n114114	French Polynesia
LC369584	Japan
MG548660	Thailand
3015u_IonXpress_001_rawlib.basecaller	Vietnam
3015_IonXpress_030_rawlib.basecaller	Vietnam
n1616	Vietnam
7938_IonXpress_048_rawlib.basecaller	Vietnam
n19	Australia
n19	China
n19	French Polynesia
n19	Japan
n1919	China
KX447511	French Polynesia
n2222	French Polynesia
n114	French Polynesia
KX447513	French Polynesia
KJ776791	French Polynesia
KX447514	French Polynesia
KX447509	French Polynesia
7040_IonXpress_033_rawlib.basecaller	Vietnam
8546_IonXpress_034_rawlib.basecaller	Vietnam
n17	Vietnam
KX806557	Australia
LC191864	Japan
KU761561	China
n20	China
KX447510	French Polynesia
n23	Brazil
KX447512	French Polynesia
KX369547	French Polynesia
LC219720	Japan
222_IonXpress_003_rawlib.basecaller	Vietnam
KU820899	China
n2020	China
KU963796	China
n21	China
n2323	Brazil
n25	Brazil
MF099651	China
MF036115	China
KX013000	China
KU997667	China
KX051563	USA
n24	Brazil
KU729218	Brazil
n2525	Brazil
n29	Brazil
KY241788	Singapore
n32	Brazil
n3535	Brazil
n6161	Brazil
n62	Brazil
n74	Brazil
KU509998	Haiti
n2424	Brazil
n26	Italy
n2626	Brazil
n2929	Brazil
n3131	Brazil
KY014313	Brazil
n3232	Brazil
n36	Brazil
n3737	Brazil
KY559021	Brazil
KX197205	Brazil
KY559003	Brazil
n6262	Brazil
n7474	Brazil
n8585	Brazil
MF783073	Haiti
KR872956	Brazil
KU321639	Brazil
MF352141	Brazil
KY003154	Italy
KY003153	Italy
KX101060	Brazil
n27	Brazil
KY559010	Brazil
KY559011	Brazil
KY559009	Brazil
KY559006	Brazil
KY559017	Brazil
n30	Brazil
KY559007	Brazil
KY559005	Brazil
n3333	Brazil
KY014309	Brazil
n3434	Brazil
KY559031	Brazil
n35	Brazil
KY014317	Brazil
n3636	Ecuador
n37	Brazil
KU527068	Brazil
n38	Brazil
n63	Brazil
KU497555	Brazil
n6363	Brazil
n7373	Brazil
KY785429	Brazil
MH513600	Brazil
n75	Brazil
n85	Brazil
KY441401	Brazil
KY785410	Brazil
n86	Honduras
n113113	Brazil
KU940228	Brazil
n2727	Brazil
n28	Brazil
n3030	Brazil
KY559013	Brazil
n34	Brazil
KY785427	Brazil
KY785479	Brazil
KY014301	Brazil
KY014320	Brazil
KY014296	Brazil
MF794971	Ecuador
KX879604	Ecuador
KX879603	Ecuador
MH513599	Brazil
KX280026	Brazil
KX811222	Brazil
n3838	Brazil
n3939	Brazil
MF073359	Brazil
KY559001	Brazil
KY558995	Brazil
KU991811	Italy
KY559015	Brazil
n64	Brazil
KY558999	Brazil
n6464	Brazil
KY785433	Brazil
KY014307	Brazil
n7575	Brazil
n7676	Brazil
KY693680	Venezuela
KY631492	Brazil
MF801382	Honduras
MF801383	Honduras
MF593625	China
MF801378	Guatemala
n94	Honduras
n95	Honduras
n95	Nicaragua
n95	USA
n96	Honduras
n9999	Honduras
n100	El Salvador
n100	Honduras
n100	Mexico
n100	Nicaragua
n101	Honduras
n103103	Honduras
n106106	Honduras
n111	Honduras
n86.polytomy_23	Mexico
KY559025	Brazil
KY272991	Brazil
KY014308	Brazil
KY559032	Brazil
KY785437	Brazil
KU926309	Brazil
KX520666	Brazil
KU940224	Brazil
n2828	Brazil
KU940227	Brazil
KY559019	Brazil
n31	Brazil
MH763833	Brazil
MH763832	Brazil
KY785426	Brazil
MF073358	Brazil
n39	Brazil
KY558989	Brazil
n40	Brazil
KY785480	Brazil
KY785455	Brazil
KY558996	Brazil
n65	Colombia
KU707826	Brazil
KU365779	Brazil
n76	Brazil
n7777	Brazil
n78	Brazil
KU312312	Suriname
MF801408	Mexico
n9494	Honduras
MF801426	Nicaragua
n9595	USA
MF801381	Honduras
n9898	Guatemala
n96.polytomy_23	Mexico
KX906952	Honduras
KX262887	Honduras
MF801406	Mexico
n100100	El Salvador
n100100	Honduras
n100100	Nicaragua
n101101	Honduras
n102102	Honduras
MF801389	Honduras
n104	Honduras
KY606274	Mexico
n105105	Nicaragua
MF801387	Honduras
n106	Honduras
n107	Nicaragua
n107107	Honduras
n111111	Cuba
n111111	Honduras
n111111	Singapore
MF801380	Guatemala
n8686	Mexico
n8888	Mexico
MF801397	Mexico
KX101066	Brazil
KX101061	Brazil
KY559023	Brazil
