node	Australia	Brazil	Cambodia	Canada	Central African Republic	China	Colombia	Cuba	Dominican Republic	Ecuador	El Salvador	French Guiana	French Polynesia	Guatemala	Haiti	Honduras	India	Indonesia	Italy	Jamaica	Japan	Malaysia	Martinique	Mexico	Nicaragua	Nigeria	Panama	Peru	Philippines	Puerto Rico	Russia	Senegal	Singapore	South Korea	Suriname	Taiwan	Thailand	USA	Uganda	United Kingdom	Venezuela	Vietnam
root	0.007962422830044795	0.011255728682284725	0.007976888381202415	0.007962375221570644	7.720652902453999e-09	0.03274219080287591	0.00823408238836591	0.024726680782490063	0.02540864366916071	0.007991264356859007	0.007962195095710221	0.007962301659158448	0.008207615493182151	0.024016114911242597	0.02433871416003661	0.00891588238036405	0.008054362561375495	0.007962578340309228	0.03190131591480865	0.023880820714906388	0.03182247797456949	0.25546855617720443	0.008223189193364289	0.06356487606798163	0.06586202043346137	7.720652902453999e-09	0.015981498349502667	0.007995008419444935	0.008726290297625961	0.008075892766499112	0.04006677118594522	7.720652902453999e-09	0.023931317672654905	0.016460686490583184	0.01616987243142375	0.00796216847923164	0.015466777304565341	0.09511383725421063	7.720652902453999e-09	0.007962195362182933	0.015963701970383326	0.007720652940605482
HQ234499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n0	0.003719412718152935	0.005257784132613404	0.0050463182462260805	0.0037193917388077097	3.606476974505257e-09	0.015294556897923582	0.003846310527751102	0.01155034503230258	0.011868904029749947	0.003732885193043235	0.0037193063387256312	0.003719356116720732	0.003833949555726847	0.011218424987987675	0.011369117782686138	0.004164793433721088	0.0037624290769397925	0.003721344927746069	0.014901765790637678	0.011155226265025225	0.014864938954915526	0.004986389219903893	0.0038412220906139495	0.029692470937735294	0.030765514677155825	3.606476974505257e-09	0.0074652890816080866	0.0037346341222695397	0.07340595968422481	0.003772416877035794	0.018716019169694086	3.606476974505257e-09	0.011178814482389143	0.05121942810973783	0.007553282519161279	0.003719293953524516	0.5402702814263101	0.04442964453241022	3.606476974505257e-09	0.0037193064632005573	0.007456976024107011	0.0036064804556074454
n00	0.0043823900600155705	0.006194972880534508	0.004807334533061867	0.004382364254918804	4.249323762219011e-09	0.018020777990241515	0.004531907132080895	0.013609169268112327	0.013984510723801904	0.004398263974667446	0.004382264718683448	0.004382323369499442	0.004517340891526216	0.013218085187599763	0.01339563864983841	0.004907158933150407	0.004433014138609722	0.004383063014503084	0.017557973590519242	0.013143621427779674	0.01751458245028424	0.004788066316203881	0.004525911691934649	0.034985090215923144	0.0362494017010798	4.249323762219011e-09	0.008795960853365247	0.004400324646778293	0.26074904632908136	0.004444842096568018	0.02205210945588741	4.249323762219011e-09	0.01317141415818184	0.16976156071794593	0.00889963893248716	0.004382250084531879	0.17688071945517475	0.05234913340446712	4.249323762219011e-09	0.004382264865345762	0.008786166011189426	0.004249324877131003
n11	8.71688270866387e-05	0.0001232223769300477	0.0025338948932446133	8.717064017335039e-05	8.452204463577597e-11	0.00035844786077130966	9.014282703253115e-05	0.0002706959687473998	0.00027816177484895347	8.748457043730532e-05	8.71663339592005e-05	8.716750056526884e-05	8.985727433804426e-05	0.0002629170307424096	0.0002664486942494387	9.760684984050141e-05	8.83039644380477e-05	9.061677691421206e-05	0.0003492404699134204	0.0002614358940760979	0.00034837738957108706	0.00010327106268285325	9.00235735023199e-05	0.0006958781025601872	0.0007210261491110471	8.452204463577597e-11	0.00017495786093607422	8.752555865799146e-05	0.0009729009718647799	8.841104211106521e-05	0.00043863199982911835	8.452204463577597e-11	0.0002619887884501565	0.0007310809728990515	0.0001770200910041163	8.716613135953078e-05	0.9880368704440875	0.0010412611600924453	8.452204463577597e-11	8.716633687641732e-05	0.00017476303462160512	8.452846338576558e-05
n1	4.825121155886328e-06	6.8208202137769456e-06	4.900433454595183e-06	4.82509236928344e-06	4.678611831102217e-12	1.9841327359125564e-05	4.989743194935538e-06	1.4984036028361549e-05	1.5397296366607906e-05	4.842598733273267e-06	4.8249831519421615e-06	4.8250477279586765e-06	4.973704726467452e-06	1.455344266611647e-05	1.4748933472552242e-05	5.402904821200849e-06	4.880838895242111e-06	4.825309130560284e-06	1.933176843364025e-05	1.4471456202580872e-05	1.9283993702073112e-05	4.896922400773696e-06	4.983142065256868e-06	3.851946007308231e-05	3.9911498666433624e-05	4.678611831102217e-12	9.684573079688351e-06	4.84486758484993e-06	5.02843633183593e-05	4.893882411427404e-06	2.4279924518436233e-05	4.678611831102217e-12	1.450205668200238e-05	0.9994819691096914	9.798725240067025e-06	4.824967025129031e-06	3.6242546387102375e-05	5.7637706279690356e-05	4.678611831102217e-12	4.824983313421041e-06	9.673788713268761e-06	4.678612028799444e-06
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n2	7.782322621779657e-05	0.00011001137947388527	0.005490065345964596	7.78237029543387e-05	7.54602123250198e-11	0.0003200167906805593	8.04783757511368e-05	0.00024167393684368377	0.000248339314095601	7.810511788741059e-05	7.782100038515552e-05	7.78220419162962e-05	8.022138599756483e-05	0.00023472899938921173	0.0002378820238960038	8.714216090109781e-05	7.87737373772532e-05	7.921555819177386e-05	0.00031179747396931204	0.0002334066593085395	0.0003110269267471012	8.432075686702304e-05	8.03719077078112e-05	0.0006212711677504433	0.0006437230256114885	7.54602123250198e-11	0.0001562001651883754	7.814171165237541e-05	0.0004353096119675922	7.89322600787318e-05	0.0003916051011577548	7.54602123250198e-11	0.00023390023842913548	0.0003806522540698663	0.0001580412981078177	7.78207760718733e-05	0.9868065994401403	0.0009296247927385575	7.54602123250198e-11	7.782100298960978e-05	0.00015602622671919035	7.546280296289236e-05
n3	4.088023151982808e-07	5.778854053315395e-07	5.612393372117121e-06	4.139475992361084e-07	3.9638949710833956e-13	1.6852028968331377e-06	4.22749710200749e-07	1.269503587891423e-06	1.3045165497625632e-06	4.1028308093844066e-07	4.0879062298784225e-07	4.0879609410954484e-07	4.306404727767598e-07	1.2330221073839123e-06	1.2495848198400495e-06	4.577543088235819e-07	6.971754216384293e-07	8.008726474271069e-06	1.637859742217652e-06	1.2260759074802306e-06	1.6338121321551492e-06	4.4304049067998953e-07	4.221904377994182e-07	3.2635127594367585e-06	3.381451476708786e-06	3.9638949710833956e-13	8.205132614864194e-07	4.104753065318365e-07	2.292543543231794e-06	4.1462802600489446e-07	2.0570860368691942e-06	3.9638949710833956e-13	1.2288397133652268e-06	2.0032427157090007e-06	8.301846595591407e-07	4.0898505141762245e-07	0.9999460035663343	4.883282099789461e-06	3.9638949710833956e-13	4.0879063666893704e-07	8.195995696188284e-07	4.105436738396379e-07
KY120353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
