parameter	value
pastml_version	1.9.15
character	country_code
log_likelihood	-616.7841504724436
log_likelihood_restricted_JOINT	-633.3657201049332
log_likelihood_restricted_MAP	-634.3648873523921
log_likelihood_restricted_MPPA	-622.46615370239
method	MPPA
model	F81
num_nodes	756
num_scenarios	1.61243e+10
num_states_per_node_avg	1.0886243386243386
num_tips	471
num_unresolved_nodes	20
percentage_of_unresolved_nodes	2.6455026455026456
scaling_factor	0.19353723662372369
state_changes_per_avg_branch	0.21574195578157673
AUS	0.008153980935832549
BRA	0.09680046773665289
CAF	1.6327410713534413e-08
CAN	0.008154412550527014
CHN	0.04133029730567564
COL	0.008308755447287626
CUB	0.03438884517287241
DOM	0.06739592088981715
ECU	0.008164694333438572
GBR	0.008155030005348592
GTM	0.024478187841111013
GUF	0.008153999399166577
HND	0.07650084857067882
HTI	0.02465790300658208
IDN	0.008153971111143502
IND	0.008241079835339697
ITA	0.024688676235514233
JAM	0.023660614049335553
JPN	0.03258273137625222
KHM	0.008153658662691597
KOR	0.016330033826957007
MEX	0.026906860782492718
MTQ	0.008295231960169718
MYS	0.008158435230136145
NGA	1.6327410713534413e-08
NIC	0.07429928601313028
PAN	0.016334996482396252
PER	0.008171673569369068
PHL	0.008153584901408198
PRI	0.008294187233152407
PYF	0.042428865861682
RUS	0.04895538992024791
SEN	1.6327410713534413e-08
SGP	0.03283351818996488
SLV	0.00815321350221417
SUR	0.016715115289365777
THA	0.04421483183942886
TWN	0.008153706585679365
UGA	1.6327410713534413e-08
USA	0.08714951832376022
VEN	0.016327410713534413
