parameter	value
pastml_version	1.9.15
character	country_code
log_likelihood	-577.1217897137544
log_likelihood_restricted_JOINT	-590.2604196692884
log_likelihood_restricted_MAP	-590.9600961810384
log_likelihood_restricted_MPPA	-580.2460024000909
method	MPPA
model	F81
num_nodes	746
num_scenarios	9.99372e+07
num_states_per_node_avg	1.0750670241286864
num_tips	469
num_unresolved_nodes	14
percentage_of_unresolved_nodes	1.876675603217158
scaling_factor	0.17677325684860698
state_changes_per_avg_branch	0.19133151705536303
AUS	0.009125300370052563
BRA	0.06292987753458171
CAF	1.8245392865210233e-08
CAN	0.009124670444172731
CHN	0.04622941051047296
COL	0.009295671620193425
CUB	0.038521062455866624
DOM	0.07555205366725998
ECU	0.009129448377822058
GBR	0.0091226766040522
GTM	0.027360957392110655
GUF	0.009123788375278975
HND	0.08637557492786976
HTI	0.02756001856202005
IDN	0.009124715575684289
IND	0.009204830226772005
ITA	0.027600252209887238
JAM	0.026598958963217477
JPN	0.036483194112280744
KHM	0.00912512568641121
KOR	0.018276927019940787
MEX	0.028139497061326343
MTQ	0.009278092552729844
MYS	0.009126282275013803
NGA	1.824539286519683e-08
NIC	0.08319372277602655
PAN	0.018282452842276656
PER	0.009138992295803519
PHL	0.00912537307395661
PRI	0.009382457771318197
PYF	0.009346327737887144
RUS	0.05473132734120127
SEN	1.824539286519683e-08
SGP	0.038018457158928244
SLV	0.009124021870272468
SUR	0.018748837486950713
THA	0.013538879530827065
TWN	0.009125415933976897
UGA	1.8245392865210233e-08
USA	0.09758988180877562
VEN	0.018245392865210232
