parameter	value
pastml_version	1.9.15
character	country_code
log_likelihood	-533.7524566922152
log_likelihood_restricted_JOINT	-546.4086305557264
log_likelihood_restricted_MAP	-548.3222657157404
log_likelihood_restricted_MPPA	-537.9681637420504
method	MPPA
model	F81
num_nodes	700
num_scenarios	3.48987e+08
num_states_per_node_avg	1.0942857142857143
num_tips	444
num_unresolved_nodes	15
percentage_of_unresolved_nodes	2.142857142857143
scaling_factor	0.19380104583118196
state_changes_per_avg_branch	0.1949969159384732
AUS	0.009845168575584989
BRA	0.02851839611034013
CAF	1.9693592411516677e-08
CAN	0.009844330825151959
CHN	0.04008371906181414
COL	0.010088972548233904
CUB	0.0299998219991282
DOM	0.08038218304423242
ECU	0.009866700389963248
GBR	0.00984446379078608
GTM	0.019679847497548288
GUF	0.009844109898774486
HND	0.0855951704000606
HTI	0.029814597772159994
IDN	0.009844658734242962
IND	1.9693592411516677e-08
ITA	0.029885530258471155
JAM	0.024109964954202593
JPN	0.03939475973545739
KHM	0.009844409442080804
KOR	0.019695399889858304
MEX	0.026584016856659887
MTQ	0.010089011834618716
MYS	0.009857442292246402
NGA	1.9693592411516677e-08
NIC	0.08970406865589431
PAN	0.01970787613960329
PER	0.00988140950344921
PHL	0.009844950994661084
PRI	0.010377020839665312
PYF	0.0202284941170047
RUS	0.05903622988628353
SEN	1.9693592411516677e-08
SGP	0.04156745779124564
SLV	0.00984486882647587
SUR	0.020418175277511035
THA	0.017829735801444115
TWN	0.009845092331693889
UGA	1.9693592411516677e-08
USA	0.10930825304397249
VEN	0.019693592411516678
