parameter	value
pastml_version	1.9.15
character	country_code
log_likelihood	-552.4656589328165
log_likelihood_restricted_JOINT	-564.134991680356
log_likelihood_restricted_MAP	-568.0790079133786
log_likelihood_restricted_MPPA	-556.205185024774
method	MPPA
model	F81
num_nodes	941
num_scenarios	5.76202e+06
num_states_per_node_avg	1.0541976620616365
num_tips	471
num_unresolved_nodes	12
percentage_of_unresolved_nodes	1.2752391073326248
scaling_factor	259.81123557480606
state_changes_per_avg_branch	0.14493459218567886
AUS	0.00962196460686501
BRA	0.026307750756441803
CAF	1.9243917187676875e-08
CAN	0.009622555910573835
CHN	0.04903321929542247
COL	0.009835442380329098
CUB	0.03143549749753461
DOM	0.030001650969571383
ECU	0.009634557841907558
GBR	0.009622865281200113
GTM	0.02887484678575711
GUF	0.009621418397516552
HND	0.010706058592496232
HTI	0.02891440695056505
IDN	0.00962279416984556
IND	0.009747750433949648
ITA	0.033973750958204936
JAM	0.02885994675396217
JPN	0.03849124734413
KHM	0.009622022128453863
KOR	0.01925956922329077
MEX	0.1300554286131039
MTQ	0.009653913119594466
MYS	0.009626383389015157
NGA	1.9243917187676875e-08
NIC	0.08973308599726275
PAN	0.01927530187867396
PER	0.009648685082462204
PHL	0.009622594721790879
PRI	0.009734082383090563
PYF	0.009806560085337455
RUS	0.0577502895126425
SEN	1.9243917187676875e-08
SGP	0.04743213592469526
SLV	0.009621508367935966
SUR	0.020062116526572627
THA	0.014364131590904723
TWN	0.00962172591452413
UGA	1.9243917187676875e-08
USA	0.1119387464510301
VEN	0.019243917187676877
