parameter	value
pastml_version	1.9.15
character	country_code
log_likelihood	-585.9629276264764
log_likelihood_restricted_JOINT	-609.3422160353048
log_likelihood_restricted_MAP	-613.7418384348575
log_likelihood_restricted_MPPA	-593.8189764785708
method	MPPA
model	F81
num_nodes	673
num_scenarios	8.21692e+23
num_states_per_node_avg	1.3640416047548292
num_tips	444
num_unresolved_nodes	27
percentage_of_unresolved_nodes	4.011887072808321
scaling_factor	0.16419349070172845
state_changes_per_avg_branch	0.5208606469424433
AUS	0.009779551613458604
BRA	0.09055136021748948
CAF	0.009779551613458604
CAN	0.009779551613458604
CHN	0.03105951065262576
COL	0.009779551613458604
CUB	0.021726497407829323
DOM	0.02757209379736651
ECU	0.009779551613458604
GBR	0.009779551613458604
GTM	0.009779551613458604
GUF	0.009779551613458604
HND	0.026014730022024046
HTI	0.019409408995666944
IDN	0.009779551613458604
IND	0.009779551613458604
ITA	0.02767272093431784
JAM	0.01845847230431426
JPN	0.027484583028571773
KHM	0.009779551613458604
KOR	0.009779551613458604
MEX	0.07831686287617891
MTQ	0.009779551613458604
MYS	0.009779551613458604
NGA	0.009779551613458604
NIC	0.07722902409219184
PAN	0.009779551613458604
PER	0.009779551613458604
PHL	0.009779551613458604
PRI	0.009779551613458604
PYF	0.026134621824705363
RUS	0.04555914329160348
SEN	0.009779551613458604
SGP	0.04167772303351545
SLV	0.009779551613458604
SUR	0.01394664660170019
THA	0.0891124536420612
TWN	0.009779551613458604
UGA	0.009779551613458604
USA	0.09435141800435617
VEN	0.018793042163933498
