node	human	monkey	mosquito
root	0.220880645428057	0.1745094126055109	0.604609941966432
n0	1.9189555926131943e-07	1.7221363610078394e-07	0.9999996358908045
n1	0.9633179196501716	0.017296269135614592	0.019385811214213813
HQ234499	0.0	0.0	1.0
KX377336	0.0	0.0	1.0
n2	0.9971381938521394	0.001381903849906315	0.0014799022979541622
n467	0.9758356035627095	0.011848188042319487	0.012316208394970954
n3	0.9983926377011705	0.0007962297489644842	0.0008111325498650328
n5	0.9998075776520867	9.557577175632862e-05	9.684657615695243e-05
KU681082	1.0	0.0	0.0
n468	0.9999803612766243	9.79948142625615e-06	9.839241949365203e-06
n4	0.9999914314979204	4.283061672466598e-06	4.28544040703509e-06
MG645981	1.0	0.0	0.0
n6	0.9997747144972767	0.00011261685553413339	0.00011266864718908532
n11	0.9999414238992007	2.924960378224399e-05	2.932649701700782e-05
KY120353	1.0	0.0	0.0
KY553111	1.0	0.0	0.0
KU955593	1.0	0.0	0.0
J860885	0.9999358711020251	3.206325971931002e-05	3.2065638255630814e-05
n7	0.9996897270632021	0.0001551325830276394	0.00015514035377022726
n9	0.9989612407963636	0.0005193765180431905	0.000519382685593096
KU179098	1.0	0.0	0.0
n12	0.9999580994667536	2.093513730925215e-05	2.0965395937027373e-05
n8	0.9990113131791125	0.0004943422535730571	0.0004943445673143999
KX051561	1.0	0.0	0.0
n10	0.9999997095287069	1.4523555419705987e-07	1.4523573898898079e-07
KY272987	1.0	0.0	0.0
n13	0.9999222368677853	3.887878002844004e-05	3.888435218634946e-05
KX051560	1.0	0.0	0.0
KY328290	1.0	0.0	0.0
KX051562	1.0	0.0	0.0
KF993678	1.0	0.0	0.0
KX694532	1.0	0.0	0.0
n14	0.9998951972698336	5.240036368716329e-05	5.240236647933615e-05
n464	0.9998243497520445	8.782512002017768e-05	8.782512793522596e-05
KU681081	1.0	0.0	0.0
n15	0.9999528213973932	2.3589266109649413e-05	2.3589336497183698e-05
MK238035	1.0	0.0	0.0
n465	0.9999849835110322	7.508244349454236e-06	7.508244618374915e-06
n16	0.9995882620627332	0.00020586896049592626	0.00020586897677085238
n345	0.9999213447744895	3.9327406678418315e-05	3.932781883227368e-05
n466	0.9999979207204482	1.0396397753538981e-06	1.0396397763469875e-06
MK238036	1.0	0.0	0.0
LC219720	1.0	0.0	0.0
n17	0.9999644389326284	1.7780533639038427e-05	1.7780533732466012e-05
n346	0.9999999642342835	6.3522605048145385e-09	2.941345607528816e-08
n462	0.9994451704706978	0.00027741471407921657	0.00027741481522290066
MK238038	1.0	0.0	0.0
MK238037	1.0	0.0	0.0
KX447517	1.0	0.0	0.0
n18	0.9999998329131572	8.354342133831096e-08	8.354342143014029e-08
n460	0.9998263693654693	8.681317579945028e-05	8.681745873119685e-05
MG807646	1.0	0.0	0.0
n353	0.9999184993651401	4.062708796141134e-05	4.0873546898424076e-05
n350	0.9777754344034303	0.0009200134689216188	0.021304552127647997
KY241769	1.0	0.0	0.0
KY241730	1.0	0.0	0.0
MG807647	1.0	0.0	0.0
n463	0.9996619891645184	0.00016900541604371883	0.00016900541943794085
n19	0.9999999555254647	2.223726769620734e-08	2.2237267695116753e-08
n32	1.0	9.306937040131732e-47	9.30693961020875e-47
n461	0.9998330393799576	8.348022116838392e-05	8.348039887418858e-05
MH013290	1.0	0.0	0.0
n354	0.9999937515447688	3.1237241756350155e-06	3.124731055427746e-06
n372	0.9999865636140918	4.2356112076987304e-06	9.200774700654138e-06
n351	0.9989726736461	6.727841412271143e-05	0.0009600479397773056
KY241787	0.0	0.0	1.0
KY126351	1.0	0.0	0.0
KY241691	1.0	0.0	0.0
n20	0.9999986828372972	6.585813514271634e-07	6.58581351427142e-07
n23	0.9999997638497062	1.1807514683758792e-07	1.1807514682697439e-07
KX447513	1.0	0.0	0.0
n34	0.999996079848571	1.960075714515784e-06	1.960075714515784e-06
KX447511	1.0	0.0	0.0
KX447510	1.0	0.0	0.0
n339	0.9999991139718016	4.430140991307783e-07	4.430140991307783e-07
n192	0.9999996248740968	1.8756295167770993e-07	1.8756295167770993e-07
n40	0.9999977503191724	1.1248404138536597e-06	1.1248404138536597e-06
n50	0.9999815135433725	9.243228313697146e-06	9.243228313697146e-06
n64	0.999998111737344	9.441313280027298e-07	9.441313280027298e-07
n95	0.9999979644428174	1.0177785913362454e-06	1.0177785913362454e-06
KY785410	1.0	0.0	0.0
n190	0.9999601872492233	1.9906375388337293e-05	1.9906375388337293e-05
n181	0.9999948292588469	2.585370576550163e-06	2.585370576550163e-06
n104	0.999999352373958	3.238130209833774e-07	3.238130209833774e-07
n173	0.9999989373046168	5.313476916553232e-07	5.313476916553232e-07
n164	0.9999999999076452	4.617736131486102e-11	4.617736131486102e-11
n160	0.9999974144398364	1.2927800818123721e-06	1.2927800818123721e-06
n143	0.9999990014524937	4.992737531965276e-07	4.992737531965276e-07
MF801378	1.0	0.0	0.0
MF801419	1.0	0.0	0.0
MF801391	1.0	0.0	0.0
MF801412	1.0	0.0	0.0
MF801415	1.0	0.0	0.0
n127	0.9999937047696644	3.1474907337081425e-06	3.147739601814211e-06
n142	0.9999038299768246	4.8085011587708005e-05	4.8085011587708005e-05
MG548660	1.0	0.0	0.0
LC369584	1.0	0.0	0.0
n355	0.9999999999995485	1.245568977909278e-15	4.503426706172523e-13
KY241707	1.0	0.0	0.0
n373	0.9998992442198531	3.504440893672516e-07	0.00010040533605757743
KY241708	1.0	0.0	0.0
KY241673	1.0	0.0	0.0
KY241766	1.0	0.0	0.0
n21	0.9999998955554441	5.222227800260032e-08	5.22222780026003e-08
KX447515	1.0	0.0	0.0
n24	0.9999968198518494	1.590074086190686e-06	1.5900740642955236e-06
KX447516	1.0	0.0	0.0
KX369547	1.0	0.0	0.0
KX447512	1.0	0.0	0.0
KX051563	1.0	0.0	0.0
KU744693	1.0	0.0	0.0
n341	0.9999829323131448	8.533843427647462e-06	8.533843427647462e-06
n193	0.9999996744640092	1.6276799537498506e-07	1.6276799537498506e-07
n291	0.9999990751142093	4.6244289535004073e-07	4.6244289535004073e-07
KU729218	1.0	0.0	0.0
n41	0.9999861714247945	6.91428760270821e-06	6.91428760270821e-06
n51	0.999997313024467	1.3434877664869542e-06	1.3434877664869542e-06
KY241788	1.0	0.0	0.0
n65	0.9999998898073318	5.5096334070377645e-08	5.509633407037763e-08
MH513600	1.0	0.0	0.0
n96	0.9999684839819918	1.5758009004077764e-05	1.5758009004077764e-05
n97	0.9999992690535734	3.654732132743609e-07	3.654732132743609e-07
n191	0.9999544824105085	2.2758794745764615e-05	2.2758794745764615e-05
MF801406	1.0	0.0	0.0
n182	0.9999887560581946	5.621970902712984e-06	5.621970902712984e-06
n188	0.9999752006502399	1.2399674880003588e-05	1.2399674880003588e-05
n105	0.9999986141231245	6.929384377822755e-07	6.929384377822755e-07
n115	0.9999621219555259	1.8939022236985656e-05	1.8939022236985656e-05
KY606274	1.0	0.0	0.0
n180	0.9999507968456868	2.4601577156547957e-05	2.4601577156547957e-05
n175	0.999957117682657	2.1441158671535434e-05	2.1441158671535434e-05
MF801380	1.0	0.0	0.0
n165	0.9999394107592606	3.0294620369744536e-05	3.0294620369744536e-05
MF801381	1.0	0.0	0.0
n169	0.9999647756742384	1.7612162880819967e-05	1.7612162880819967e-05
MF801400	1.0	0.0	0.0
MF801411	1.0	0.0	0.0
MF801399	1.0	0.0	0.0
n161	0.9999034527783474	4.8273610826297356e-05	4.8273610826297356e-05
MF593625	1.0	0.0	0.0
MF801382	1.0	0.0	0.0
n144	0.9999999578938729	2.1053063545394205e-08	2.1053063545394205e-08
n149	0.9999925276793739	3.736160313025536e-06	3.7361603130255358e-06
n128	0.9999847157983046	7.642088833593594e-06	7.642112861723672e-06
n130	0.9999988591555334	5.648735956302166e-07	5.759708708078783e-07
MF801407	1.0	0.0	0.0
MF801422	1.0	0.0	0.0
KY241782	0.0	0.0	1.0
n370	0.9999791753001079	1.7539725685319998e-07	2.0649302635194904e-05
KY241734	1.0	0.0	0.0
n359	0.9999999975702971	1.2148513712616226e-09	1.2148515555371504e-09
KY241688	1.0	0.0	0.0
n362	0.999999999999969	1.544750926409664e-14	1.549422757099213e-14
