node	Africa	Caribbean	Central America	Eastern Asia	Europe	Northern America	Oceania	South America	South-eastern Asia	Southern Asia
root	1.0421592553959883e-08	0.0938095360567785	0.058926699353885025	0.12427902930345369	0.10430715960241564	0.1289017529562324	0.05499930336810954	0.11695985979380415	0.3073950555710057	0.010421593572722838
n0	6.583279622888462e-15	5.9259120327108845e-08	3.72237675659642e-08	7.844416433260933e-08	6.589042843274841e-08	8.14267373373433e-08	3.4742846486957997e-08	7.388309010256536e-08	0.9999995625465591	6.583279764534925e-09
n1	2.190156728650164e-09	0.0197146055693989	0.01238378510203715	0.043046005962946485	0.02192074064177587	0.027089539540939806	0.011558490319038245	0.02457977728289204	0.8375167603271149	0.0021902930637000507
HQ234499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KX377336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2	9.993483390274837e-11	0.000899559290558322	0.0005650700731294621	0.0016204266693478932	0.0010002232015656864	0.0012362566522431085	0.0005275352476249304	0.0011215525939306983	0.9929291957848627	0.00010018038680243755
n467	2.73119130736143e-09	0.024584706041739224	0.015442947524904611	0.09785970486720524	0.027335822824260406	0.03378137270593314	0.014413715615818033	0.03065172148355313	0.753198770771248	0.002731235434146895
n3	3.177729423198596e-11	0.00028604200496301814	0.00017967904478011492	0.00042463115129631675	0.0003180511312476168	0.0003930648709430905	0.00016771719341411915	0.00035663147055075753	0.9978423794933267	3.180360770110667e-05
n5	2.7765423377323694e-12	2.499293147338673e-05	1.5740255571086607e-05	3.717068461435213e-05	2.7789730145866278e-05	3.515369271757439e-05	1.522905026093281e-05	3.116068881519903e-05	0.9998089418839469	3.82107967820977e-06
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n468	2.2776876697655393e-12	2.050251173001027e-05	1.2878705124315998e-05	0.9998212742708116	2.279681632769414e-05	2.8172081134614212e-05	1.2020355527918976e-05	2.5562122979815686e-05	5.451544401232867e-05	2.2776900741241086e-06
n4	2.1556635421342547e-13	1.9404116571923374e-06	1.218874664766788e-06	2.5740216207274072e-06	2.1575506811871075e-06	2.6662823634565637e-06	1.1376398342572555e-06	2.4192665789341142e-06	0.999985670382613	2.1556977081268947e-07
MG645981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n6	3.8748905855627606e-12	3.487966797975629e-05	2.191103830360813e-05	9.034630753172795e-05	3.878282792744734e-05	8.392904154785358e-05	2.0467611000287734e-05	4.3487274834166065e-05	0.9996622884812997	3.907745700710163e-06
n11	8.895849271732861e-13	8.007562075483372e-06	5.3043612131948356e-06	1.208204068290332e-05	8.903636991959537e-06	1.104176006145392e-05	8.560862516870315e-06	9.98366879324359e-06	0.9999282158126184	7.900294156992344e-06
KY120353	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KY553111	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KU955593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
J860885	2.383379513299443e-12	2.145389250560332e-05	1.347631742438245e-05	2.8399158743398635e-05	2.3854660024334865e-05	2.947935465744411e-05	1.2578138178788646e-05	2.67482855684094e-05	0.9998416268075849	2.383382929359677e-06
n7	1.526300728973355e-11	0.0001373893313586786	8.63018204741772e-05	0.0007982727031711426	0.00015276369030356535	0.00019890759221091205	8.055466114736417e-05	0.00017129427996690781	0.9983592436598754	1.5272246228786657e-05
n9	2.7465863427875282e-11	0.0002472328381892849	0.00015530009668407644	0.0003326592641693243	0.0002748990795174553	0.0024052882863500715	0.00014495161455933776	0.0003082449749409414	0.9961039538956997	2.7469922423952787e-05
KU179098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n12	8.904482424773211e-13	8.015333172628353e-06	5.638628380364384e-06	1.3524071622082984e-05	8.912277702747156e-06	1.1031324273311416e-05	1.3206426504960257e-05	9.993357642274581e-06	0.9999133615838466	1.6316995964648798e-05
n8	1.6553652755039706e-10	0.00149007023346469	0.0009359916397446511	0.012835148305872391	0.0016568144369324964	0.0020537043763760605	0.0008736118045219888	0.0018577898677962618	0.9781313269571128	0.00016554221264218535
KX051561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n10	3.691564668133494e-12	3.3229467286131206e-05	2.0873176128678125e-05	4.402941481216524e-05	3.6947963857532434e-05	0.02927962473167798	1.9482022876335772e-05	4.142983750027699e-05	0.9705206917789543	3.69160321492261e-06
KY272987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n13	8.19364961155571e-12	7.375479944087663e-05	5.702275616284837e-05	0.00014743726449004864	8.200822603010607e-05	0.00010135410588131408	0.00019391155492020813	9.19560139014434e-05	0.998971141859379	0.00028141341160064
