parameter	value
pastml_version	1.9.15
character	country_code
log_likelihood	-616.7841504724436
log_likelihood_restricted_JOINT	-633.3657201049332
log_likelihood_restricted_MAP	-634.3648873523921
log_likelihood_restricted_MPPA	-622.46615370239
method	MPPA
model	F81
num_nodes	756
num_scenarios	1.61243e+10
num_states_per_node_avg	1.0886243386243386
num_tips	471
num_unresolved_nodes	20
percentage_of_unresolved_nodes	2.6455026455026456
scaling_factor	0.19353723662372369
state_changes_per_avg_branch	0.21574195578157673
AUS	0.00815398093583255
BRA	0.0968004677366529
CAF	1.6327410713534417e-08
CAN	0.008154412550527016
CHN	0.041330297305675646
COL	0.008308755447287628
CUB	0.03438884517287242
DOM	0.06739592088981716
ECU	0.008164694333438574
GBR	0.008155030005348594
GTM	0.024478187841111016
GUF	0.008153999399166579
HND	0.07650084857067883
HTI	0.024657903006582084
IDN	0.008153971111143504
IND	0.008241079835339699
ITA	0.024688676235514236
JAM	0.023660614049335556
JPN	0.03258273137625223
KHM	0.008153658662691599
KOR	0.01633003382695701
MEX	0.02690686078249272
MTQ	0.00829523196016972
MYS	0.008158435230136147
NGA	1.6327410713534417e-08
NIC	0.0742992860131303
PAN	0.016334996482396256
PER	0.00817167356936907
PHL	0.0081535849014082
PRI	0.008294187233152409
PYF	0.04242886586168201
RUS	0.048955389920247915
SEN	1.6327410713534417e-08
SGP	0.03283351818996489
SLV	0.008153213502214172
SUR	0.01671511528936578
THA	0.04421483183942887
TWN	0.008153706585679366
UGA	1.6327410713534417e-08
USA	0.08714951832376024
VEN	0.016327410713534416
