node	human	monkey	mosquito
root	0.2312564135453135	0.1897589020506697	0.5789846844040168
n0	2.596446194200438e-07	2.3927775634547903e-07	0.9999995010776243
n1	0.956430733246701	0.020836793476300575	0.022732473276998445
HQ234499	0.0	0.0	1.0
KX377336	0.0	0.0	1.0
n2	0.9962030228561336	0.0018493645621013581	0.001947612581765079
n465	0.9692473527319239	0.015152829702268814	0.015599817565807424
n3	0.997762112600483	0.0011109238062406955	0.0011269635932764268
n5	0.9997473467041644	0.0001256260933993533	0.0001270272024362057
KU681082	1.0	0.0	0.0
n466	0.9999759670769778	1.1997542244710037e-05	1.203538077744491e-05
n4	0.9999895952337803	5.2011305256773e-06	5.203635694035103e-06
MG645981	1.0	0.0	0.0
n6	0.9997038523035391	0.0001480417507510725	0.0001481059457097889
n11	0.9999155577773188	4.2170908086993606e-05	4.227131459432757e-05
KY120353	1.0	0.0	0.0
KY553111	1.0	0.0	0.0
KU955593	1.0	0.0	0.0
J860885	0.999928676317417	3.5660588821829003e-05	3.566309376126502e-05
n7	0.9995835759379038	0.0002082066756011904	0.0002082173864950801
n9	0.9986350954316752	0.0006824481462739113	0.000682456422050829
KU179098	1.0	0.0	0.0
n12	0.9999365888265523	3.1684312570717515e-05	3.1726860876854145e-05
n8	0.9987129363249492	0.0006435301316291931	0.000643533543421641
KX051561	1.0	0.0	0.0
n10	0.9999995538739658	2.2306286508562363e-07	2.2306316920311524e-07
KY272987	1.0	0.0	0.0
n13	0.9998774465823517	6.127216350990408e-05	6.12812541383593e-05
KX051560	1.0	0.0	0.0
KY328290	1.0	0.0	0.0
KX051562	1.0	0.0	0.0
KF993678	1.0	0.0	0.0
KX694532	1.0	0.0	0.0
n14	0.9998281447607471	8.592594092642159e-05	8.592929832646445e-05
n462	0.9997840549805889	0.00010797250297955018	0.00010797251643150727
KU681081	1.0	0.0	0.0
n15	0.999918771690776	4.061410392065268e-05	4.0614205303297916e-05
MK238035	1.0	0.0	0.0
n463	0.9999806056579571	9.697170768584451e-06	9.697171274322337e-06
n16	0.9995243660825107	0.0002378169457237898	0.00023781697176542406
n344	0.999844096372734	7.79518096607103e-05	7.79518176053181e-05
n464	0.9999973392452122	1.3303773929205795e-06	1.3303773949472524e-06
MK238036	1.0	0.0	0.0
LC219720	1.0	0.0	0.0
n17	0.9999507604026757	2.4619798574054874e-05	2.4619798750188986e-05
n345	0.9999424984088493	2.8750786726473102e-05	2.8750804424274446e-05
n460	0.9994660152662329	0.0002669923657733612	0.00026699236799381795
MK238038	1.0	0.0	0.0
MK238037	1.0	0.0	0.0
KX447517	1.0	0.0	0.0
n18	0.9999994854918844	2.5725405756012717e-07	2.572540579073361e-07
n346	0.999948755668117	2.5621677996361708e-05	2.562265388666074e-05
n458	0.9999395630124615	3.0218491075477765e-05	3.021849646315152e-05
MG807647	1.0	0.0	0.0
n461	0.9996275276469209	0.00018623617649920365	0.00018623617657996056
n19	0.9999999844657075	7.767146238509147e-09	7.767146237486356e-09
n32	1.0	1.941524418663867e-17	1.941524418683619e-17
n347	0.9999987772690901	6.052560417421773e-07	6.174748681669911e-07
MG807646	1.0	0.0	0.0
n459	0.9998901215257252	5.493923701385554e-05	5.493923726083825e-05
MH013290	1.0	0.0	0.0
KY126351	1.0	0.0	0.0
KY241691	1.0	0.0	0.0
n20	0.9999986022782332	6.988608833523685e-07	6.988608833523454e-07
n24	0.9999962318006844	1.8840996761658099e-06	1.8840996392930789e-06
KX447516	1.0	0.0	0.0
KX447513	1.0	0.0	0.0
n34	0.9999980018708585	9.990645707164183e-07	9.990645707164183e-07
KX447511	1.0	0.0	0.0
KX447510	1.0	0.0	0.0
n38	0.9999999999999978	1.1905422723520203e-15	1.1905422723520203e-15
KX051563	1.0	0.0	0.0
KU744693	1.0	0.0	0.0
n340	0.9999828458795115	8.57706024433052e-06	8.57706024433052e-06
n348	0.9999992084433755	8.913198558793224e-09	7.8264342603257e-07
n351	0.999999852045014	7.372332891875688e-08	7.423165711518107e-08
MG548660	1.0	0.0	0.0
LC369584	1.0	0.0	0.0
n21	0.9999998882195368	5.5890231582164934e-08	5.589023158216492e-08
KX447515	1.0	0.0	0.0
n25	0.9999957756651991	2.1121853684598853e-06	2.1121494324129496e-06
LC191864	1.0	0.0	0.0
KX806557	1.0	0.0	0.0
KX369547	1.0	0.0	0.0
KX447512	1.0	0.0	0.0
n191	0.9999999840065164	7.996741801074532e-09	7.996741801074532e-09
KU729218	1.0	0.0	0.0
n41	0.9999903527861856	4.823606907223619e-06	4.823606907223619e-06
n50	0.9999957664746557	2.116762672091265e-06	2.116762672091265e-06
n63	0.9999999994780521	2.609738767942523e-10	2.609738767942523e-10
n341	0.9999994401799605	2.79910019759004e-07	2.79910019759004e-07
KU509998	1.0	0.0	0.0
KY241730	1.0	0.0	0.0
KY241787	0.0	0.0	1.0
KY241673	1.0	0.0	0.0
KY241766	1.0	0.0	0.0
