parameter	value
pastml_version	1.9.15
character	country_code
log_likelihood	-577.1217897137544
log_likelihood_restricted_JOINT	-590.2604196692885
log_likelihood_restricted_MAP	-590.9600961810384
log_likelihood_restricted_MPPA	-580.2460024000909
method	MPPA
model	F81
num_nodes	746
num_scenarios	9.99372e+07
num_states_per_node_avg	1.0750670241286864
num_tips	469
num_unresolved_nodes	14
percentage_of_unresolved_nodes	1.876675603217158
scaling_factor	0.17677325684860698
state_changes_per_avg_branch	0.19133151705536303
AUS	0.009125300370052561
BRA	0.0629298775345817
CAF	1.824539286521023e-08
CAN	0.00912467044417273
CHN	0.046229410510472954
COL	0.009295671620193423
CUB	0.03852106245586662
DOM	0.07555205366725996
ECU	0.009129448377822057
GBR	0.009122676604052199
GTM	0.027360957392110648
GUF	0.009123788375278974
HND	0.08637557492786975
HTI	0.027560018562020044
IDN	0.009124715575684287
IND	0.009204830226772003
ITA	0.02760025220988723
JAM	0.02659895896321747
JPN	0.03648319411228074
KHM	0.009125125686411209
KOR	0.018276927019940784
MEX	0.028139497061326336
MTQ	0.009278092552729843
MYS	0.009126282275013801
NGA	1.8245392865196826e-08
NIC	0.08319372277602653
PAN	0.018282452842276652
PER	0.009138992295803517
PHL	0.009125373073956609
PRI	0.009382457771318195
PYF	0.009346327737887142
RUS	0.05473132734120126
SEN	1.8245392865196826e-08
SGP	0.03801845715892824
SLV	0.009124021870272466
SUR	0.01874883748695071
THA	0.013538879530827061
TWN	0.009125415933976895
UGA	1.824539286521023e-08
USA	0.09758988180877559
VEN	0.01824539286521023
