node	country_code	host_type	location
root	BRA	human	Caribbean
root	CHN	monkey	Central America
root	CUB	mosquito	Eastern Asia
root	DOM		Europe
root	GTM		Northern America
root	HND		South-eastern Asia
root	HTI		
root	ITA		
root	JAM		
root	JPN		
root	KOR		
root	MEX		
root	MYS		
root	NIC		
root	PAN		
root	PYF		
root	RUS		
root	SGP		
root	SUR		
root	THA		
root	USA		
root	VEN		
n0	MYS	mosquito	South-eastern Asia
n1	CHN	human	South-eastern Asia
n1	DOM		
n1	HND		
n1	JPN		
n1	NIC		
n1	PHL		
n1	RUS		
n1	SGP		
n1	THA		
n1	USA		
HQ234499	MYS	mosquito	South-eastern Asia
KX377336	MYS	mosquito	South-eastern Asia
n2	THA	human	South-eastern Asia
n440	BRA	human	South-eastern Asia
n440	CHN		
n440	CUB		
n440	DOM		
n440	HND		
n440	HTI		
n440	ITA		
n440	JAM		
n440	JPN		
n440	KOR		
n440	MEX		
n440	NIC		
n440	PHL		
n440	RUS		
n440	SGP		
n440	THA		
n440	USA		
n3	THA	human	South-eastern Asia
n5	THA	human	South-eastern Asia
KU681082	PHL	human	South-eastern Asia
n441	KOR	human	Eastern Asia
n4	KHM	human	South-eastern Asia
MG645981	THA	human	South-eastern Asia
n6	THA	human	South-eastern Asia
n11	THA	human	South-eastern Asia
KY120353	KOR	human	Eastern Asia
KY553111	KOR	human	Eastern Asia
KU955593	KHM	human	South-eastern Asia
J860885	KHM	human	South-eastern Asia
n7	THA	human	South-eastern Asia
n9	THA	human	South-eastern Asia
KU179098	IDN	human	South-eastern Asia
n12	THA	human	South-eastern Asia
n8	THA	human	South-eastern Asia
KX051561	THA	human	South-eastern Asia
n10	THA	human	South-eastern Asia
KY272987	THA	human	South-eastern Asia
KX051560	THA	human	South-eastern Asia
n13	THA	human	South-eastern Asia
KY328290	CHN	human	Eastern Asia
KX051562	THA	human	South-eastern Asia
KF993678	CAN	human	Northern America
KX694532	THA	human	South-eastern Asia
KU681081	THA	human	South-eastern Asia
n14	THA	human	South-eastern Asia
n15	PYF	human	Oceania
n15	THA		South-eastern Asia
n322	THA	human	South-eastern Asia
LC219720	JPN	human	Eastern Asia
n16	PYF	human	Oceania
n323	THA	human	South-eastern Asia
n438	THA	human	South-eastern Asia
KX447517	PYF	human	Oceania
n17	PYF	human	Oceania
n324	THA	human	South-eastern Asia
n436	THA	human	South-eastern Asia
MG807647	THA	human	South-eastern Asia
n439	SGP	human	South-eastern Asia
n439	THA		
n439	TWN		
n18	PYF	human	Oceania
n31	PYF	human	Oceania
n325	SGP	human	South-eastern Asia
MG807646	THA	human	South-eastern Asia
n437	THA	human	South-eastern Asia
MH013290	THA	human	South-eastern Asia
KY126351	TWN	human	Eastern Asia
KY241691	SGP	human	South-eastern Asia
n19	PYF	human	Oceania
n23	AUS	human	Oceania
n23	CHN		
n23	JPN		
n23	PYF		
KX447516	PYF	human	Oceania
KX447513	PYF	human	Oceania
n32	PYF	human	Oceania
n326	SGP	human	South-eastern Asia
n329	SGP	human	South-eastern Asia
MG548660	THA	human	South-eastern Asia
LC369584	JPN	human	Eastern Asia
n20	PYF	human	Oceania
KX447515	PYF	human	Oceania
n24	CHN	human	Eastern Asia
LC191864	JPN	human	Eastern Asia
KX806557	AUS	human	Oceania
n33	PYF	human	Oceania
n35	BRA	human	South America
KX447511	PYF	human	Oceania
KY241730	SGP	human	South-eastern Asia
KY241787	SGP	mosquito	South-eastern Asia
KY241673	SGP	human	South-eastern Asia
KY241766	SGP	human	South-eastern Asia
n330	SGP	human	South-eastern Asia
n348	SGP	human	South-eastern Asia
KX447509	PYF	human	Oceania
n21	PYF	human	Oceania
n25	CHN	human	Eastern Asia
KU761561	CHN	human	Eastern Asia
KX369547	PYF	human	Oceania
KX447512	PYF	human	Oceania
KX447510	PYF	human	Oceania
n317	BRA	human	South America
n179	BRA	human	South America
KU729218	BRA	human	South America
n40	BRA	human	South America
n50	BRA	human	South America
KY241788	SGP	human	South-eastern Asia
n62	BRA	human	South America
n92	BRA	human	South America
KY241707	SGP	human	South-eastern Asia
KY241782	SGP	mosquito	South-eastern Asia
n346	SGP	human	South-eastern Asia
KY241734	SGP	human	South-eastern Asia
n335	SGP	human	South-eastern Asia
KY241688	SGP	human	South-eastern Asia
n339	SGP	human	South-eastern Asia
KY241749	SGP	human	South-eastern Asia
KY241697	SGP	human	South-eastern Asia
KY241706	SGP	human	South-eastern Asia
KY241671	SGP	human	South-eastern Asia
n349	SGP	human	South-eastern Asia
KY241708	SGP	human	South-eastern Asia
KX447514	PYF	human	Oceania
KJ776791	PYF	human	Oceania
n29	CHN	human	Eastern Asia
KU963796	CHN	human	Eastern Asia
KU820899	CHN	human	Eastern Asia
MF099651	CHN	monkey	Eastern Asia
MF036115	CHN	human	Eastern Asia
KX051563	USA	human	Northern America
n318	BRA	human	South America
n272	BRA	human	South America
n181	BRA	human	South America
n182	BRA	human	South America
n41	ITA	human	Europe
n42	BRA	human	South America
n51	BRA	human	South America
n60	BRA	human	South America
MH513600	BRA	human	South America
n91	BRA	human	South America
KY441401	BRA	human	South America
n65	BRA	human	South America
n93	BRA	human	South America
KY785410	BRA	human	South America
n99	MEX	human	Central America
KY241773	SGP	human	South-eastern Asia
KY241777	SGP	mosquito	South-eastern Asia
KY241751	SGP	human	South-eastern Asia
KY241744	SGP	human	South-eastern Asia
KY241714	SGP	human	South-eastern Asia
KY241738	SGP	human	South-eastern Asia
KY241721	SGP	human	South-eastern Asia
n341	SGP	human	South-eastern Asia
KY241716	SGP	human	South-eastern Asia
KY241783	SGP	mosquito	South-eastern Asia
KY241758	SGP	human	South-eastern Asia
KY241745	SGP	human	South-eastern Asia
n353	SGP	human	South-eastern Asia
n431	SGP	mosquito	South-eastern Asia
KY241727	SGP	human	South-eastern Asia
KY241780	SGP	mosquito	South-eastern Asia
KY241682	SGP	human	South-eastern Asia
KY241778	SGP	mosquito	South-eastern Asia
KY241776	SGP	mosquito	South-eastern Asia
KU997667	CHN	human	Eastern Asia
KX013000	CHN	human	Eastern Asia
n319	BRA	human	South America
KU509998	HTI	human	Caribbean
n273	BRA	human	South America
n309	BRA	human	South America
KX197205	BRA	human	South America
KY559021	BRA	human	South America
n183	BRA	human	South America
n189	BRA	human	South America
KU527068	BRA	human	South America
KY003154	ITA	human	Europe
KY003153	ITA	human	Europe
KX101060	BRA	human	South America
n43	BRA	human	South America
n55	BRA	human	South America
KY559017	BRA	human	South America
KY559006	BRA	human	South America
n54	BRA	human	South America
KY559007	BRA	human	South America
KY559005	BRA	human	South America
KY693680	VEN	human	South America
KY631492	BRA	human	South America
n66	BRA	human	South America
n88	BRA	human	South America
n94	BRA	human	South America
KU926309	BRA	human	South America
KY785437	BRA	human	South America
KY014308	BRA	human	South America
KY559032	BRA	human	South America
n177	MEX	human	Central America
n168	MEX	human	Central America
n102	HND	human	Central America
n162	CUB	human	Central America
n162	HND		
n162	MEX		
n153	MEX	human	Central America
n119	MEX	human	Central America
MF801378	GTM	human	Central America
n138	MEX	human	Central America
n143	HND	human	Central America
n152	NIC	human	Central America
n157	MEX	human	Central America
n160	MEX	human	Central America
MF801381	HND	human	Central America
KY241698	SGP	human	South-eastern Asia
