node	country_code	host_type	location
root	BRA	human	Caribbean
root	CHN	monkey	Eastern Asia
root	CUB	mosquito	Europe
root	DOM		Northern America
root	GTM		South-eastern Asia
root	HTI		
root	ITA		
root	JAM		
root	JPN		
root	KOR		
root	MEX		
root	MYS		
root	NIC		
root	PAN		
root	RUS		
root	SGP		
root	SUR		
root	USA		
root	VEN		
n0	MYS	mosquito	South-eastern Asia
n1	CHN	human	South-eastern Asia
n1	KOR		
n1	MEX		
n1	NIC		
n1	PHL		
n1	RUS		
n1	SGP		
n1	THA		
n1	USA		
HQ234499	MYS	mosquito	South-eastern Asia
KX377336	MYS	mosquito	South-eastern Asia
n2	THA	human	South-eastern Asia
n467	CHN	human	South-eastern Asia
n467	CUB		
n467	DOM		
n467	ITA		
n467	JPN		
n467	KOR		
n467	MEX		
n467	NIC		
n467	PHL		
n467	RUS		
n467	SGP		
n467	THA		
n467	USA		
n3	THA	human	South-eastern Asia
n5	THA	human	South-eastern Asia
KU681082	PHL	human	South-eastern Asia
n468	KOR	human	Eastern Asia
n4	KHM	human	South-eastern Asia
MG645981	THA	human	South-eastern Asia
n6	THA	human	South-eastern Asia
n11	THA	human	South-eastern Asia
KY120353	KOR	human	Eastern Asia
KY553111	KOR	human	Eastern Asia
KU955593	KHM	human	South-eastern Asia
J860885	KHM	human	South-eastern Asia
n7	THA	human	South-eastern Asia
n9	THA	human	South-eastern Asia
KU179098	IDN	human	South-eastern Asia
n12	THA	human	South-eastern Asia
n8	THA	human	South-eastern Asia
KX051561	THA	human	South-eastern Asia
n10	THA	human	South-eastern Asia
KY272987	THA	human	South-eastern Asia
n13	THA	human	South-eastern Asia
KX051560	THA	human	South-eastern Asia
KY328290	CHN	human	Eastern Asia
KX051562	THA	human	South-eastern Asia
KF993678	CAN	human	Northern America
KX694532	THA	human	South-eastern Asia
n14	THA	human	South-eastern Asia
n464	IND	human	Southern Asia
KU681081	THA	human	South-eastern Asia
n15	THA	human	South-eastern Asia
MK238035	IND	human	Southern Asia
n465	IND	human	Southern Asia
n16	PYF	human	Oceania
n16	THA		South-eastern Asia
n345	THA	human	South-eastern Asia
n466	IND	human	Southern Asia
MK238036	IND	human	Southern Asia
LC219720	JPN	human	Eastern Asia
n17	PYF	human	Oceania
n346	THA	human	South-eastern Asia
n462	THA	human	South-eastern Asia
MK238038	IND	human	Southern Asia
MK238037	IND	human	Southern Asia
KX447517	PYF	human	Oceania
n18	PYF	human	Oceania
n347	THA	human	South-eastern Asia
n460	THA	human	South-eastern Asia
MG807647	THA	human	South-eastern Asia
n463	SGP	human	South-eastern Asia
n463	THA		
n463	TWN		
n19	PYF	human	Oceania
n32	PYF	human	Oceania
n348	SGP	human	South-eastern Asia
MG807646	THA	human	South-eastern Asia
n461	THA	human	South-eastern Asia
MH013290	THA	human	South-eastern Asia
KY126351	TWN	human	Eastern Asia
KY241691	SGP	human	South-eastern Asia
n20	PYF	human	Oceania
n23	PYF	human	Oceania
KX447513	PYF	human	Oceania
n33	PYF	human	Oceania
n349	SGP	human	South-eastern Asia
n353	SGP	human	South-eastern Asia
MG548660	THA	human	South-eastern Asia
LC369584	JPN	human	Eastern Asia
n21	PYF	human	Oceania
KX447515	PYF	human	Oceania
n24	AUS	human	Oceania
n24	CHN		
n24	PYF		
KX447516	PYF	human	Oceania
n34	PYF	human	Oceania
n35	PYF	human	Oceania
n350	SGP	human	South-eastern Asia
n352	SGP	human	South-eastern Asia
n354	SGP	human	South-eastern Asia
n372	SGP	human	South-eastern Asia
KX447509	PYF	human	Oceania
n22	PYF	human	Oceania
n25	CHN	human	Eastern Asia
n31	AUS	human	Oceania
n31	CHN		
n31	PYF		
KX369547	PYF	human	Oceania
KX447512	PYF	human	Oceania
n36	PYF	human	Oceania
KX447511	PYF	human	Oceania
n351	SGP	human	South-eastern Asia
KY241787	SGP	mosquito	South-eastern Asia
KY241769	SGP	human	South-eastern Asia
KY241730	SGP	human	South-eastern Asia
n355	SGP	human	South-eastern Asia
KY241707	SGP	human	South-eastern Asia
n373	SGP	human	South-eastern Asia
KY241708	SGP	human	South-eastern Asia
KX447514	PYF	human	Oceania
KJ776791	PYF	human	Oceania
n26	CHN	human	Eastern Asia
KU761561	CHN	human	Eastern Asia
LC191864	JPN	human	Eastern Asia
KX806557	AUS	human	Oceania
n37	BRA	human	Oceania
n37	PYF		South America
KX447510	PYF	human	Oceania
KY241673	SGP	human	South-eastern Asia
KY241766	SGP	human	South-eastern Asia
n356	SGP	human	South-eastern Asia
KY241782	SGP	mosquito	South-eastern Asia
n374	SGP	human	South-eastern Asia
KY241758	SGP	human	South-eastern Asia
n27	CHN	human	Eastern Asia
n30	CHN	human	Eastern Asia
n38	BRA	human	South America
n339	BRA	human	Caribbean
n339	HTI		Northern America
n339	USA		South America
n357	SGP	human	South-eastern Asia
n370	SGP	human	South-eastern Asia
n375	SGP	human	South-eastern Asia
KY241745	SGP	human	South-eastern Asia
n28	CHN	human	Eastern Asia
KU963796	CHN	human	Eastern Asia
KU997667	CHN	human	Eastern Asia
KX013000	CHN	human	Eastern Asia
n39	BRA	human	South America
n192	BRA	human	South America
KX051563	USA	human	Northern America
n340	HTI	human	Caribbean
n358	SGP	human	South-eastern Asia
KY241734	SGP	human	South-eastern Asia
KY241773	SGP	human	South-eastern Asia
n371	SGP	human	South-eastern Asia
n376	SGP	human	South-eastern Asia
n456	SGP	human	South-eastern Asia
n456		mosquito	
n29	CHN	human	Eastern Asia
KU820899	CHN	human	Eastern Asia
n40	BRA	human	South America
n49	BRA	human	South America
n193	BRA	human	South America
n291	BRA	human	South America
KU744693	CHN	human	Eastern Asia
n341	HTI	human	Caribbean
n359	SGP	human	South-eastern Asia
n361	SGP	human	South-eastern Asia
