node	country_code	host_type	location
root	BRA	human	South-eastern Asia
root	CHN	mosquito	
root	CUB		
root	DOM		
root	ITA		
root	JPN		
root	MEX		
root	MYS		
root	NIC		
root	RUS		
root	SGP		
root	THA		
root	USA		
n0	MYS	mosquito	South-eastern Asia
n1	THA	human	South-eastern Asia
HQ234499	MYS	mosquito	South-eastern Asia
KX377336	MYS	mosquito	South-eastern Asia
n2	THA	human	South-eastern Asia
n465	KOR	human	South-eastern Asia
n465	PHL		
n465	THA		
n3	THA	human	South-eastern Asia
n5	THA	human	South-eastern Asia
KU681082	PHL	human	South-eastern Asia
n466	KOR	human	Eastern Asia
n4	THA	human	South-eastern Asia
MG645981	THA	human	South-eastern Asia
n6	THA	human	South-eastern Asia
n11	THA	human	South-eastern Asia
KY120353	KOR	human	Eastern Asia
KY553111	KOR	human	Eastern Asia
KU955593	KHM	human	South-eastern Asia
J860885	THA	human	South-eastern Asia
n7	THA	human	South-eastern Asia
n9	THA	human	South-eastern Asia
KU179098	IDN	human	South-eastern Asia
n12	THA	human	South-eastern Asia
n8	THA	human	South-eastern Asia
KX051561	THA	human	South-eastern Asia
n10	THA	human	South-eastern Asia
KY272987	THA	human	South-eastern Asia
n13	THA	human	South-eastern Asia
KX051560	THA	human	South-eastern Asia
KY328290	CHN	human	Eastern Asia
KX051562	THA	human	South-eastern Asia
KF993678	CAN	human	Northern America
KX694532	THA	human	South-eastern Asia
n14	THA	human	South-eastern Asia
n462	IND	human	Southern Asia
KU681081	THA	human	South-eastern Asia
n15	THA	human	South-eastern Asia
MK238035	IND	human	Southern Asia
n463	IND	human	Southern Asia
n16	PYF	human	Oceania
n16	THA		South-eastern Asia
n344	THA	human	South-eastern Asia
n464	IND	human	Southern Asia
MK238036	IND	human	Southern Asia
LC219720	JPN	human	Eastern Asia
n17	PYF	human	Oceania
n345	THA	human	South-eastern Asia
n460	THA	human	South-eastern Asia
MK238038	IND	human	Southern Asia
MK238037	IND	human	Southern Asia
KX447517	PYF	human	Oceania
n20	PYF	human	Oceania
n23	PYF	human	Oceania
KX447513	PYF	human	Oceania
n34	PYF	human	Oceania
n36	PYF	human	Oceania
KX447511	PYF	human	Oceania
n346	THA	human	South-eastern Asia
n458	THA	human	South-eastern Asia
MG807647	THA	human	South-eastern Asia
n461	SGP	human	South-eastern Asia
n461	THA		
n461	TWN		
n21	PYF	human	Oceania
KX447515	PYF	human	Oceania
n24	AUS	human	Oceania
n24	CHN		
n24	JPN		
n24	PYF		
KX447516	PYF	human	Oceania
KX369547	PYF	human	Oceania
KX447512	PYF	human	Oceania
n37	BRA	human	South America
KX447510	PYF	human	Oceania
n347	SGP	human	South-eastern Asia
MG807646	THA	human	South-eastern Asia
n459	THA	human	South-eastern Asia
MH013290	THA	human	South-eastern Asia
KY126351	TWN	human	Eastern Asia
KY241691	SGP	human	South-eastern Asia
KX447509	PYF	human	Oceania
n22	PYF	human	Oceania
n25	CHN	human	Eastern Asia
n31	AUS	human	Oceania
n31	CHN		
n31	JPN		
n31	PYF		
n338	BRA	human	South America
n40	BRA	human	South America
n49	BRA	human	South America
n192	BRA	human	South America
n291	BRA	human	South America
n328	BRA	human	South America
n348	SGP	human	South-eastern Asia
n352	SGP	human	South-eastern Asia
KY241708	SGP	human	South-eastern Asia
KY241758	SGP	human	South-eastern Asia
KY241745	SGP	human	South-eastern Asia
n454	SGP	human	South-eastern Asia
n453	SGP	mosquito	South-eastern Asia
n376	SGP	human	South-eastern Asia
KY241701	SGP	human	South-eastern Asia
MG548660	THA	human	South-eastern Asia
LC369584	JPN	human	Eastern Asia
KX447514	PYF	human	Oceania
KJ776791	PYF	human	Oceania
n26	CHN	human	Eastern Asia
KU761561	CHN	human	Eastern Asia
LC191864	JPN	human	Eastern Asia
KX806557	AUS	human	Oceania
KX051563	USA	human	Northern America
n339	BRA	human	South America
KU729218	BRA	human	South America
n41	BRA	human	South America
n50	BRA	human	South America
n63	BRA	human	South America
n193	BRA	human	South America
n194	BRA	human	South America
n292	BRA	human	South America
KY559003	BRA	human	South America
KY014313	BRA	human	South America
n329	BRA	human	South America
KY241730	SGP	human	South-eastern Asia
n350	SGP	human	South-eastern Asia
KY241787	SGP	mosquito	South-eastern Asia
KY241707	SGP	human	South-eastern Asia
KY241782	SGP	mosquito	South-eastern Asia
KY241734	SGP	human	South-eastern Asia
KY241744	SGP	human	South-eastern Asia
n358	SGP	human	South-eastern Asia
KY241688	SGP	human	South-eastern Asia
n360	SGP	human	South-eastern Asia
KY241773	SGP	human	South-eastern Asia
KY241777	SGP	mosquito	South-eastern Asia
KY241751	SGP	human	South-eastern Asia
KY241727	SGP	human	South-eastern Asia
KY241780	SGP	mosquito	South-eastern Asia
KY241682	SGP	human	South-eastern Asia
n457	SGP	mosquito	South-eastern Asia
KY241781	SGP	mosquito	South-eastern Asia
KY241779	SGP	mosquito	South-eastern Asia
KY241687	SGP	human	South-eastern Asia
n383	SGP	human	South-eastern Asia
KY241695	SGP	human	South-eastern Asia
n381	SGP	human	South-eastern Asia
KY241752	SGP	human	South-eastern Asia
KY241741	SGP	human	South-eastern Asia
KY241735	SGP	human	South-eastern Asia
KY241755	SGP	human	South-eastern Asia
n408	SGP	human	South-eastern Asia
KY241771	SGP	human	South-eastern Asia
n30	CHN	human	Eastern Asia
KU963796	CHN	human	Eastern Asia
n29	CHN	human	Eastern Asia
KU820899	CHN	human	Eastern Asia
KU744693	CHN	human	Eastern Asia
n340	BRA	human	South America
n42	ITA	human	Europe
n43	BRA	human	South America
n51	BRA	human	South America
KY241788	SGP	human	South-eastern Asia
n64	BRA	human	South America
n94	BRA	human	South America
KX197205	BRA	human	South America
KY559021	BRA	human	South America
n195	BRA	human	South America
n200	BRA	human	South America
n293	BRA	human	South America
KY785429	BRA	human	South America
KY014317	BRA	human	South America
n335	BRA	human	South America
n332	BRA	human	South America
n334	BRA	human	South America
KY785427	BRA	human	South America
KY241673	SGP	human	South-eastern Asia
KY241766	SGP	human	South-eastern Asia
KY241714	SGP	human	South-eastern Asia
KY241738	SGP	human	South-eastern Asia
KY241721	SGP	human	South-eastern Asia
n363	SGP	human	South-eastern Asia
KY241716	SGP	human	South-eastern Asia
KY241783	SGP	mosquito	South-eastern Asia
KY241749	SGP	human	South-eastern Asia
KY241697	SGP	human	South-eastern Asia
KY241706	SGP	human	South-eastern Asia
KY241671	SGP	human	South-eastern Asia
KY241778	SGP	mosquito	South-eastern Asia
KY241776	SGP	mosquito	South-eastern Asia
KY241760	SGP	human	South-eastern Asia
KY241785	SGP	mosquito	South-eastern Asia
KY241702	SGP	human	South-eastern Asia
KY241709	SGP	human	South-eastern Asia
KY241763	SGP	human	South-eastern Asia
KY241762	SGP	human	South-eastern Asia
KY241742	SGP	human	South-eastern Asia
KY241757	SGP	human	South-eastern Asia
KY241703	SGP	human	South-eastern Asia
n392	SGP	human	South-eastern Asia
n382	SGP	human	South-eastern Asia
KY241772	SGP	human	South-eastern Asia
KY241704	SGP	human	South-eastern Asia
KY241719	SGP	human	South-eastern Asia
KY241683	SGP	human	South-eastern Asia
KY241786	SGP	mosquito	South-eastern Asia
KY241748	SGP	human	South-eastern Asia
KY241722	SGP	human	South-eastern Asia
KY241770	SGP	human	South-eastern Asia
KY241711	SGP	human	South-eastern Asia
KY241743	SGP	human	South-eastern Asia
KY241699	SGP	human	South-eastern Asia
n452	SGP	human	South-eastern Asia
KY241732	SGP	human	South-eastern Asia
KY241724	SGP	human	South-eastern Asia
n422	SGP	human	South-eastern Asia
KY241731	SGP	human	South-eastern Asia
KY241750	SGP	human	South-eastern Asia
KY241718	SGP	human	South-eastern Asia
KY241710	SGP	human	South-eastern Asia
n437	SGP	human	South-eastern Asia
KY241728	SGP	human	South-eastern Asia
KY241747	SGP	human	South-eastern Asia
KY241715	SGP	human	South-eastern Asia
KY241768	SGP	human	South-eastern Asia
KY241723	SGP	human	South-eastern Asia
n444	SGP	human	South-eastern Asia
n451	SGP	human	South-eastern Asia
KU997667	CHN	human	Eastern Asia
KX013000	CHN	human	Eastern Asia
MF099651	CHN	monkey	Eastern Asia
MF036115	CHN	human	Eastern Asia
n341	BRA	human	South America
KU509998	HTI	human	Caribbean
KY003154	ITA	human	Europe
KY003153	ITA	human	Europe
KX101060	BRA	human	South America
n44	BRA	human	South America
n52	BRA	human	South America
n62	BRA	human	South America
MH513600	BRA	human	South America
n66	BRA	human	South America
n93	BRA	human	South America
n95	BRA	human	South America
KY785410	BRA	human	South America
n101	HND	human	Central America
n196	ECU	human	South America
n198	BRA	human	South America
n201	BRA	human	South America
KU527068	BRA	human	South America
n294	BRA	human	South America
n296	BRA	human	South America
n325	BRA	human	South America
KY014309	BRA	human	South America
n336	BRA	human	South America
KY014296	BRA	human	South America
KY014320	BRA	human	South America
MH763833	BRA	human	South America
MH763832	BRA	human	South America
KY241698	SGP	human	South-eastern Asia
KY241740	SGP	human	South-eastern Asia
KY241784	SGP	mosquito	South-eastern Asia
KY241761	SGP	human	South-eastern Asia
KY241746	SGP	human	South-eastern Asia
n396	SGP	human	South-eastern Asia
KY241739	SGP	human	South-eastern Asia
n403	SGP	human	South-eastern Asia
KY241705	SGP	human	South-eastern Asia
KY241725	SGP	human	South-eastern Asia
KY241737	SGP	human	South-eastern Asia
KY241679	SGP	human	South-eastern Asia
KX827309	SGP	human	South-eastern Asia
KY241674	SGP	human	South-eastern Asia
n423	SGP	human	South-eastern Asia
KY241713	SGP	human	South-eastern Asia
KX813683	SGP	human	South-eastern Asia
KY241759	SGP	human	South-eastern Asia
KY241692	SGP	human	South-eastern Asia
KY241693	SGP	human	South-eastern Asia
KY241775	SGP	mosquito	South-eastern Asia
n449	SGP	human	South-eastern Asia
KY241774	SGP	mosquito	South-eastern Asia
KY241689	SGP	human	South-eastern Asia
KY241736	SGP	human	South-eastern Asia
MF352141	BRA	human	South America
KR872956	BRA	human	South America
KU321639	BRA	human	South America
MF783073	HTI	mosquito	Caribbean
n47	BRA	human	South America
n46	BRA	human	South America
KU940228	BRA	human	South America
n57	BRA	human	South America
KY559017	BRA	human	South America
n54	BRA	human	South America
KY559007	BRA	human	South America
KY559005	BRA	human	South America
KY441401	BRA	human	South America
n67	BRA	human	South America
KY693680	VEN	human	South America
KY631492	BRA	human	South America
n96	BRA	human	South America
n98	BRA	human	South America
KU926309	BRA	human	South America
n189	HND	human	Central America
n189	MEX		
n189	NIC		
n189	SLV		
n180	HND	human	Central America
n104	HND	human	Central America
n172	HND	human	Central America
n163	HND	human	Central America
n159	HND	human	Central America
n121	HND	human	Central America
n121	MEX		
n143	HND	human	Central America
n148	HND	human	Central America
KX879604	ECU	human	South America
n197	ECU	human	South America
KX811222	BRA	human	South America
KX280026	BRA	human	South America
MH513599	BRA	human	South America
MF073359	BRA	human	South America
n203	BRA	human	South America
n287	BRA	human	South America
KY014307	BRA	human	South America
KY785433	BRA	human	South America
n322	BRA	human	South America
n298	BRA	human	South America
KY558999	BRA	human	South America
KU497555	BRA	human	South America
n326	BRA	human	South America
n337	BRA	human	South America
KY559031	BRA	human	South America
KY241754	SGP	human	South-eastern Asia
KY241753	SGP	human	South-eastern Asia
n399	SGP	human	South-eastern Asia
n400	SGP	human	South-eastern Asia
KY241696	SGP	human	South-eastern Asia
KY241764	SGP	human	South-eastern Asia
KY241685	SGP	human	South-eastern Asia
KY241676	SGP	human	South-eastern Asia
KY241678	SGP	human	South-eastern Asia
KY241684	SGP	human	South-eastern Asia
KY241767	SGP	human	South-eastern Asia
KY241677	SGP	human	South-eastern Asia
KY241675	SGP	human	South-eastern Asia
KY241681	SGP	human	South-eastern Asia
KY241756	SGP	human	South-eastern Asia
KY241680	SGP	human	South-eastern Asia
KY241690	SGP	human	South-eastern Asia
KY241694	SGP	human	South-eastern Asia
KY241686	SGP	human	South-eastern Asia
n48	BRA	human	South America
KU940227	BRA	human	South America
KX520666	BRA	human	South America
KU940224	BRA	human	South America
n58	BRA	human	South America
KY559009	BRA	human	South America
KY559006	BRA	human	South America
KY559011	BRA	human	South America
n56	BRA	human	South America
n68	BRA	human	South America
n90	BRA	human	South America
KY559025	BRA	human	South America
KY272991	BRA	human	South America
KY785437	BRA	human	South America
n99	BRA	human	South America
n190	HND	human	Central America
n190	MEX		
n190	NIC		
n190	SLV		
MF801406	MEX	human	Central America
n181	HND	human	Central America
n187	HND	human	Central America
n106	HND	human	Central America
n108	HND	human	Central America
n115	NIC	human	Central America
KY606274	MEX	human	Central America
n173	CUB	human	Central America
n173	HND		
n179	HND	human	Central America
n164	GTM	human	Central America
n164	HND		
n164	MEX		
n167	MEX	human	Central America
MF801381	HND	human	Central America
n160	HND	human	Central America
n160	NIC		
n160	USA		
n162	HND	human	Central America
n122	MEX	human	Central America
MF801378	GTM	human	Central America
n144	MEX	human	Central America
MF801383	HND	human	Central America
n149	HND	human	Central America
n158	NIC	human	Central America
MF794971	ECU	human	South America
KX879603	ECU	human	South America
n204	BRA	human	South America
KY558989	BRA	human	South America
n288	BRA	human	South America
n289	BRA	human	South America
n323	BRA	human	South America
n324	BRA	human	South America
n299	COL	human	South America
KY558996	BRA	human	South America
KU991811	ITA	human	Europe
n327	BRA	human	South America
KY014301	BRA	human	South America
KY785479	BRA	human	South America
KY241765	SGP	human	South-eastern Asia
KY241733	SGP	human	South-eastern Asia
KY241726	SGP	human	South-eastern Asia
KY241720	SGP	human	South-eastern Asia
KX101066	BRA	human	South America
KX101061	BRA	human	South America
n59	BRA	human	South America
KY559013	BRA	human	South America
KY559010	BRA	human	South America
KY559012	BRA	human	South America
KU312312	SUR	human	South America
n89	BRA	human	South America
n84	CHN	human	Eastern Asia
n72	BRA	human	South America
n74	BRA	human	South America
n92	BRA	human	South America
KU365779	BRA	human	South America
KU707826	BRA	human	South America
KY014308	BRA	human	South America
KY559032	BRA	human	South America
MF801377	SLV	human	Central America
KY765323	NIC	human	Central America
MF801397	MEX	human	Central America
n182	HND	human	Central America
n188	HND	human	Central America
MF801408	MEX	human	Central America
n107	HND	human	Central America
MF801387	HND	human	Central America
n109	HND	human	Central America
MF801389	HND	human	Central America
KY765319	NIC	human	Central America
KX421195	NIC	human	Central America
KX421194	NIC	human	Central America
n174	CUB	human	Caribbean
MF801380	GTM	human	Central America
KX906952	HND	human	Central America
KX262887	HND	human	Central America
n165	GTM	human	Central America
MF801403	MEX	human	Central America
n168	MEX	human	Central America
MF801400	MEX	human	Central America
n171	MEX	human	Central America
n161	USA	human	Northern America
MF801426	NIC	human	Central America
MF593625	CHN	human	Eastern Asia
MF801382	HND	human	Central America
n123	MEX	human	Central America
n125	MEX	human	Central America
n145	MEX	human	Central America
n146	MEX	human	Central America
n150	HND	human	Central America
n155	HND	human	Central America
KY765324	NIC	human	Central America
MF434518	NIC	human	Central America
n205	BRA	human	South America
MF098767	RUS	human	Europe
KU729217	BRA	human	South America
KY120352	KOR	human	Eastern Asia
KY785426	BRA	human	South America
MF073358	BRA	human	South America
KY559014	BRA	human	South America
KY559015	BRA	human	South America
KY785455	BRA	human	South America
KY785480	BRA	human	South America
n300	COL	human	South America
n308	COL	human	South America
KY559001	BRA	human	South America
KY558995	BRA	human	South America
KY559019	BRA	human	South America
n60	BRA	human	South America
KY785450	BRA	human	South America
KY014297	BRA	human	South America
n85	CHN	human	Eastern Asia
KU820898	CHN	human	Eastern Asia
n73	BRA	human	South America
MF073357	BRA	human	South America
n75	SUR	human	South America
KU365778	BRA	human	South America
n78	PRI	human	Caribbean
n78			South America
KU365777	BRA	human	South America
KU365780	BRA	human	South America
n183	HND	human	Central America
n185	HND	human	Central America
MF801384	HND	human	Central America
MF801386	HND	human	Central America
KY785431	HND	human	Central America
KU870645	USA	human	Northern America
n110	HND	human	Central America
MF434517	NIC	human	Central America
MF988734	SGP	human	South-eastern Asia
n176	CUB	human	Caribbean
n178	CUB	human	Caribbean
KU501216	GTM	human	Central America
KU501217	GTM	human	Central America
n169	MEX	human	Central America
MG494697	MEX	human	Central America
MF801411	MEX	human	Central America
MF801399	MEX	human	Central America
KY325479	USA	human	Northern America
KY325465	USA	human	Northern America
MF801419	MEX	human	Central America
n124	MEX	human	Central America
n126	MEX	human	Central America
n141	MEX	human	Central America
KY606271	MEX	human	Central America
MF801404	MEX	human	Central America
n147	MEX	human	Central America
MF801402	MEX	human	Central America
n151	HND	human	Central America
KY014310	HND	human	Central America
MF801385	HND	human	Central America
n157	HND	human	Central America
KY328289	HND	human	Central America
n206	DOM	human	Caribbean
KY559026	BRA	human	South America
n301	COL	human	South America
KX548902	COL	human	South America
KY014303	DOM	human	Caribbean
n310	COL	human	South America
n313	COL	human	South America
n316	COL	human	South America
KY785466	COL	human	South America
KY559018	BRA	human	South America
KY559024	BRA	human	South America
KY559023	BRA	human	South America
KX766028	DOM	human	Caribbean
n86	CHN	human	Eastern Asia
KY441403	BRA	human	South America
KY441402	BRA	human	South America
KU758877	GUF	human	South America
KY348640	SUR	human	South America
KU937936	SUR	human	South America
KY785456	BRA	human	South America
n80	PRI	human	Caribbean
KY785481	PRI	human	Caribbean
n184	HND	human	Central America
KY014306	HND	human	Central America
MF801410	MEX	human	Central America
n186	HND	human	Central America
MF434516	NIC	human	Central America
n112	HND	human	Central America
n113	HND	human	Central America
n177	CUB	human	Caribbean
MH063262	CUB	human	Caribbean
MH063265	CUB	human	Caribbean
MF159531	USA	human	Northern America
KY606273	MEX	human	Central America
MF801423	MEX	human	Central America
MF801391	MEX	human	Central America
MF801412	MEX	human	Central America
n127	MEX	human	Central America
n130	MEX	human	Central America
n138	MEX	human	Central America
n135	MEX	human	Central America
n136	MEX	human	Central America
MF801407	MEX	human	Central America
MF801422	MEX	human	Central America
MF801396	MEX	human	Central America
MF801418	MEX	human	Central America
KY785442	HND	human	Central America
KY014319	HND	human	Central America
n153	NIC	human	Central America
KY014312	HND	human	Central America
KY785452	HND	human	Central America
KY014302	DOM	human	Caribbean
KY785476	DOM	human	Caribbean
n210	DOM	human	Caribbean
n213	DOM	human	Caribbean
n285	DOM	human	Caribbean
n285	ITA		Europe
n217	CUB	human	Caribbean
n239	DOM	human	Caribbean
n237	DOM	human	Caribbean
n224	USA	human	Northern America
KY785424	JAM	human	Caribbean
n267	DOM	human	Caribbean
MF098766	RUS	human	Europe
n278	DOM	human	Caribbean
n279	RUS	human	Europe
n282	DOM	human	Caribbean
n284	DOM	human	Caribbean
n304	MTQ	human	Caribbean
KY317937	COL	human	South America
n303	PER	human	South America
n311	COL	human	South America
KX198135	PAN	human	Central America
n314	COL	human	South America
KY785469	COL	human	South America
n317	COL	human	South America
n320	PAN	human	Central America
KX056898	CHN	human	Eastern Asia
n87	CHN	human	Eastern Asia
n81	PRI	human	Caribbean
n82	PRI	human	Caribbean
KY693677	HND	human	Central America
KY765325	NIC	human	Central America
KY785418	HND	human	Central America
KY014315	HND	human	Central America
KY785448	HND	human	Central America
MF434522	NIC	human	Central America
KY785414	HND	human	Central America
KY693676	HND	human	Central America
MH063263	CUB	human	Caribbean
MH063259	CUB	human	Caribbean
MF801414	MEX	human	Central America
n128	MEX	human	Central America
n132	MEX	human	Central America
MF801413	MEX	human	Central America
KY631493	MEX	human	Central America
n139	MEX	human	Central America
MF801395	MEX	human	Central America
MF801393	MEX	human	Central America
MF801398	MEX	human	Central America
MF098771	RUS	human	Europe
n137	MEX	mosquito	Central America
MF434521	NIC	human	Central America
n154	NIC	human	Central America
KY785423	DOM	human	Caribbean
n211	DOM	human	Caribbean
LC190723	JPN	human	Eastern Asia
n214	DOM	human	Caribbean
KX269878	ITA	human	Europe
n286	ITA	human	Caribbean
n286			Europe
n286			Northern America
n218	CUB	human	Caribbean
MF438286	CUB	human	Caribbean
n240	DOM	human	Caribbean
MF098765	RUS	human	Europe
KY785430	JAM	human	Caribbean
n238	DOM	human	Caribbean
n225	USA	human	Northern America
KY325471	USA	human	Northern America
n268	HTI	human	Caribbean
MH063261	CUB	human	Caribbean
KY785484	DOM	human	Caribbean
KY785435	DOM	human	Caribbean
MF664436	RUS	human	Europe
MF098768	RUS	human	Europe
MF098769	RUS	human	Europe
KY785415	DOM	human	Caribbean
KY785470	DOM	human	Caribbean
KY014314	DOM	human	Caribbean
KY785420	DOM	human	Caribbean
KY014318	DOM	human	Caribbean
n305	MTQ	human	Caribbean
n307	MTQ	human	Caribbean
KY693678	PER	human	South America
KY693679	PER	human	South America
KY317936	COL	human	South America
