node	human	monkey	mosquito
root	0.3375123958169352	0.10392413497858083	0.558563469204484
n0	0.0015100704739082012	0.0007457283779320998	0.9977442011481596
n1	0.99231105552522	0.002535563430704526	0.00515338104407532
HQ234499	0.0	0.0	1.0
KX377336	0.0	0.0	1.0
n2	0.9994748634381033	0.00018349638579448095	0.0003416401761021031
n465	0.9948413679092497	0.0024200229945012686	0.002738609096248978
n3	0.9982400426546365	0.0008404814749914089	0.000919475870371976
n5	0.9999575657249163	1.8949235058095873e-05	2.348504002559998e-05
KU681082	1.0	0.0	0.0
n466	0.9999167654504597	4.136378014813548e-05	4.187076939218075e-05
n4	0.9960345171299783	0.0019451743008010638	0.0020203085692205953
MG645981	1.0	0.0	0.0
n6	0.999560200492647	0.00021983978151146488	0.00021995972584149966
n11	0.9999824356861242	8.482540244869976e-06	9.08177363092037e-06
KY120353	1.0	0.0	0.0
KY553111	1.0	0.0	0.0
KU955593	1.0	0.0	0.0
J860885	0.9960345171299783	0.0019451743008010638	0.0020203085692205953
n7	0.999767092396495	0.00011645004617732954	0.00011645755732771637
n9	0.99949801328665	0.0002509897009942055	0.0002509970123557829
KU179098	1.0	0.0	0.0
n12	0.999988994406698	5.433451672059338e-06	5.572141629937808e-06
n8	0.9997062567036821	0.00014687112204280183	0.000146872174275108
KX051561	1.0	0.0	0.0
n10	0.9999932687318882	3.3656296834415682e-06	3.3656384283831e-06
KY272987	1.0	0.0	0.0
n13	0.9999957444967431	2.1227428824890158e-06	2.13276037453774e-06
KX051560	1.0	0.0	0.0
KY328290	1.0	0.0	0.0
KX051562	1.0	0.0	0.0
KF993678	1.0	0.0	0.0
KX694532	1.0	0.0	0.0
n14	0.9999955678802623	2.2127396340647857e-06	2.219380103725221e-06
n462	0.9997415881536612	0.0001292059091890174	0.00012920593714976238
KU681081	1.0	0.0	0.0
n15	0.9999944813885826	2.759063617903414e-06	2.759547799531352e-06
MK238035	1.0	0.0	0.0
n463	0.9999864528420938	6.773578733358644e-06	6.773579172887206e-06
n16	0.9999853392472351	7.330331434370771e-06	7.330421330566948e-06
n344	0.9995141342362849	0.00024293286906632662	0.00024293289464885452
n464	0.9999976694148774	1.1652925597958079e-06	1.1652925629003746e-06
MK238036	1.0	0.0	0.0
LC219720	1.0	0.0	0.0
n17	0.9999999997366337	1.3168304563666853e-10	1.3168331731991363e-10
n345	0.999894987829059	5.250608536399731e-05	5.25060855772043e-05
n460	0.9994085218378023	0.00029573907965643195	0.00029573908254116774
MK238038	1.0	0.0	0.0
MK238037	1.0	0.0	0.0
KX447517	1.0	0.0	0.0
n20	0.9996157084096396	0.0001921457951801111	0.00019214579518011437
n23	0.9994573889354779	0.00027130553889646034	0.000271305525625679
KX447513	1.0	0.0	0.0
n34	0.9986273476064012	0.0006863261967994521	0.0006863261967994738
n36	0.9999990810902107	4.5945489455741075e-07	4.594548945768771e-07
KX447511	1.0	0.0	0.0
n346	0.9999785269873818	1.073650628509161e-05	1.0736506333116965e-05
n458	0.9999406522652887	2.9673867347643383e-05	2.967386736367936e-05
MG807647	1.0	0.0	0.0
n461	0.9998224589048893	8.877054752108251e-05	8.877054758968734e-05
n21	0.9999742453573401	1.2877321329954633e-05	1.2877321329954675e-05
KX447515	1.0	0.0	0.0
n24	0.9999171491805783	4.1425442660271e-05	4.142537676145128e-05
KX447516	1.0	0.0	0.0
KX369547	1.0	0.0	0.0
KX447512	1.0	0.0	0.0
n37	0.9999999999901589	4.9205154775222275e-12	4.920516580671712e-12
KX447510	1.0	0.0	0.0
n347	0.9999999999995763	2.797095614234978e-17	4.23595205546048e-13
MG807646	1.0	0.0	0.0
n459	0.9999609736956463	1.951315217668614e-05	1.9513152177121396e-05
MH013290	1.0	0.0	0.0
KY126351	1.0	0.0	0.0
KY241691	1.0	0.0	0.0
KX447509	1.0	0.0	0.0
n22	0.9999898844506455	5.057774677268206e-06	5.057774677268208e-06
n25	0.9999772329434415	1.1384544025557279e-05	1.1382512532967216e-05
n31	0.9999293108596278	3.534457144910596e-05	3.5344568923201165e-05
n338	0.9993418078132832	0.0003290949853982984	0.00032909720131852287
n40	0.9992506753332366	0.0003746623333816891	0.0003746623333816892
n49	0.9995335160283101	0.00023324198584499526	0.0002332419858449954
n192	0.999760231493877	0.0001198842530615082	0.00011988425306150847
n291	0.9993612760723062	0.0003193619638469181	0.0003193619638469181
n328	0.9999979329803044	1.033509847863824e-06	1.033509847863925e-06
n348	0.9999709580496756	4.465882738995491e-07	2.859536205051072e-05
n352	0.9999999999999999	2.2753044375687807e-20	1.9208076118115788e-16
KY241708	1.0	0.0	0.0
KY241758	1.0	0.0	0.0
KY241745	1.0	0.0	0.0
n454	0.9715955831308375	1.190300590517549e-06	0.028403226568571936
n453	0.00834725044158218	9.261766431320935e-05	0.9915601318941046
n376	1.0	5.3535856939474905e-37	5.353585734842619e-37
KY241701	1.0	0.0	0.0
MG548660	1.0	0.0	0.0
LC369584	1.0	0.0	0.0
KX447514	1.0	0.0	0.0
KJ776791	1.0	0.0	0.0
n26	0.9999999726379004	2.665213801694552e-08	7.099615968611524e-10
KU761561	1.0	0.0	0.0
LC191864	1.0	0.0	0.0
KX806557	1.0	0.0	0.0
KX051563	1.0	0.0	0.0
n339	0.9999474710405167	2.6258389009013138e-05	2.6270570474306606e-05
KU729218	1.0	0.0	0.0
n41	0.9999346585888214	3.2670705589334075e-05	3.2670705589334075e-05
n50	0.9996661117386634	0.00016694413066834	0.00016694413066834
n63	0.9999019401213597	4.902993932012906e-05	4.9029939320129065e-05
n193	0.99899677527763	0.0005016123611850888	0.0005016123611850888
n194	0.9997059065062451	0.00014704674687742895	0.00014704674687742895
n292	0.9999273208219684	3.6339589015799804e-05	3.6339589015799804e-05
KY559003	1.0	0.0	0.0
KY014313	1.0	0.0	0.0
n329	0.9999999871712677	6.414366072869867e-09	6.414366072870033e-09
KY241730	1.0	0.0	0.0
n350	0.9999983395183888	5.733289611467481e-07	1.087152650129013e-06
KY241787	0.0	0.0	1.0
KY241707	1.0	0.0	0.0
KY241782	0.0	0.0	1.0
KY241734	1.0	0.0	0.0
KY241744	1.0	0.0	0.0
n358	0.9999997868564673	1.0657176642793773e-07	1.0657176644180466e-07
KY241688	1.0	0.0	0.0
n360	0.9999999999999997	2.288470679391073e-18	2.35355081023596e-16
KY241773	1.0	0.0	0.0
KY241777	0.0	0.0	1.0
KY241751	1.0	0.0	0.0
KY241727	1.0	0.0	0.0
KY241780	0.0	0.0	1.0
KY241682	1.0	0.0	0.0
n457	0.017857963132566965	6.292104304044042e-05	0.9820791158243926
KY241781	0.0	0.0	1.0
KY241779	0.0	0.0	1.0
KY241687	1.0	0.0	0.0
n383	1.0	3.8027498343036766e-41	1.7085646187852041e-37
KY241695	1.0	0.0	0.0
n381	1.0	1.575759030415578e-18	1.575759030415578e-18
KY241752	1.0	0.0	0.0
KY241741	1.0	0.0	0.0
KY241735	1.0	0.0	0.0
KY241755	1.0	0.0	0.0
n408	1.0	1.4293677869744467e-53	1.109893101669429e-51
KY241771	1.0	0.0	0.0
n30	0.9999987762551055	6.12026324819212e-07	6.117185696742296e-07
KU963796	1.0	0.0	0.0
n29	0.9901038793468233	0.009789240347898341	0.00010688030527825711
KU820899	1.0	0.0	0.0
KU744693	1.0	0.0	0.0
n340	0.9999782438744249	1.0849247661295413e-05	1.090687791379521e-05
n42	0.9999866417980546	6.679100972652655e-06	6.679100972652655e-06
n43	0.9999908788612197	4.560569390175927e-06	4.560569390175927e-06
n51	0.9999843120140054	7.843992997265234e-06	7.843992997265234e-06
KY241788	1.0	0.0	0.0
n64	0.999999903779609	4.811019545947777e-08	4.811019545947777e-08
n94	0.9999992775546894	3.6122265534638666e-07	3.6122265534638666e-07
KX197205	1.0	0.0	0.0
KY559021	1.0	0.0	0.0
n195	0.9998361372249249	8.19313875374657e-05	8.19313875374657e-05
n200	0.999932558049729	3.3720975135552454e-05	3.3720975135552454e-05
n293	0.9999996541999654	1.7290001736802925e-07	1.7290001736802925e-07
KY785429	1.0	0.0	0.0
KY014317	1.0	0.0	0.0
n335	0.9994753970573739	0.0002623014713130557	0.0002623014713130557
n332	0.9998071726437213	9.641367813936377e-05	9.641367813936377e-05
n334	0.9999999999068653	4.6567269113909085e-11	4.6567269113909085e-11
KY785427	1.0	0.0	0.0
KY241673	1.0	0.0	0.0
KY241766	1.0	0.0	0.0
KY241714	1.0	0.0	0.0
KY241738	1.0	0.0	0.0
KY241721	1.0	0.0	0.0
n363	0.9999997529619493	1.2351902540585022e-07	1.2351902541020503e-07
KY241716	1.0	0.0	0.0
KY241783	0.0	0.0	1.0
KY241749	1.0	0.0	0.0
KY241697	1.0	0.0	0.0
KY241706	1.0	0.0	0.0
KY241671	1.0	0.0	0.0
KY241778	0.0	0.0	1.0
KY241776	0.0	0.0	1.0
KY241760	1.0	0.0	0.0
KY241785	0.0	0.0	1.0
KY241702	1.0	0.0	0.0
KY241709	1.0	0.0	0.0
KY241763	1.0	0.0	0.0
KY241762	1.0	0.0	0.0
KY241742	1.0	0.0	0.0
KY241757	1.0	0.0	0.0
KY241703	1.0	0.0	0.0
n392	1.0	2.1136897135561262e-26	1.5797961003206904e-24
n382	0.9999995319082385	2.3404588077696103e-07	2.3404588077696103e-07
