node	Africa	Caribbean	Central America	Eastern Asia	Europe	Northern America	Oceania	South America	South-eastern Asia	Southern Asia
root	2.1469879613478323e-09	0.019414965267609566	0.009787159009141653	0.025829411407991328	0.022391307377560087	0.026035955011645552	0.0028788929252335695	0.005668985552284439	0.8858463322295661	0.002146989071979673
n0	5.581948035546382e-12	5.047691425698541e-05	2.5445607515359285e-05	6.672011768986173e-05	5.8215097839217757e-05	6.769080694213171e-05	7.4848037256864336e-06	1.4738779786752656e-05	0.9997036459174675	5.581949194586902e-06
n1	5.5813272604004047e-11	0.0005047130065871884	0.0002544277767878266	0.0021056279932042702	0.0005820862366826004	0.0006768333027953826	7.491265692855362e-05	0.00014737140669381243	0.9955982085472092	5.581901729800088e-05
HQ234499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KX377336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2	1.1115963195769846e-12	1.0052037703388571e-05	5.06727104647888e-06	3.6199575146704903e-05	1.159302954627995e-05	1.3480677226789866e-05	1.581905030409497e-06	2.9350995860155893e-06	0.9999179716255754	1.1187780270009622e-06
n465	4.4302530245076893e-10	0.004006226869737164	0.002019554444747202	0.041228121297368046	0.004620387213062986	0.005372450781522416	0.0005940723032142514	0.0011697802149358025	0.9405463793019443	0.00044302713044252063
n3	9.182335472305001e-12	8.303480386467741e-05	4.1858165467454725e-05	0.00011683290860085589	9.576415876835221e-05	0.00011135196406646164	1.2342577454824922e-05	2.4245374480970778e-05	0.9995053853401853	9.184697928913383e-06
n5	1.19207336563919e-13	1.0779782377446574e-06	5.434129948613737e-07	1.6783373894979705e-06	1.24323385259566e-06	1.4526304994692982e-06	1.1598456703010249e-06	3.147594166724973e-07	0.9999923319979696	1.978038501356944e-07
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n466	1.5481311866940136e-11	0.00013999572312691674	7.057238495959473e-05	0.9981088058939057	0.00016145726890937382	0.00018773777284676423	2.0758795166490416e-05	4.087742217659975e-05	0.0012543134092586367	1.5481314168512094e-05
n4	4.152807493697274e-11	0.00037553360663739196	0.00018930794213515152	0.0005013725454175679	0.000433103448856022	0.0005036001766893638	5.571313260148526e-05	0.00010965224820560337	0.997790186545136	4.153031279334612e-05
MG645981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n6	2.2177721229822114e-12	2.0055058302302497e-05	1.0109832381194256e-05	4.2505169695744856e-05	2.312952759544304e-05	3.9774971289051435e-05	2.9839533454318837e-06	5.855886642070451e-06	0.9998533670278184	2.2185707127392297e-06
n11	7.719685415813383e-14	6.980822758353948e-07	3.5190597257791023e-07	1.133176485948907e-06	8.050992931279939e-07	9.36637352000135e-07	9.371658061521474e-06	2.0383343914616025e-07	0.9999856939673758	8.056396669035406e-07
KY120353	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KY553111	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KU955593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
J860885	4.152807493697274e-11	0.00037553360663739196	0.00018930794213515152	0.0005013725454175679	0.000433103448856022	0.0005036001766893638	5.571313260148526e-05	0.00010965224820560337	0.997790186545136	4.153031279334612e-05
n7	3.6051442206788543e-12	3.260090465773397e-05	1.6434242005028012e-05	0.0003669384293092926	3.75986702482383e-05	4.475949579048383e-05	4.83492979713987e-06	9.51915468035862e-06	0.9994837089611529	3.6052087535756988e-06
n9	4.899567348306217e-12	4.43062241643692e-05	2.233493879666084e-05	5.907297172477035e-05	5.109843207695929e-05	0.0006591362135495992	6.570272348603996e-06	1.2936996857942297e-05	0.9991396443403407	4.89960524078161e-06
KU179098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n12	1.438064976226648e-13	1.3004256227165141e-06	6.555495811430633e-07	2.925129163649137e-06	1.4997827417429936e-06	1.7440511501411244e-06	5.760863181160093e-05	3.797121939032667e-07	0.999929230236011	4.656481580334662e-06
n8	4.603267657375029e-11	0.00041626820128670244	0.000209842408692805	0.008323892582614088	0.0004800827154743715	0.0005587799067200197	6.17252806145016e-05	0.0001215463631504249	0.9897818297845045	4.6032710910063804e-05
KX051561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n10	9.688382030156012e-12	8.761092470063353e-05	4.4165005662593686e-05	0.00011535151616849781	0.00010104180551262405	0.017347048005180127	1.2991106296293478e-05	2.5581558323916574e-05	0.9822565216838287	9.68838463823769e-06
KY272987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n13	1.2367393160995179e-12	1.11836914316397e-05	5.637742063502001e-06	3.2491207761965825e-05	1.2898167419305506e-05	1.4997696677644087e-05	0.0008479941113357431	3.2655355195430143e-06	0.9990037761667008	6.775567985319184e-05
KX051560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KY328290	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KX051562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KF993678	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
KX694532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n14	1.2672551085616788e-12	1.1459642234081325e-05	5.776849929262758e-06	3.517683567455801e-05	1.3216421876801919e-05	1.53677455297682e-05	0.0009586809291771741	3.3461110294926506e-06	0.9988954286188778	6.154684440377884e-05
n462	3.5146855068924446e-12	3.1782896910166886e-05	1.6021881138768552e-05	4.1830712627462484e-05	3.6655260736012303e-05	4.2621661169316145e-05	4.872867401139557e-06	9.280304184112102e-06	0.0002054337199938516	0.9996115006923244
KU681081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
