parameter	value
pastml_version	1.9.15
character	country_code
log_likelihood	-583.1826462966593
log_likelihood_restricted_JOINT	-595.0088205546862
log_likelihood_restricted_MAP	-596.5861853177081
log_likelihood_restricted_MPPA	-585.7788179232255
method	MPPA
model	F81
num_nodes	761
num_scenarios	4.31309e+06
num_states_per_node_avg	1.0473061760840998
num_tips	469
num_unresolved_nodes	13
percentage_of_unresolved_nodes	1.7082785808147174
scaling_factor	0.04807165141313709
state_changes_per_avg_branch	0.1471132967357794
AUS	0.009879440332477871
BRA	0.03625555983391859
CAF	2.1396103383160282e-08
CAN	0.009876905961071438
CHN	0.0504274300284053
COL	0.01007572368037364
CUB	0.030189868529846398
DOM	0.030453024324194555
ECU	0.00988873745981216
GBR	0.009876906630561372
GTM	0.029586279529169732
GUF	0.009873282482244615
HND	0.011077268757323922
HTI	0.029688701509266946
IDN	0.009879982771296805
IND	0.009991392422510948
ITA	0.03365161687219215
JAM	0.029566756843352558
JPN	0.03962355229486083
KHM	0.009880092270860868
KOR	0.020004216996377958
MEX	0.10463273650548034
MTQ	0.0101185111233965
MYS	0.009896626775667628
NGA	2.1396103383160282e-08
NIC	0.09087513702779294
PAN	0.020006808376513533
PER	0.009880205242897547
PHL	0.00987999025788394
PRI	0.010492526626864325
PYF	0.013177514737166074
RUS	0.05953684408048872
SEN	2.1396103383160282e-08
SGP	0.04430667828726975
SLV	0.009878554495504994
SUR	0.02010829469482601
THA	0.012729197538964579
TWN	0.009880144449161035
UGA	2.1396103383732744e-08
USA	0.11345730128185716
VEN	0.021396103383732743
