node	human	monkey	mosquito
NODE_0000445	0.37826148752525457	0.24864572637977872	0.37309278609496677
node_1	5.464391808566071e-07	5.13149757920725e-07	0.9999989404110613
node_2	0.9442630419377669	0.026916734239032677	0.028820223823200427
HQ234499	0.0	0.0	1.0
KX377336	0.0	0.0	1.0
node_4	0.9600675203262244	0.019736338277474813	0.020196141396300712
node_3	0.992675044838432	0.003590222538095866	0.003734732623472118
KU681082	1.0	0.0	0.0
node_7	0.9999826402733601	8.665609352231927e-06	8.694117287547974e-06
node_5	0.9928036550491809	0.0035846301720169195	0.0036117147788022603
node_6	0.9996075342839268	0.0001948916203661776	0.0001975740957070039
KY120353	1.0	0.0	0.0
KY553111	1.0	0.0	0.0
MG645981	1.0	0.0	0.0
node_8	1.0	0.0	0.0
node_9	0.9996689540446103	0.00016545568184904964	0.00016559027354061943
node_10	0.9998075790415404	9.607042223745215e-05	9.635053622211013e-05
KU955593	1.0	0.0	0.0
J860885	0.9931606006661744	0.0034196996669128743	0.0034196996669128743
node_11	0.9995262964268279	0.00023683748962682587	0.00023686608354539352
node_12	0.9981983157989027	0.0009008333711887979	0.0009008508299085783
KU179098	1.0	0.0	0.0
node_13	0.9998518681401055	7.401894720922881e-05	7.411291268527515e-05
KX051561	1.0	0.0	0.0
node_14	0.9986906771209433	0.00065465635496094	0.0006546665240958542
KY272987	1.0	0.0	0.0
node_15	0.9999992616895063	3.691549570754885e-07	3.691555365553971e-07
KX051560	1.0	0.0	0.0
node_16	0.9997995780923946	0.00010020183350593097	0.00010022007409944251
KY328290	1.0	0.0	0.0
KX051562	1.0	0.0	0.0
KF993678	1.0	0.0	0.0
KX694532	1.0	0.0	0.0
KU681081	1.0	0.0	0.0
node_17	0.9999548381012753	2.2580658964836288e-05	2.2581239759914907e-05
node_19	0.999886690400995	5.665477651021447e-05	5.6654822494899686e-05
node_18	0.9996691740529026	0.00016541290539998752	0.0001654130416973912
node_22	0.9995140477946868	0.00024297609647006251	0.00024297610884321366
node_21	0.9999122596421327	4.3870178711274476e-05	4.387017915592876e-05
LC219720	1.0	0.0	0.0
node_20	0.999952417239116	2.3791379761952713e-05	2.3791381122028386e-05
MG807647	1.0	0.0	0.0
node_26	0.9996137633869223	0.00019311830631867132	0.00019311830675903713
node_25	0.999918185503276	4.090724832325953e-05	4.09072484008254e-05
node_24	0.9999154735589495	4.2263220520671126e-05	4.226322052972801e-05
KX447517	1.0	0.0	0.0
node_23	0.9999999992218456	3.890772865102872e-10	3.890772893148213e-10
KY126351	1.0	0.0	0.0
KY241691	1.0	0.0	0.0
MH013290	1.0	0.0	0.0
node_30	0.9998901007483408	5.494962582782707e-05	5.494962583136528e-05
MG807646	1.0	0.0	0.0
node_29	1.0	9.885625007123148e-128	9.179682131947688e-117
KX447515	1.0	0.0	0.0
KX447516	1.0	0.0	0.0
node_36	0.9999986780471052	6.60976447409349e-07	6.609764474093495e-07
node_37	0.999980785297497	9.607355698336504e-06	9.60734680460334e-06
node_28	0.9999999778426663	1.1078666956828897e-08	1.1078666956829923e-08
MG548660	1.0	0.0	0.0
LC369584	1.0	0.0	0.0
KY241708	1.0	0.0	0.0
KY241758	1.0	0.0	0.0
KY241745	1.0	0.0	0.0
KY241701	1.0	0.0	0.0
KY241687	1.0	0.0	0.0
KY241695	1.0	0.0	0.0
KY241752	1.0	0.0	0.0
KY241772	1.0	0.0	0.0
KY241725	1.0	0.0	0.0
KY241737	1.0	0.0	0.0
KY241760	1.0	0.0	0.0
KY241785	0.0	0.0	1.0
KY241702	1.0	0.0	0.0
KY241709	1.0	0.0	0.0
KY241763	1.0	0.0	0.0
KY241762	1.0	0.0	0.0
KY241742	1.0	0.0	0.0
KY241757	1.0	0.0	0.0
KY241703	1.0	0.0	0.0
KY241784	0.0	0.0	1.0
KY241739	1.0	0.0	0.0
KY241705	1.0	0.0	0.0
KY241696	1.0	0.0	0.0
KY241764	1.0	0.0	0.0
KY241761	1.0	0.0	0.0
KY241746	1.0	0.0	0.0
KY241754	1.0	0.0	0.0
KY241753	1.0	0.0	0.0
KY241765	1.0	0.0	0.0
KY241733	1.0	0.0	0.0
KY241726	1.0	0.0	0.0
KY241720	1.0	0.0	0.0
KY241741	1.0	0.0	0.0
KY241735	1.0	0.0	0.0
KY241755	1.0	0.0	0.0
KY241771	1.0	0.0	0.0
KY241704	1.0	0.0	0.0
KY241719	1.0	0.0	0.0
KY241683	1.0	0.0	0.0
KY241786	0.0	0.0	1.0
KY241748	1.0	0.0	0.0
KY241722	1.0	0.0	0.0
KY241770	1.0	0.0	0.0
KY241711	1.0	0.0	0.0
KY241743	1.0	0.0	0.0
KY241699	1.0	0.0	0.0
KY241679	1.0	0.0	0.0
KX827309	1.0	0.0	0.0
KY241732	1.0	0.0	0.0
KY241724	1.0	0.0	0.0
KY241674	1.0	0.0	0.0
KY241731	1.0	0.0	0.0
KY241750	1.0	0.0	0.0
KY241718	1.0	0.0	0.0
KY241710	1.0	0.0	0.0
KY241728	1.0	0.0	0.0
KY241747	1.0	0.0	0.0
KY241715	1.0	0.0	0.0
KY241768	1.0	0.0	0.0
KY241723	1.0	0.0	0.0
node_78	0.01272495046303281	6.033723523198455e-05	0.9872147123017352
node_428	0.9999998067966918	9.660165416615374e-08	9.660165416615374e-08
node_435	0.9999994484407524	2.757796237581951e-07	2.757796237581951e-07
node_34	0.9999966861750214	3.516054817529184e-08	3.278664430438191e-06
node_68	0.991444225159628	2.654097190346037e-07	0.00855550943065301
node_434	0.9999734302724442	2.1970042866226812e-07	2.635002712711311e-05
node_399	1.0	3.9607997511527076e-23	3.9607997511527076e-23
node_41	0.999999999999222	8.649892577035109e-15	7.693855259664108e-13
KX447509	1.0	0.0	0.0
KX447514	1.0	0.0	0.0
KJ776791	1.0	0.0	0.0
node_45	0.9999447997095489	2.7600147000299327e-05	2.760014345084236e-05
node_44	0.9999717471454129	1.4127272093420227e-05	1.4125582493687768e-05
KX447513	1.0	0.0	0.0
KX447511	1.0	0.0	0.0
node_38	0.9999695929342899	1.5203532855010087e-05	1.5203532855010087e-05
node_46	0.9999957763676544	2.1118161728476695e-06	2.1118161728476695e-06
KY241781	0.0	0.0	1.0
KY241779	0.0	0.0	1.0
KY241713	1.0	0.0	0.0
KX813683	1.0	0.0	0.0
KY241689	1.0	0.0	0.0
KY241736	1.0	0.0	0.0
KY241730	1.0	0.0	0.0
KY241787	0.0	0.0	1.0
node_47	0.9999995681488442	1.4173944450462988e-07	2.901117112937052e-07
KY241727	1.0	0.0	0.0
KY241780	0.0	0.0	1.0
KY241682	1.0	0.0	0.0
node_105	0.012809903584019918	4.065556053639761e-05	0.9871494408554438
node_441	0.9999999006641385	3.0774367016840043e-08	6.856149457279975e-08
NODE_0000447	0.996459520516069	6.1332059413265814e-06	0.003534346277989598
KY241685	1.0	0.0	0.0
KY241676	1.0	0.0	0.0
KY241678	1.0	0.0	0.0
KY241756	1.0	0.0	0.0
KY241680	1.0	0.0	0.0
KY241684	1.0	0.0	0.0
KY241767	1.0	0.0	0.0
KY241677	1.0	0.0	0.0
KY241675	1.0	0.0	0.0
KY241681	1.0	0.0	0.0
KY241777	0.0	0.0	1.0
KY241751	1.0	0.0	0.0
KY241714	1.0	0.0	0.0
KY241688	1.0	0.0	0.0
NODE_0000451	0.9999997668193852	8.866582217555143e-08	1.4451479265667201e-07
node_89	0.9999999999999996	4.7434123492600546e-18	4.990810179706523e-16
LC191864	1.0	0.0	0.0
KX806557	1.0	0.0	0.0
KU761561	1.0	0.0	0.0
node_50	0.9999999771678626	2.2415547605840883e-08	4.165896582386186e-10
KX369547	1.0	0.0	0.0
KX447512	1.0	0.0	0.0
KX447510	1.0	0.0	0.0
node_51	0.999999166609272	4.166953640548145e-07	4.166953640548145e-07
KY241673	1.0	0.0	0.0
KY241766	1.0	0.0	0.0
KY241778	0.0	0.0	1.0
KY241776	0.0	0.0	1.0
KY241690	1.0	0.0	0.0
NODE_0000446	1.0	0.0	0.0
KY241759	1.0	0.0	0.0
NODE_0000448	0.4905204931274686	2.838839267966462e-06	0.5094766680332634
KY241738	1.0	0.0	0.0
NODE_0000452	0.9999899139147781	8.83522703974003e-08	9.99773295144763e-06
KY241749	1.0	0.0	0.0
KY241697	1.0	0.0	0.0
KY241706	1.0	0.0	0.0
KY241671	1.0	0.0	0.0
KY241721	1.0	0.0	0.0
KY241716	1.0	0.0	0.0
KY241783	0.0	0.0	1.0
node_138	0.9999997759691963	1.1201540187306643e-07	1.1201540187662075e-07
KU963796	1.0	0.0	0.0
KU820899	1.0	0.0	0.0
node_55	0.9999995984148172	2.0082301002381736e-07	2.0076217271136249e-07
node_69	0.9976469696986459	0.0023188369047269816	3.4193396627172494e-05
node_57	0.9999543832052643	2.280839736782349e-05	2.280839736782349e-05
node_56	1.0	2.523581966705834e-19	2.523581966705834e-19
KY241686	1.0	0.0	0.0
KY241694	1.0	0.0	0.0
KY241774	0.0	0.0	1.0
NODE_0000449	0.49040588129430457	1.430178195767369e-06	0.5095926885274996
KY241773	1.0	0.0	0.0
NODE_0000453	0.9988366786568346	2.9970782670798863e-06	0.0011603242648983562
KY241698	1.0	0.0	0.0
KY241740	1.0	0.0	0.0
KU997667	1.0	0.0	0.0
KX013000	1.0	0.0	0.0
MF099651	0.0	1.0	0.0
MF036115	1.0	0.0	0.0
KX051563	1.0	0.0	0.0
node_64	0.9999874491383908	6.27543080465962e-06	6.27543080465962e-06
KU729218	1.0	0.0	0.0
KY241788	1.0	0.0	0.0
node_83	0.9999340864382733	3.295678086329669e-05	3.295678086329669e-05
node_86	0.9999753276255705	1.233618721476653e-05	1.233618721476653e-05
node_80	0.9999809940298231	9.502985088402224e-06	9.502985088402224e-06
node_94	0.9999918199593822	4.090020308804796e-06	4.090020308804796e-06
node_85	0.9999997438732898	1.2806335513605423e-07	1.2806335513605423e-07
node_84	0.9999996481792115	1.7591039428089705e-07	1.7591039428089705e-07
