parameter	value
pastml_version	1.9.15
character	country_code
log_likelihood	-585.9629276264765
log_likelihood_restricted_JOINT	-609.3422160353049
log_likelihood_restricted_MAP	-613.7418384348576
log_likelihood_restricted_MPPA	-593.8189764785708
method	MPPA
model	F81
num_nodes	673
num_scenarios	8.21692e+23
num_states_per_node_avg	1.3640416047548292
num_tips	444
num_unresolved_nodes	27
percentage_of_unresolved_nodes	4.011887072808321
scaling_factor	0.16419349070172845
state_changes_per_avg_branch	0.5208606469424433
AUS	0.009779551613458606
BRA	0.0905513602174895
CAF	0.009779551613458606
CAN	0.009779551613458606
CHN	0.031059510652625764
COL	0.009779551613458606
CUB	0.021726497407829327
DOM	0.027572093797366512
ECU	0.009779551613458606
GBR	0.009779551613458606
GTM	0.009779551613458606
GUF	0.009779551613458606
HND	0.02601473002202405
HTI	0.019409408995666948
IDN	0.009779551613458606
IND	0.009779551613458606
ITA	0.027672720934317843
JAM	0.018458472304314265
JPN	0.027484583028571777
KHM	0.009779551613458606
KOR	0.009779551613458606
MEX	0.07831686287617892
MTQ	0.009779551613458606
MYS	0.009779551613458606
NGA	0.009779551613458606
NIC	0.07722902409219186
PAN	0.009779551613458606
PER	0.009779551613458606
PHL	0.009779551613458606
PRI	0.009779551613458606
PYF	0.026134621824705367
RUS	0.04555914329160349
SEN	0.009779551613458606
SGP	0.041677723033515454
SLV	0.009779551613458606
SUR	0.013946646601700191
THA	0.08911245364206122
TWN	0.009779551613458606
UGA	0.009779551613458606
USA	0.09435141800435619
VEN	0.0187930421639335
