node	location
root	Caribbean
root	Eastern Asia
root	Europe
root	Northern America
root	South America
root	South-eastern Asia
n0	South-eastern Asia
n1	South-eastern Asia
HQ234499	South-eastern Asia
KX377336	South-eastern Asia
n2	South-eastern Asia
n467	South-eastern Asia
n3	South-eastern Asia
n5	South-eastern Asia
KU681082	South-eastern Asia
n468	Eastern Asia
n4	South-eastern Asia
MG645981	South-eastern Asia
n6	South-eastern Asia
n11	South-eastern Asia
KY120353	Eastern Asia
KY553111	Eastern Asia
KU955593	South-eastern Asia
J860885	South-eastern Asia
n7	South-eastern Asia
n9	South-eastern Asia
KU179098	South-eastern Asia
n12	South-eastern Asia
n8	South-eastern Asia
KX051561	South-eastern Asia
n10	South-eastern Asia
KY272987	South-eastern Asia
n13	South-eastern Asia
KX051560	South-eastern Asia
KY328290	Eastern Asia
KX051562	South-eastern Asia
KF993678	Northern America
KX694532	South-eastern Asia
n14	South-eastern Asia
n464	Southern Asia
KU681081	South-eastern Asia
n15	South-eastern Asia
MK238035	Southern Asia
n465	Southern Asia
n16	Oceania
n16	South-eastern Asia
n345	South-eastern Asia
n466	Southern Asia
MK238036	Southern Asia
LC219720	Eastern Asia
n17	Oceania
n346	South-eastern Asia
n462	South-eastern Asia
MK238038	Southern Asia
MK238037	Southern Asia
KX447517	Oceania
n18	Oceania
n460	South-eastern Asia
MG807646	South-eastern Asia
n353	South-eastern Asia
n350	South-eastern Asia
KY241769	South-eastern Asia
KY241730	South-eastern Asia
MG807647	South-eastern Asia
n463	South-eastern Asia
n19	Oceania
n32	Central America
n461	South-eastern Asia
MH013290	South-eastern Asia
n354	South-eastern Asia
n372	South-eastern Asia
n351	South-eastern Asia
KY241787	South-eastern Asia
KY126351	Eastern Asia
KY241691	South-eastern Asia
n20	Oceania
n23	Oceania
KX447513	Oceania
n34	Oceania
KX447511	Oceania
KX447510	Oceania
n339	Central America
n192	South America
n40	Central America
n40	South America
n50	Central America
n64	South America
n95	South America
KY785410	South America
n190	Central America
n181	Central America
n104	Central America
n173	Central America
n164	Central America
n160	Central America
n143	Central America
MF801378	Central America
MF801419	Central America
MF801391	Central America
MF801412	Central America
MF801415	Central America
n127	Central America
n142	Central America
MG548660	South-eastern Asia
LC369584	Eastern Asia
n355	South-eastern Asia
KY241707	South-eastern Asia
n373	South-eastern Asia
KY241708	South-eastern Asia
KY241673	South-eastern Asia
KY241766	South-eastern Asia
n21	Oceania
KX447515	Oceania
n24	Oceania
KX447516	Oceania
KX369547	Oceania
KX447512	Oceania
KX051563	Northern America
KU744693	Eastern Asia
n341	Caribbean
n341	Central America
n341	South America
n193	South America
n291	South America
KU729218	South America
n41	South America
n51	South America
KY241788	South-eastern Asia
n65	South America
MH513600	South America
n96	South America
n97	South America
n191	Central America
MF801406	Central America
n182	Central America
n188	Central America
n105	Central America
n115	Central America
KY606274	Central America
n180	Central America
n175	Caribbean
n175	Central America
MF801380	Central America
n165	Central America
MF801381	Central America
n169	Central America
MF801400	Central America
MF801411	Central America
MF801399	Central America
n161	Central America
MF593625	Eastern Asia
MF801382	Central America
n144	Central America
n149	Central America
n128	Central America
n130	Central America
MF801407	Central America
MF801422	Central America
KY241782	South-eastern Asia
n370	South-eastern Asia
KY241734	South-eastern Asia
n359	South-eastern Asia
KY241688	South-eastern Asia
n362	South-eastern Asia
n374	South-eastern Asia
KY241758	South-eastern Asia
KX447509	Oceania
n22	Oceania
n25	Eastern Asia
n31	Oceania
n342	South America
KU509998	Caribbean
n194	South America
n195	South America
n292	South America
n329	South America
n42	Europe
n43	South America
n52	South America
n62	South America
n66	South America
n93	South America
KY559025	South America
KY272991	South America
n98	South America
KU926309	South America
MF801377	Central America
KY765323	Central America
MF801397	Central America
n183	Central America
n189	Central America
MF801408	Central America
n106	Central America
n108	Central America
KY765319	Central America
n116	Central America
KX906952	Central America
KX262887	Central America
n176	Caribbean
MF988734	South-eastern Asia
n166	Central America
MF801403	Central America
n170	Central America
MG494697	Central America
n162	Northern America
MF801426	Central America
MF801383	Central America
n147	Central America
KY606271	Central America
MF801404	Central America
n150	Central America
n159	Central America
MF801414	Central America
n129	Central America
n131	Central America
n134	Central America
KY241773	South-eastern Asia
KY241777	South-eastern Asia
KY241751	South-eastern Asia
KY241744	South-eastern Asia
KY241714	South-eastern Asia
KY241738	South-eastern Asia
n363	South-eastern Asia
KY241749	South-eastern Asia
KY241697	South-eastern Asia
KY241706	South-eastern Asia
KY241671	South-eastern Asia
KY241745	South-eastern Asia
n376	South-eastern Asia
n456	South-eastern Asia
KX447514	Oceania
KJ776791	Oceania
n26	Eastern Asia
KU761561	Eastern Asia
LC191864	Eastern Asia
KX806557	Oceania
MF352141	South America
n343	South America
KX197205	South America
KY559021	South America
n196	South America
n201	South America
KY559003	South America
KY785429	South America
n295	South America
n326	South America
n298	South America
n325	South America
KY559014	South America
KY559015	South America
KY014313	South America
n330	South America
KY003154	Europe
KY003153	Europe
KX101060	South America
n44	South America
n57	South America
KY559017	South America
KY559006	South America
KY559011	South America
KY559010	South America
KY559012	South America
KY559007	South America
KY559005	South America
KY441401	South America
n67	South America
KY693680	South America
KY631492	South America
KY785437	South America
KY014308	South America
KY559032	South America
n184	Central America
n186	Central America
MF801384	Central America
MF801386	Central America
n107	Central America
MF801387	Central America
n109	Central America
MF801389	Central America
KX421195	Central America
KX421194	Central America
n177	Caribbean
n179	Caribbean
KU501216	Central America
KU501217	Central America
KY606273	Central America
MF801423	Central America
KY325479	Northern America
KY325465	Northern America
n148	Central America
MF801402	Central America
n151	Central America
n156	Central America
KY765324	Central America
MF434518	Central America
MF801401	Central America
MF801417	Central America
n132	Central America
n133	Central America
n139	Central America
n137	Central America
MF801393	Central America
MF801398	Central America
KY241721	South-eastern Asia
n365	South-eastern Asia
KY241716	South-eastern Asia
KY241783	South-eastern Asia
n377	South-eastern Asia
n455	South-eastern Asia
KY241727	South-eastern Asia
KY241780	South-eastern Asia
KY241682	South-eastern Asia
KY241778	South-eastern Asia
KY241776	South-eastern Asia
n30	Eastern Asia
KU963796	Eastern Asia
KU820899	Eastern Asia
MF099651	Eastern Asia
MF036115	Eastern Asia
n344	South America
KR872956	South America
n197	South America
n199	South America
n202	South America
KU527068	South America
KY014307	South America
KY785433	South America
KU497555	South America
n327	South America
KY558999	South America
n300	South America
KY558996	South America
KY785455	South America
KY785480	South America
KY014317	South America
n336	South America
n333	South America
n334	South America
n45	South America
KU940227	South America
KX101066	South America
KX101061	South America
n58	South America
KY559009	South America
n68	South America
n90	South America
n185	Central America
KY014306	Central America
MF801410	Central America
n187	Central America
KY785431	Central America
KU870645	Northern America
n110	Central America
MF434517	Central America
n178	Caribbean
MH063262	Caribbean
MH063265	Caribbean
MF159531	Northern America
MF801396	Central America
MF801418	Central America
n152	Central America
KY014310	Central America
n157	Central America
MF801385	Central America
MF801413	Central America
KY631493	Central America
KX827268	Northern America
KY606272	Central America
n140	Central America
MF801395	Central America
MF098771	Europe
n138	Central America
KY241698	South-eastern Asia
KY241740	South-eastern Asia
KY241701	South-eastern Asia
KY241687	South-eastern Asia
n380	South-eastern Asia
KY241741	South-eastern Asia
KY241735	South-eastern Asia
KY241755	South-eastern Asia
KY241771	South-eastern Asia
KY241704	South-eastern Asia
KY241719	South-eastern Asia
KY241683	South-eastern Asia
KY241786	South-eastern Asia
KY241748	South-eastern Asia
KY241722	South-eastern Asia
KY241770	South-eastern Asia
KY241711	South-eastern Asia
KY241743	South-eastern Asia
KY241699	South-eastern Asia
KY241732	South-eastern Asia
KY241724	South-eastern Asia
n434	South-eastern Asia
KY241674	South-eastern Asia
KY241685	South-eastern Asia
KY241676	South-eastern Asia
KY241678	South-eastern Asia
n429	South-eastern Asia
KY241756	South-eastern Asia
KY241680	South-eastern Asia
KY241679	South-eastern Asia
KX827309	South-eastern Asia
KY241781	South-eastern Asia
KY241779	South-eastern Asia
KU997667	Eastern Asia
KX013000	Eastern Asia
KU321639	South America
MF783073	Caribbean
KX879604	South America
MF794971	South America
KX879603	South America
KX811222	South America
n200	South America
MF073359	South America
n203	South America
KU991811	Europe
n328	South America
n309	South America
n302	South America
KX548902	South America
KY014309	South America
KY559031	South America
KY014301	South America
KY785479	South America
KY014296	South America
KY014320	South America
n335	South America
KY785427	South America
n46	South America
KU940228	South America
n59	South America
KY559013	South America
n69	South America
KU312312	South America
n91	South America
n92	South America
KY693677	Central America
KY765325	Central America
KY785418	Central America
KY014315	Central America
n111	Central America
MF434516	Central America
MH063263	Caribbean
MH063259	Caribbean
KY785442	Central America
KY014319	Central America
n154	Central America
n158	Central America
KY328289	Central America
n141	Central America
KY120349	Central America
KX856011	Central America
KY648934	Central America
n381	South-eastern Asia
n385	South-eastern Asia
n435	South-eastern Asia
n440	South-eastern Asia
n430	South-eastern Asia
KY241684	South-eastern Asia
KX280026	South America
MH513599	South America
n204	South America
n288	South America
KY559001	South America
KY558995	South America
n310	South America
KY014303	Caribbean
n305	Caribbean
KY317937	South America
n304	South America
MH763833	South America
MH763832	South America
KX520666	South America
KU940224	South America
KY559019	South America
n60	South America
n89	South America
n71	South America
n84	Eastern Asia
KU365779	South America
KU707826	South America
KU365777	South America
KU365780	South America
n113	Central America
KY785448	Central America
MF434522	Central America
MF434521	Central America
n155	Central America
KY014312	Central America
KY785452	Central America
KX446950	Central America
KX446951	Central America
KY241695	South-eastern Asia
KY241752	South-eastern Asia
KY241772	South-eastern Asia
KY241725	South-eastern Asia
KY241737	South-eastern Asia
KY241760	South-eastern Asia
KY241785	South-eastern Asia
KY241702	South-eastern Asia
KY241709	South-eastern Asia
KY241763	South-eastern Asia
KY241762	South-eastern Asia
KY241742	South-eastern Asia
KY241757	South-eastern Asia
KY241703	South-eastern Asia
KY241784	South-eastern Asia
KY241761	South-eastern Asia
KY241746	South-eastern Asia
KY241754	South-eastern Asia
KY241753	South-eastern Asia
KY241765	South-eastern Asia
KY241733	South-eastern Asia
KY241726	South-eastern Asia
KY241720	South-eastern Asia
KY241739	South-eastern Asia
KY241705	South-eastern Asia
KY241696	South-eastern Asia
KY241764	South-eastern Asia
KY241731	South-eastern Asia
KY241750	South-eastern Asia
KY241718	South-eastern Asia
KY241710	South-eastern Asia
n439	South-eastern Asia
KY241728	South-eastern Asia
KY241747	South-eastern Asia
KY241715	South-eastern Asia
KY241768	South-eastern Asia
KY241723	South-eastern Asia
n446	South-eastern Asia
KY241689	South-eastern Asia
KY241736	South-eastern Asia
n431	South-eastern Asia
KY241767	South-eastern Asia
KY558989	South America
n206	South America
MF098767	Europe
n289	South America
n290	South America
n311	South America
n313	South America
n306	Caribbean
n308	Caribbean
KY693678	South America
KY693679	South America
n61	South America
KY559018	South America
KY785450	South America
KY014297	South America
n72	South America
n74	South America
n85	Eastern Asia
KU820898	Eastern Asia
KY785414	Central America
KY693676	Central America
KY765317	Central America
KY765318	Central America
KY241713	South-eastern Asia
KX813683	South-eastern Asia
KY241759	South-eastern Asia
KY241692	South-eastern Asia
KY241693	South-eastern Asia
KY241775	South-eastern Asia
n451	South-eastern Asia
KY241774	South-eastern Asia
n432	South-eastern Asia
KY241677	South-eastern Asia
n207	Caribbean
KY559026	South America
KU729217	South America
KY120352	Eastern Asia
KY785426	South America
MF073358	South America
n312	South America
KX198135	Central America
n316	South America
n315	South America
KY785469	South America
KU647676	Caribbean
n307	Central America
KY075932	Northern America
KY785451	Caribbean
KY559024	South America
KY559023	South America
n73	South America
MF073357	South America
n75	South America
KU365778	South America
n78	Caribbean
KX766028	Caribbean
n86	Eastern Asia
n452	South-eastern Asia
KY241690	South-eastern Asia
KY241675	South-eastern Asia
KY241681	South-eastern Asia
KY014302	Caribbean
KY785476	Caribbean
n210	Caribbean
n286	Europe
n219	Caribbean
MF438286	Caribbean
n277	Caribbean
n222	Caribbean
MF098766	Europe
MH063261	Caribbean
MF384325	Caribbean
MF783072	Caribbean
n272	Caribbean
KY415990	Caribbean
KY415986	Caribbean
KY415987	Caribbean
n276	Caribbean
KY317936	South America
KY317939	South America
KY785466	South America
n318	South America
n321	Central America
KY317940	South America
KY317938	South America
KU922960	Central America
KU922923	Central America
KY441403	South America
KY441402	South America
KU758877	South America
KY348640	South America
KU937936	South America
KY785456	South America
n80	Caribbean
KY785481	Caribbean
KX056898	Eastern Asia
n87	Eastern Asia
KY241694	South-eastern Asia
KY241686	South-eastern Asia
n211	Caribbean
n214	Caribbean
KX269878	Europe
n287	Europe
MH063260	Caribbean
MH063264	Caribbean
n278	Caribbean
n282	Caribbean
n240	Caribbean
n238	Caribbean
n225	Northern America
KY785424	Caribbean
KY415988	Caribbean
KX673530	Europe
KY415991	Caribbean
KY415989	Caribbean
KU820897	South America
KX247646	South America
n320	South America
n322	Central America
KX156775	Central America
n82	Caribbean
KX377337	Caribbean
KY075933	Northern America
KY379148	Eastern Asia
KU955590	Eastern Asia
MF167360	Eastern Asia
KY785423	Caribbean
n212	Caribbean
LC190723	Eastern Asia
n215	Caribbean
KU853012	Europe
KX922707	Northern America
n279	Caribbean
n280	Europe
n283	Caribbean
n285	Caribbean
n241	Caribbean
MF098765	Europe
KY785430	Caribbean
n239	Caribbean
KY325471	Northern America
n237	Northern America
n228	Northern America
n236	Northern America
KY325482	Northern America
KX702400	South America
KX893855	South America
KX156774	Central America
KX156776	Central America
n83	Caribbean
KY075934	Northern America
n213	Caribbean
KY785419	Caribbean
MF098764	Europe
KY785413	Caribbean
KY785484	Caribbean
KY785435	Caribbean
MF664436	Europe
MF098768	Europe
MF098769	Europe
KY785415	Caribbean
KY785470	Caribbean
KY014314	Caribbean
KY785420	Caribbean
KY014318	Caribbean
n242	Northern America
KY785425	Caribbean
KY785453	Caribbean
KY014300	Caribbean
KY325464	Northern America
KY325476	Northern America
n229	Northern America
n230	Northern America
KY075937	Northern America
KY785422	Northern America
KY785464	Caribbean
KY785462	Caribbean
KY785465	Caribbean
KY785441	Caribbean
KY785443	Northern America
n244	Northern America
n255	Northern America
KY325472	Northern America
KX842449	Northern America
KY075936	Northern America
n264	Northern America
KY325483	Northern America
n262	Northern America
KX922704	Northern America
KX922706	Northern America
KY325478	Northern America
KX922705	Northern America
KY014298	Northern America
n231	Northern America
KY325473	Northern America
n245	Northern America
KY014326	Northern America
KY325467	Northern America
KX832731	Northern America
KX838904	Northern America
KY014324	Northern America
n263	Northern America
KY325477	Northern America
n232	Northern America
KX838906	Northern America
n246	Northern America
n253	Northern America
KY785472	Northern America
KY075938	Northern America
n233	Northern America
n234	Northern America
n247	Northern America
n251	Northern America
KY785412	Northern America
KY075935	Northern America
KY014299	Northern America
KX922708	Northern America
KY785459	Northern America
MF988743	Northern America
n248	Northern America
n250	Northern America
KX838905	Northern America
n252	Northern America
n249	Northern America
KY325468	Northern America
KX922703	Northern America
KY785445	Northern America
KY785474	Northern America
KY325469	Northern America
KY785468	Northern America
KY075939	Northern America
