node	Africa	Caribbean	Central America	Eastern Asia	Europe	Northern America	Oceania	South America	South-eastern Asia	Southern Asia
root	1.16674333700955e-08	0.10640144364020761	0.06422982736231193	0.14026933513744336	0.116611612158214	0.1448790717769633	0.012214595137433695	0.0760065245517247	0.327720143472076	0.011667435096192023
n0	8.323646070163993e-15	7.590769367370645e-08	4.582210441260427e-08	9.996428304128996e-08	8.319171462028763e-08	1.0335795979242162e-07	8.713995347108405e-09	5.4223700219563195e-08	0.9999995204948943	8.32364635089676e-09
n1	2.231602694681899e-09	0.020351155289570596	0.012285088868651086	0.044611433286097825	0.022304030344022514	0.027710787121458785	0.0023363544630882983	0.014537590198524216	0.853631794248196	0.002231763948787824
HQ234499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KX377336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2	1.0101115899659597e-10	0.0009211737320528091	0.000556071682453096	0.0016709753270188839	0.001009568576303455	0.001254481868113386	0.00010592018413562725	0.0006580287962861628	0.9937224845033139	0.00010129522931146582
n465	2.7904569892008243e-09	0.02544764068058652	0.015361610818169058	0.09988862403861788	0.027889569012057757	0.03465022836771171	0.0029213521628850235	0.018178200031879692	0.7728722609875226	0.0027905111101127066
n3	3.36842828477671e-11	0.0003071846402974716	0.00018543372852513292	0.00045323572195533223	0.00033666174921890695	0.0004182907922459372	3.5282276976349224e-05	0.00021943345979057383	0.9980107630477344	3.371454957176302e-05
n5	2.825691046401848e-12	2.5768958525957674e-05	1.5555576135090942e-05	3.830445660682405e-05	2.8241720173564883e-05	3.5875560450853225e-05	3.6830578009474544e-06	1.8407729367836755e-05	0.9998301398553522	4.023082761038226e-06
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n466	2.476961703959711e-12	2.25887127685105e-05	1.3635802972413974e-05	0.9998276869936301	2.4756301441002735e-05	3.0757401631431126e-05	2.5931242431007175e-06	1.6135961063058943e-05	5.936873487975757e-05	2.476964893850671e-06
n4	2.3167199972758293e-13	2.1127384609891145e-06	1.2753664045190455e-06	2.7879417235880533e-06	2.315474579815803e-06	2.8767642275577022e-06	2.4253902365495357e-07	1.5092079788836676e-06	0.9999866482913402	2.3167602902359907e-07
MG645981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n6	4.017791635970474e-12	3.664034897413867e-05	2.211815186513571e-05	9.285849149042973e-05	4.015631759999244e-05	8.524473281287947e-05	4.229179227301158e-06	2.617356953636549e-05	0.9996885234723969	4.055732079048451e-06
n11	9.8947480962924e-13	9.023539698115203e-06	5.447110275747163e-06	1.3750478801746705e-05	9.889428898436738e-06	1.2326132854168014e-05	6.106449848644967e-06	6.4458513733226654e-06	0.9999276453932792	9.365613981003308e-06
KY120353	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KY553111	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KU955593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
J860885	2.5749127295060457e-12	2.348197953880821e-05	1.4175028461108667e-05	3.092076698870031e-05	2.573528513340458e-05	3.197369827001108e-05	2.695669327740236e-06	1.6774054874431034e-05	0.9998516685980726	2.574916758201773e-06
n7	1.6048040728252498e-11	0.00014635049945598602	8.834529864305295e-05	0.0008218527315258334	0.0001603941365629487	0.00020924655080320812	1.680711428086315e-05	0.00010454362694243681	0.9984364012837951	1.6058741942585912e-05
n9	2.936974998704534e-11	0.0002678381524751758	0.00016168200078838286	0.00035818591546618773	0.00029353961458663196	0.0024334555291920714	3.074995497585109e-05	0.00019132679421936193	0.9962338475192843	2.9374489642182824e-05
KU179098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n12	1.0685515074024492e-12	9.744681575208353e-06	5.882431608661135e-06	1.672825199226373e-05	1.0679770777321302e-05	1.328708604012836e-05	1.2813942891961234e-05	6.960989945844865e-06	0.9999035147188029	2.0388125297121483e-05
n8	1.7457039107889617e-10	0.0015919989459925355	0.0009610190798524357	0.01311080345052674	0.0017447654589548651	0.0021739035094020744	0.0001827611399164611	0.0011372242972949329	0.9789229469043715	0.00017457703911813026
KX051561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n10	4.374297853199108e-12	3.989151613118116e-05	2.408073712787877e-05	5.2574118388222276e-05	4.3719463273659756e-05	0.03043895865616551	4.579465807954611e-06	2.849599964529416e-05	0.9693633256931699	4.374345916192842e-06
KY272987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n13	1.0815532518859366e-11	9.863251301642792e-05	5.95400688808152e-05	0.00020025151565486771	0.00010809718327651837	0.0001343107172436617	0.00022921503378024816	7.045688729263192e-05	0.9987287416433662	0.00037075442667293125
KX051560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KY328290	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KX051562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KF993678	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
KX694532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n14	8.466042814478213e-12	7.72062842620647e-05	4.660600589411605e-05	0.00022567951809307753	8.461491657000883e-05	0.0001051306091877553	0.0003930408142053615	5.515133197270856e-05	0.9988443065952105	0.00016826391613830716
n462	2.864667004199009e-12	2.612440072522551e-05	1.577014080935845e-05	3.439975650631846e-05	2.863127022540291e-05	3.557168841352235e-05	3.0197882504805686e-06	1.866163500408205e-05	0.00011234909642391732	0.999725472220777
KU681081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n15	4.5370958323085016e-11	0.00041376156278632244	0.0002497694846772069	0.002360640372376722	0.00045346567898804077	0.0005633905145532956	0.005674159715124274	0.00029556533547321265	0.9898854040645538	0.00010384322609604713
MK238035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n463	1.2801846474552638e-14	1.1674675165867724e-07	7.047483048729912e-08	1.537198400476042e-07	1.2794964484869497e-07	1.5896552366744488e-07	1.3468866604853426e-08	8.33965643951679e-08	3.820024311216608e-07	0.9999988932755344
n16	1.2345853780856072e-09	0.01125883151491507	0.006796456699870067	0.08721529435316254	0.012339216922765458	0.015330329125821024	0.25636999072945904	0.008042603792401466	0.6013775931111104	0.001269682515909838
n344	5.584825350558754e-12	5.093095121511026e-05	3.0744753943438716e-05	0.0004502565863409837	5.581823071901446e-05	6.934904079475252e-05	0.00030362512523385087	3.638188037437622e-05	0.9989942140870568	8.679338736922322e-06
n464	6.315635594369088e-16	5.759559308636971e-09	3.4767902334828456e-09	7.582525987853829e-09	6.3122404482790824e-09	7.842371038335053e-09	6.612025656957115e-10	4.114268293946395e-09	3.869156933948237e-09	0.9999999603818845
MK238036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
LC219720	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n17	2.7571396104239522e-12	2.5143802031877286e-05	1.5178196915631844e-05	7.436385287058062e-05	2.755657433115262e-05	3.423647842937945e-05	0.9994477483550491	1.7961163205267778e-05	0.0003550344305318165	2.7771438780003293e-06
