node	Africa	Caribbean	Central America	Eastern Asia	Europe	Northern America	Oceania	South America	South-eastern Asia	Southern Asia
root	5.743094314727456e-10	0.11928350863575526	0.13739844921530822	0.14566085692996186	0.12715200315112257	0.1690539973159197	0.0211438223304474	0.02291020997458821	0.2568228424411147	0.0005743094314727455
n0	6.318669791249174e-15	1.3123815513148595e-06	1.511685831442683e-06	1.6014234238084607e-06	1.3989523368047727e-06	1.859966613373429e-06	2.326286277277484e-07	2.520628144768259e-07	0.999991824580125	6.3186697912491736e-09
n1	1.4815424173322795e-10	0.030771491472620767	0.035444591266095976	0.05708046410596563	0.03280132203890083	0.04361126649678624	0.005454938533100123	0.005910132414211006	0.7887776392824319	0.00014815424173322798
HQ234499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KX377336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2	9.835543624384286e-12	0.002042832815487668	0.002353066773976608	0.003192073123699586	0.002177587560618118	0.002896151203984962	0.00036299983267199296	0.0003923570766913155	0.9865730960594099	9.835543624384288e-06
n440	1.8322638916898754e-10	0.03805594227956602	0.04383529217443148	0.12176290170524011	0.04056628907040599	0.05393477092852326	0.006745830738003518	0.007309221856208248	0.6876065246752261	0.00018322638916898755
n3	3.90574384863727e-12	0.0008112191870212759	0.0009344146524963649	0.0010864260385667374	0.0008647309741647023	0.0011498286852768744	0.0001439176501251536	0.00015580696881431402	0.9948497500957802	3.905743848637271e-06
n5	3.1011167932577725e-13	6.440989325918874e-05	7.419147499223823e-05	9.054161074516053e-05	6.865866911799513e-05	9.457561910560474e-05	1.4493812308877049e-05	1.2370898508169976e-05	0.9995804479099734	3.1011167932577725e-07
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n441	1.2412936007347583e-13	2.578154698993115e-05	2.969685093356081e-05	0.9998182620375485	2.7482217630894746e-05	3.6538785155019344e-05	4.5699637301301574e-06	4.951737769658333e-06	5.259273075804308e-05	1.2412936007347587e-07
n4	1.7203226117906882e-14	3.5730932816755924e-06	4.115719611358786e-06	4.371318525462151e-06	3.8087911179591637e-06	5.0639659405609914e-06	6.333704308975737e-07	6.862668467604141e-07	0.999977730271002	1.7203226117906888e-08
MG645981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n6	4.299413424598857e-13	8.929839738948425e-05	0.00010285966148257385	0.00021824273549020149	9.51889346324475e-05	0.0002153881211965223	1.5986784780909707e-05	1.7151113829453678e-05	0.999245454309426	4.2994134245988584e-07
n11	1.3361239300062136e-13	2.775116367750246e-05	3.19655826427132e-05	4.046689118173632e-05	2.9581759387578973e-05	3.960311957666655e-05	2.0904359064860085e-05	5.330032577673179e-06	0.9998042634793647	1.3361239300062134e-07
KY120353	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KY553111	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KU955593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
J860885	1.3973075685981864e-13	2.9021941882143337e-05	3.342934705248956e-05	3.5420858808906703e-05	3.093636402764101e-05	4.113122743836442e-05	5.14435321748255e-06	5.5741048364073355e-06	0.9998192020718399	1.3973075685981868e-07
n7	1.5436541983422438e-12	0.0003206154710473619	0.00036930560661877155	0.0015027502265332496	0.0003417647573513185	0.0004855415431380151	5.688670726148982e-05	6.157907196733141e-05	0.9968600129603405	1.5436541983422439e-06
n9	2.826379590251983e-12	0.0005870362835539543	0.0006761863053486175	0.0007335329892890856	0.0006257599246531675	0.004520297219552394	0.00010408122428322686	0.00011274923644299812	0.9926375304344599	2.8263795902519826e-06
KU179098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
