node	Africa	Caribbean	Central America	Eastern Asia	Europe	Northern America	Oceania	South America	South-eastern Asia	Southern Asia
root	1.1486873333179233e-08	0.09977055600041394	0.07176834108367527	0.1387252331657617	0.12219618960428978	0.14229670603763064	0.011711451084891567	0.028916158078271217	0.3731284791316186	0.011486874326573856
n0	6.629569801660272e-15	5.758188899364603e-08	4.142060358490104e-08	7.994570928291181e-08	7.052468891935958e-08	8.212556348019179e-08	6.759182720671209e-09	1.668876140751211e-08	0.9999996383240249	6.6295699551991005e-09
n1	2.4531328817396545e-09	0.02130696704447103	0.015326823259358012	0.0551726440135841	0.026096177963042855	0.03038883968552553	0.002501219226442635	0.0061753251853571235	0.8405787776541526	0.002453223514933339
HQ234499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KX377336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2	1.1688173830150986e-10	0.0010151897455814454	0.0007302603778737729	0.0020745221939053493	0.0012433760380656422	0.0014479074874415112	0.00011939799206714074	0.0002942289623258311	0.9929580689431228	0.00011704814273488471
n467	2.869634338984882e-09	0.024924538228468577	0.017929064772641088	0.11929849342201346	0.03052687808167249	0.03554836119878886	0.0029257822009453598	0.007223793435002217	0.7587534194052048	0.002869666385628802
n3	3.231385609477133e-11	0.00028066570385001347	0.00020189234952558538	0.0004631511484856659	0.00034375151285049866	0.00040029692744908847	3.297119599636559e-05	8.134437839198344e-05	0.9981635944777162	3.2332273420584555e-05
n5	4.720122563067867e-12	4.099716596918724e-05	2.949065043526937e-05	6.718938693365703e-05	5.021218350220034e-05	5.849168878920051e-05	6.0262594621417915e-06	1.1882068011340148e-05	0.9997301165586281	5.5940335487743875e-06
KU681082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n468	1.2668282257483722e-12	1.100318187324795e-05	7.914961501083502e-06	0.9999102774372485	1.3476389751985671e-05	1.569317243220817e-05	1.2915972644509045e-06	3.1890144664472563e-06	3.588741477104799e-05	1.266829424319346e-06
n4	2.338172372184145e-13	2.0308464351548098e-06	1.46085664438065e-06	2.828120997041757e-06	2.487323976087128e-06	2.896473423064414e-06	2.3839201876744612e-07	5.885932574274359e-07	0.9999872355732633	2.338197510964625e-07
MG645981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n6	3.016935747196041e-12	2.6203941506506086e-05	1.884938289576939e-05	0.0001307971253727647	3.2093855472705315e-05	3.778541579546644e-05	3.1133870601357127e-06	7.594598499308341e-06	0.9997405183795873	3.0439107931905234e-06
n11	2.8945676912630023e-12	2.5141099719797715e-05	1.8084844790297143e-05	3.77317474792566e-05	3.0792116545967856e-05	3.5858410999961605e-05	1.549131039689663e-05	7.286558709327376e-06	0.9998176911005403	1.1922807923558103e-05
KY120353	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KY553111	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KU955593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
J860885	2.5300619011104695e-12	2.19751428667832e-05	1.580746476564937e-05	3.050341448453171e-05	2.6914541042746673e-05	3.134181641578851e-05	2.5795298642088118e-06	6.368980292400705e-06	0.9998619790433233	2.5300644146362475e-06
n7	1.119598475092061e-11	9.724400985122936e-05	6.995091084105367e-05	0.0010005334384219954	0.00011910174646729387	0.00013885923346280992	1.1429957562623617e-05	2.8183897872749608e-05	0.998523489950248	1.1206844076256473e-05
n9	2.3851269386173902e-11	0.0002071629362448626	0.0001490193185678477	0.000295159052597099	0.0002537273766045124	0.0003354753981066868	2.4320630822279837e-05	6.00413233378234e-05	0.9986512404728356	2.3853467032028404e-05
KU179098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n12	2.2377573384359702e-12	1.9436298057268707e-05	1.3981187679982944e-05	3.3145624127333144e-05	2.3805034850178065e-05	2.7721154256665134e-05	3.6123338416420436e-05	5.633155608334446e-06	0.9998135521346115	2.6602070154590928e-05
n8	1.4523578474399243e-10	0.0012614620684647246	0.0009074124032477003	0.018230224553511164	0.001545003498788716	0.0017992600414045454	0.0001480855171664659	0.00036560522506577615	0.9755977033672922	0.000145243179822814
KX051561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n10	9.675461454330558e-14	8.403733033869532e-07	6.04508988351629e-07	1.1690815034432437e-06	1.0292657436792215e-06	0.00042383366747889164	9.864740692030214e-08	2.4356251242496125e-07	0.9995720841375075	9.675545853178218e-08
KY272987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n13	8.604256730253289e-12	7.473325882928318e-05	5.375816498338776e-05	0.00015943173438582377	9.153120751989858e-05	0.00010658766395056101	0.00032425207565432745	2.165968410562877e-05	0.9989323134671144	0.00023573273485240205
KX051560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KY328290	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KX051562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KF993678	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
KX694532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n14	6.505637240654469e-12	5.650545851866299e-05	4.064629067557812e-05	0.00015121662850299726	6.920630694686342e-05	8.059039659165817e-05	0.0004191478209626063	1.6376783254611486e-05	0.9990284699315883	0.0001378403764530106
n464	4.5011521032563605e-12	3.909527292228152e-05	2.812255433190162e-05	5.425637989652833e-05	4.788279803334711e-05	5.5759221781134574e-05	4.62665214301419e-06	1.1330848872177864e-05	0.00014788246291322314	0.9996110438046053
KU681081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n15	3.7616061872127063e-11	0.0003267186203479598	0.00023501977260127624	0.0015878749142377115	0.00040015583835300683	0.0004659790254728143	0.006472896327859913	9.46917372401642e-05	0.9903303638042827	8.629992198823284e-05
MK238035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n465	1.6099441176601646e-14	1.3983354311446395e-07	1.005870050191564e-07	1.9405140902227622e-07	1.7126421694376218e-07	1.994361200019318e-07	1.649488578277259e-08	4.052747623583272e-08	3.597464430662021e-07	0.9999987780588846
n16	1.0781248675028813e-09	0.009364177208948485	0.006735969917788218	0.06441087140188333	0.011468982629585529	0.013355559259723081	0.3319198781071902	0.002713987365628949	0.5589253084080771	0.001105264623050148
n345	4.911899170686237e-12	4.266286369344884e-05	3.0688843240936524e-05	0.00030942532903997495	5.225228353869267e-05	6.0847462221694576e-05	0.00035903928681411593	1.2364831470182308e-05	0.9991251285894927	7.590505576304725e-06
n466	1.7285710746801042e-16	1.5013702354401691e-09	1.0799864756642316e-09	2.0833483728645015e-09	1.8388363191573565e-09	2.1413135054783057e-09	1.7625177042334006e-10	4.3513698632509456e-10	1.1675764708748792e-09	0.9999999895761796
MK238036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
LC219720	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n17	7.182637644812869e-13	6.238562318804456e-06	4.487609233788813e-06	1.9990988499568278e-05	7.640816835415938e-06	8.897683887804141e-06	0.9998238916168701	1.8081011214505769e-06	0.00012632037414603297	7.242463687554908e-07
n346	7.083903805669638e-13	6.152805910235419e-06	4.4259217437416765e-06	3.4945476662190104e-05	7.535784782059374e-06	8.775374713910208e-06	1.8914313796131362e-06	1.7832466356562212e-06	0.9999337727209638	7.172365003044857e-07
n462	1.8888651922190063e-11	0.00016405955299705622	0.00011801359468698542	0.001381707423199909	0.00020093555702285684	0.00023398821233831907	0.00015016728939325493	4.754881759598202e-05	0.9976837004198952	1.987911398177397e-05
MK238038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
MK238037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
KX447517	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n18	1.9471123630239488e-18	1.6911868109951214e-11	1.2165279458084471e-11	5.089249793631664e-11	2.071318317802666e-11	2.4120373676855637e-11	0.9999999995618352	4.901513235414994e-12	3.0649845331742237e-10	1.961563227756587e-12
n347	1.1386644337444682e-13	9.89000055606424e-07	7.114212465874317e-07	1.5023159803547185e-06	1.2112996374705408e-06	1.410550926102174e-06	1.218461225367853e-07	2.866384942990167e-07	0.9999936530174486	1.1390997452187511e-07
n460	3.615941478440259e-12	3.1406674497480015e-05	2.2591885000919107e-05	0.00040146896314077426	3.8466017486344946e-05	4.479343913889885e-05	4.0788488747552636e-06	9.10248875909014e-06	0.9994444727705164	3.6189089694011756e-06
MG807647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n463	1.6632372238650207e-10	0.0014446237698668006	0.0010391668204490633	0.03956183047929736	0.0017693348335031333	0.002060379456009041	0.00020154897302190926	0.0004186903528223617	0.953337859514307	0.00016656563439945655
n19	2.1324263180369165e-22	1.852143349210311e-15	1.3323094534927026e-15	1.1167874341033934e-13	2.268453417374779e-15	2.6415999599092295e-15	0.9999999999998695	5.368004859180504e-16	9.93573398736233e-15	2.1366327694283016e-16
n32	6.296305168436709e-19	5.4775094904215905e-12	3.9338413838868994e-12	7.588900447245865e-12	6.697945366442198e-12	7.803398445359388e-12	0.9999999999620791	1.7085287467149539e-12	4.081281785332384e-12	6.296306906701e-13
n348	1.070041246297358e-17	9.29396598969161e-11	6.685464609072617e-11	1.2993562148961792e-10	1.1382989889797394e-10	1.325542123013753e-10	1.0952550761461032e-11	2.693638288744066e-11	0.9999999994152964	1.0700737330874944e-11
MG807646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n461	6.550260853152832e-11	0.000568930420238148	0.0004092509262187605	0.019482086233863813	0.0006968100839568395	0.0008114310273197513	6.691832365509698e-05	0.00016489115252675657	0.9777341781360672	6.550363065105328e-05
MH013290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KY126351	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
KY241691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n20	6.292427351288011e-19	5.465359956716565e-12	3.931418579214856e-12	7.595324242298312e-12	6.693820184020402e-12	7.794912148466977e-12	0.9999999999622298	1.5840065325864612e-12	4.076131349958286e-12	6.292427791920898e-13
n23	5.441100670572599e-17	4.725930402568607e-10	3.399521849590988e-10	2.38598793931039e-08	5.788187524248582e-10	6.740308524880214e-10	0.9999999735309488	1.36970020080006e-10	3.5239587682772827e-10	5.441100708814869e-11
KX447513	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n33	3.715915346983947e-21	1.1610329707108622e-13	2.3216507427665417e-14	4.480432304388562e-14	3.952952932657733e-14	8.118588370277144e-14	0.9999999999984786	1.1887378665262956e-12	2.406798446472111e-14	3.715915454449571e-15
n349	3.489219146339151e-18	3.030601314563264e-11	2.1800142000943502e-11	4.2053529291425773e-11	3.711795821282643e-11	4.3223632461793665e-11	3.5574362613170405e-12	8.78348785424873e-12	0.9999999998096686	3.4892191497525376e-12
n353	6.571643409944148e-20	5.707876267362975e-13	4.1058687777366073e-13	7.934608692160059e-13	6.990847385892267e-13	8.140798485515551e-13	6.706406624315155e-14	1.6542942031674723e-13	0.9999999999964138	6.571690947288775e-14
MG548660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
LC369584	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n21	3.344657852631593e-19	2.905040944643607e-12	2.08969437211876e-12	4.0311207047612244e-12	3.5580129881046515e-12	4.143284089343582e-12	0.9999999999799299	8.419580540256422e-13	2.1661382476661253e-12	3.3446578526344093e-13
KX447515	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n24	3.672306236059946e-12	3.1896237065415835e-05	2.2944043942052724e-05	0.010016440114497241	3.906562004217715e-05	4.549167259991283e-05	0.9898074622565866	9.244376999179508e-06	2.378336835916889e-05	3.6723062360600065e-06
KX447516	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n34	4.8995681489947355e-17	4.2555769029668867e-10	3.0611800781687877e-10	5.905163135598257e-10	5.212110738475381e-10	6.069471004336646e-10	0.9999999970599988	1.23339006148688e-10	3.1731622199401225e-10	4.8995681489947465e-11
n35	9.000546692216144e-18	4.0285257419594995e-10	5.6234127965937304e-11	1.0854945158066314e-10	9.574689980880647e-11	2.4765241490515296e-10	0.9999999944311171	4.5905557735196575e-09	5.829125041985891e-11	9.00054669228335e-12
n350	5.62138958961904e-20	4.882522411309671e-13	3.5121637866998285e-13	6.775132482999366e-13	5.979977041694699e-13	6.963646230165136e-13	5.731291737502807e-14	1.4150847256533944e-13	0.9999999999969337	5.621389590128015e-14
n352	3.4168399905731405e-14	2.967735568557716e-07	2.134792739147624e-07	4.1181175439437117e-07	3.6347996119152504e-07	4.2327016372200285e-07	3.4836415915244476e-08	8.601286218608121e-08	0.9999981361675778	3.416839990573241e-08
n354	5.00567475383461e-20	4.3477362277928895e-13	3.12747396673621e-13	6.033047226991956e-13	5.324985864954138e-13	6.200913061308652e-13	5.1035391816364243e-14	1.260089480156492e-13	0.9999999999972695	5.005674753841776e-14
n372	5.090336560003141e-22	4.421270210700456e-15	3.1803694519185264e-15	6.135106258406876e-15	5.415048232830431e-15	6.305790130930942e-15	5.189865529014843e-16	1.2814015822346968e-15	0.9999999999999721	5.09033663070677e-16
KX447509	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n22	2.000741112384602e-18	1.7377666437647635e-11	1.2500344211074231e-11	2.411376331645687e-11	2.1283680356417813e-11	2.478471396204659e-11	0.9999999998799448	5.036509466183614e-12	1.2957623850374701e-11	2.0007411123846754e-12
n25	2.4503322474949774e-12	2.1282641814476708e-05	1.530932529730231e-05	0.9991803159776603	2.6066385100942923e-05	3.035414401704337e-05	0.0007021835550309871	6.168275087372272e-06	1.5869361293806396e-05	2.4503322474949775e-06
n31	3.8486650149413335e-12	3.34280214695954e-05	2.404590835970072e-05	0.009952826038457098	4.094170678549691e-05	4.767636399362411e-05	0.9898626194227715	9.688328819723667e-06	2.49255404796467e-05	3.848665014941385e-06
KX369547	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
KX447512	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n36	6.4852366433182e-13	7.36162165279419e-05	4.05188306622679e-06	7.83116887092824e-06	6.898928746912173e-06	3.6543080121855025e-05	0.9989081163773259	0.0009580937145530924	4.200106474372881e-06	6.485236643318201e-07
KX447511	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n351	6.254359474016461e-15	5.4322956652328086e-08	3.9076343141575885e-08	7.538013938888376e-08	6.653323963560909e-08	7.747754550540577e-08	6.376636556601402e-09	1.574423622367381e-08	0.999999658834537	6.254359474016464e-09
KY241787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KY241769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KY241730	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n355	5.0880074669841645e-22	4.419247250241678e-15	3.1789142679241254e-15	6.132278032091505e-15	5.412570567377893e-15	6.302904904856008e-15	5.187481555710061e-16	1.2808152745427577e-15	0.9999999999999722	5.088007466984175e-16
KY241707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n373	5.080636974678955e-22	4.4128455246026964e-15	3.1743092897862805e-15	6.123394808794146e-15	5.4047299126663725e-15	6.2937745110027855e-15	5.179966965285842e-16	1.2789598843557996e-15	0.9999999999999722	5.080636974680008e-16
KY241708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
KX447514	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
KJ776791	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n26	9.101499045033764e-17	7.905211399322797e-10	5.686486382242898e-10	0.9999999908126345	9.682082066472933e-10	1.1274724603831666e-09	4.822935496981227e-09	2.2911403086098987e-10	5.894505808692963e-10	9.101499045033767e-11
KU761561	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
LC191864	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
