node	location
root	South-eastern Asia
n0	South-eastern Asia
n1	South-eastern Asia
HQ234499	South-eastern Asia
KX377336	South-eastern Asia
n2	South-eastern Asia
n465	South-eastern Asia
n3	South-eastern Asia
n5	South-eastern Asia
KU681082	South-eastern Asia
n466	Eastern Asia
n4	South-eastern Asia
MG645981	South-eastern Asia
n6	South-eastern Asia
n11	South-eastern Asia
KY120353	Eastern Asia
KY553111	Eastern Asia
KU955593	South-eastern Asia
J860885	South-eastern Asia
n7	South-eastern Asia
n9	South-eastern Asia
KU179098	South-eastern Asia
n12	South-eastern Asia
n8	South-eastern Asia
KX051561	South-eastern Asia
n10	South-eastern Asia
KY272987	South-eastern Asia
n13	South-eastern Asia
KX051560	South-eastern Asia
KY328290	Eastern Asia
KX051562	South-eastern Asia
KF993678	Northern America
KX694532	South-eastern Asia
n14	South-eastern Asia
n462	Southern Asia
KU681081	South-eastern Asia
n15	South-eastern Asia
MK238035	Southern Asia
n463	Southern Asia
n16	Oceania
n16	South-eastern Asia
n344	South-eastern Asia
n464	Southern Asia
MK238036	Southern Asia
LC219720	Eastern Asia
n17	Oceania
n345	South-eastern Asia
n460	South-eastern Asia
MK238038	Southern Asia
MK238037	Southern Asia
KX447517	Oceania
n20	Oceania
n23	Oceania
KX447513	Oceania
n34	Oceania
n36	Oceania
KX447511	Oceania
n346	South-eastern Asia
n458	South-eastern Asia
MG807647	South-eastern Asia
n461	South-eastern Asia
n21	Oceania
KX447515	Oceania
n24	Oceania
KX447516	Oceania
KX369547	Oceania
KX447512	Oceania
n37	South America
KX447510	Oceania
n347	South-eastern Asia
MG807646	South-eastern Asia
n459	South-eastern Asia
MH013290	South-eastern Asia
KY126351	Eastern Asia
KY241691	South-eastern Asia
KX447509	Oceania
n22	Oceania
n25	Eastern Asia
n31	Oceania
n338	South America
n40	South America
n49	South America
n192	South America
n291	South America
n328	South America
n348	South-eastern Asia
n352	South-eastern Asia
KY241708	South-eastern Asia
KY241758	South-eastern Asia
KY241745	South-eastern Asia
n454	South-eastern Asia
n453	South-eastern Asia
n376	South-eastern Asia
KY241701	South-eastern Asia
MG548660	South-eastern Asia
LC369584	Eastern Asia
KX447514	Oceania
KJ776791	Oceania
n26	Eastern Asia
KU761561	Eastern Asia
LC191864	Eastern Asia
KX806557	Oceania
KX051563	Northern America
n339	South America
KU729218	South America
n41	South America
n50	South America
n63	South America
n193	South America
n194	South America
n292	South America
KY559003	South America
KY014313	South America
n329	South America
KY241730	South-eastern Asia
n350	South-eastern Asia
KY241787	South-eastern Asia
KY241707	South-eastern Asia
KY241782	South-eastern Asia
KY241734	South-eastern Asia
KY241744	South-eastern Asia
n358	South-eastern Asia
KY241688	South-eastern Asia
n360	South-eastern Asia
KY241773	South-eastern Asia
KY241777	South-eastern Asia
KY241751	South-eastern Asia
KY241727	South-eastern Asia
KY241780	South-eastern Asia
KY241682	South-eastern Asia
n457	South-eastern Asia
KY241781	South-eastern Asia
KY241779	South-eastern Asia
KY241687	South-eastern Asia
n383	South-eastern Asia
KY241695	South-eastern Asia
n381	South-eastern Asia
KY241752	South-eastern Asia
KY241741	South-eastern Asia
KY241735	South-eastern Asia
KY241755	South-eastern Asia
n408	South-eastern Asia
KY241771	South-eastern Asia
n30	Eastern Asia
KU963796	Eastern Asia
n29	Eastern Asia
KU820899	Eastern Asia
KU744693	Eastern Asia
n340	South America
n42	Europe
n43	South America
n51	South America
KY241788	South-eastern Asia
n64	South America
n94	South America
KX197205	South America
KY559021	South America
n195	South America
n200	South America
n293	South America
KY785429	South America
KY014317	South America
n335	South America
n332	South America
n334	South America
KY785427	South America
KY241673	South-eastern Asia
KY241766	South-eastern Asia
KY241714	South-eastern Asia
KY241738	South-eastern Asia
KY241721	South-eastern Asia
n363	South-eastern Asia
KY241716	South-eastern Asia
KY241783	South-eastern Asia
KY241749	South-eastern Asia
KY241697	South-eastern Asia
KY241706	South-eastern Asia
KY241671	South-eastern Asia
KY241778	South-eastern Asia
KY241776	South-eastern Asia
KY241760	South-eastern Asia
KY241785	South-eastern Asia
KY241702	South-eastern Asia
KY241709	South-eastern Asia
KY241763	South-eastern Asia
KY241762	South-eastern Asia
KY241742	South-eastern Asia
KY241757	South-eastern Asia
KY241703	South-eastern Asia
n392	South-eastern Asia
n382	South-eastern Asia
KY241772	South-eastern Asia
KY241704	South-eastern Asia
KY241719	South-eastern Asia
KY241683	South-eastern Asia
KY241786	South-eastern Asia
KY241748	South-eastern Asia
KY241722	South-eastern Asia
KY241770	South-eastern Asia
KY241711	South-eastern Asia
KY241743	South-eastern Asia
KY241699	South-eastern Asia
n452	South-eastern Asia
KY241732	South-eastern Asia
KY241724	South-eastern Asia
n422	South-eastern Asia
KY241731	South-eastern Asia
KY241750	South-eastern Asia
KY241718	South-eastern Asia
KY241710	South-eastern Asia
n437	South-eastern Asia
KY241728	South-eastern Asia
