node	location
NODE_0000445	Caribbean
NODE_0000445	Central America
NODE_0000445	Eastern Asia
NODE_0000445	Europe
NODE_0000445	Northern America
NODE_0000445	South-eastern Asia
node_1	South-eastern Asia
node_2	South-eastern Asia
HQ234499	South-eastern Asia
KX377336	South-eastern Asia
node_4	South-eastern Asia
node_3	South-eastern Asia
KU681082	South-eastern Asia
node_7	Eastern Asia
node_5	South-eastern Asia
node_6	South-eastern Asia
KY120353	Eastern Asia
KY553111	Eastern Asia
MG645981	South-eastern Asia
node_8	South-eastern Asia
node_9	South-eastern Asia
node_10	South-eastern Asia
KU955593	South-eastern Asia
J860885	South-eastern Asia
node_11	South-eastern Asia
node_12	South-eastern Asia
KU179098	South-eastern Asia
node_13	South-eastern Asia
KX051561	South-eastern Asia
node_14	South-eastern Asia
KY272987	South-eastern Asia
node_15	South-eastern Asia
KX051560	South-eastern Asia
node_16	South-eastern Asia
KY328290	Eastern Asia
KX051562	South-eastern Asia
KF993678	Northern America
KX694532	South-eastern Asia
KU681081	South-eastern Asia
node_17	South-eastern Asia
node_19	South-eastern Asia
node_18	Oceania
node_18	South-eastern Asia
node_22	South-eastern Asia
node_21	South-eastern Asia
LC219720	Eastern Asia
node_20	Oceania
MG807647	South-eastern Asia
node_26	South-eastern Asia
node_25	South-eastern Asia
node_24	South-eastern Asia
KX447517	Oceania
node_23	Oceania
KY126351	Eastern Asia
KY241691	South-eastern Asia
MH013290	South-eastern Asia
node_30	South-eastern Asia
MG807646	South-eastern Asia
node_29	South-eastern Asia
KX447515	Oceania
KX447516	Oceania
node_36	Oceania
node_37	Oceania
node_28	Oceania
MG548660	South-eastern Asia
LC369584	Eastern Asia
KY241708	South-eastern Asia
KY241758	South-eastern Asia
KY241745	South-eastern Asia
KY241701	South-eastern Asia
KY241687	South-eastern Asia
KY241695	South-eastern Asia
KY241752	South-eastern Asia
KY241772	South-eastern Asia
KY241725	South-eastern Asia
KY241737	South-eastern Asia
KY241760	South-eastern Asia
KY241785	South-eastern Asia
KY241702	South-eastern Asia
KY241709	South-eastern Asia
KY241763	South-eastern Asia
KY241762	South-eastern Asia
KY241742	South-eastern Asia
KY241757	South-eastern Asia
KY241703	South-eastern Asia
KY241784	South-eastern Asia
KY241739	South-eastern Asia
KY241705	South-eastern Asia
KY241696	South-eastern Asia
KY241764	South-eastern Asia
KY241761	South-eastern Asia
KY241746	South-eastern Asia
KY241754	South-eastern Asia
KY241753	South-eastern Asia
KY241765	South-eastern Asia
KY241733	South-eastern Asia
KY241726	South-eastern Asia
KY241720	South-eastern Asia
KY241741	South-eastern Asia
KY241735	South-eastern Asia
KY241755	South-eastern Asia
KY241771	South-eastern Asia
KY241704	South-eastern Asia
KY241719	South-eastern Asia
KY241683	South-eastern Asia
KY241786	South-eastern Asia
KY241748	South-eastern Asia
KY241722	South-eastern Asia
KY241770	South-eastern Asia
KY241711	South-eastern Asia
KY241743	South-eastern Asia
KY241699	South-eastern Asia
KY241679	South-eastern Asia
KX827309	South-eastern Asia
KY241732	South-eastern Asia
KY241724	South-eastern Asia
KY241674	South-eastern Asia
KY241731	South-eastern Asia
KY241750	South-eastern Asia
KY241718	South-eastern Asia
KY241710	South-eastern Asia
KY241728	South-eastern Asia
KY241747	South-eastern Asia
KY241715	South-eastern Asia
KY241768	South-eastern Asia
KY241723	South-eastern Asia
node_78	South-eastern Asia
node_428	South-eastern Asia
node_435	South-eastern Asia
node_34	South-eastern Asia
node_68	South-eastern Asia
node_434	South-eastern Asia
node_399	South-eastern Asia
node_41	South-eastern Asia
KX447509	Oceania
KX447514	Oceania
KJ776791	Oceania
node_45	Oceania
node_44	Eastern Asia
KX447513	Oceania
KX447511	Oceania
node_38	Oceania
node_46	Oceania
KY241781	South-eastern Asia
KY241779	South-eastern Asia
KY241713	South-eastern Asia
KX813683	South-eastern Asia
KY241689	South-eastern Asia
KY241736	South-eastern Asia
KY241730	South-eastern Asia
KY241787	South-eastern Asia
node_47	South-eastern Asia
KY241727	South-eastern Asia
KY241780	South-eastern Asia
KY241682	South-eastern Asia
node_105	South-eastern Asia
node_441	South-eastern Asia
NODE_0000447	South-eastern Asia
KY241685	South-eastern Asia
KY241676	South-eastern Asia
KY241678	South-eastern Asia
KY241756	South-eastern Asia
KY241680	South-eastern Asia
KY241684	South-eastern Asia
KY241767	South-eastern Asia
KY241677	South-eastern Asia
KY241675	South-eastern Asia
KY241681	South-eastern Asia
KY241777	South-eastern Asia
KY241751	South-eastern Asia
KY241714	South-eastern Asia
KY241688	South-eastern Asia
NODE_0000451	South-eastern Asia
node_89	South-eastern Asia
LC191864	Eastern Asia
KX806557	Oceania
KU761561	Eastern Asia
node_50	Eastern Asia
KX369547	Oceania
KX447512	Oceania
KX447510	Oceania
node_51	South America
KY241673	South-eastern Asia
KY241766	South-eastern Asia
KY241778	South-eastern Asia
KY241776	South-eastern Asia
KY241690	South-eastern Asia
NODE_0000446	South-eastern Asia
KY241759	South-eastern Asia
NODE_0000448	South-eastern Asia
KY241738	South-eastern Asia
NODE_0000452	South-eastern Asia
KY241749	South-eastern Asia
KY241697	South-eastern Asia
KY241706	South-eastern Asia
KY241671	South-eastern Asia
KY241721	South-eastern Asia
KY241716	South-eastern Asia
KY241783	South-eastern Asia
node_138	South-eastern Asia
KU963796	Eastern Asia
KU820899	Eastern Asia
node_55	Eastern Asia
node_69	Eastern Asia
node_57	South America
node_56	South America
KY241686	South-eastern Asia
KY241694	South-eastern Asia
KY241774	South-eastern Asia
NODE_0000449	South-eastern Asia
KY241773	South-eastern Asia
NODE_0000453	South-eastern Asia
KY241698	South-eastern Asia
KY241740	South-eastern Asia
KU997667	Eastern Asia
KX013000	Eastern Asia
MF099651	Eastern Asia
MF036115	Eastern Asia
KX051563	Northern America
node_64	South America
KU729218	South America
KY241788	South-eastern Asia
node_83	South America
node_86	South America
node_80	South America
node_94	South America
node_85	South America
node_84	South America
node_82	South America
KY241775	South-eastern Asia
NODE_0000450	South-eastern Asia
KY241782	South-eastern Asia
NODE_0000454	South-eastern Asia
