node	country
root	Micronesia
root	Philippines
root	Thailand
root	USA
EU545988	Micronesia
n0	Micronesia
n0	Philippines
n0	Thailand
n00	Mexico
n00	Micronesia
n00	Nicaragua
n00	Philippines
n00	South Korea
n00	Thailand
n00	USA
n2	Thailand
KU681082	Philippines
n1	South Korea
n22	Thailand
n33	Thailand
n11	South Korea
KY120353	South Korea
MG645981	Thailand
n3	Cambodia
n4	Thailand
n7	Thailand
KY962729	South Korea
KY553111	South Korea
MH158236	Cambodia
KU955593	Cambodia
JN860885	Cambodia
MK028862	Cambodia
n44	Thailand
n55	Thailand
KU179098	Indonesia
n77	Thailand
KY272987	Thailand
n5	Thailand
n6	Thailand
n66	Thailand
KX051560	Thailand
n8	Thailand
KF993678	Canada
KX694532	Thailand
MH119185	Thailand
KX051561	Thailand
KX051562	Thailand
KY328290	China
n88	India
n1010	Thailand
MK238035	India
n9	India
KU681081	Thailand
n1111	Thailand
MK238039	India
n99	India
n12	Vietnam
n180180	Thailand
n10	India
MK238036	India
n1212	French Polynesia
n175175	Vietnam
n181	Thailand
n182	Thailand
MK238038	India
MK238037	India
n13	French Polynesia
KX447517	French Polynesia
n176	Vietnam
n178	Vietnam
MG807647	Thailand
n181181	Singapore
n181181	Taiwan
n181181	Thailand
n182182	Thailand
n185	Thailand
KX447515	French Polynesia
KX447516	French Polynesia
n1313	French Polynesia
n169169	French Polynesia
n170	Australia
n170	China
n170	French Polynesia
n176176	Vietnam
n177177	China
8607_IonXpress_035_rawlib	Vietnam
n178178	Vietnam
n179	Vietnam
KY126351	Taiwan
KY241691	Singapore
MH013290	Thailand
n183	Thailand
MG807646	Thailand
n185185	Singapore
n14	French Polynesia
n167167	French Polynesia
n168168	French Polynesia
n169	French Polynesia
KX447511	French Polynesia
KX447514	French Polynesia
KX447521	French Polynesia
KJ776791	French Polynesia
KX447509	French Polynesia
n170170	Australia
n170170	China
n170170	French Polynesia
n170170	Japan
n171	China
IonXpress_039_rawlib	Vietnam
8628_IonXpress_066_rawlib	Vietnam
n177	Vietnam
IonXpress_004_rawlib	Vietnam
MN190155	China
MN611472	China
3015_IonXpress_030_rawlib	Vietnam
3015u_IonXpress_001_rawlib	Vietnam
n179179	Vietnam
7938_IonXpress_048_rawlib	Vietnam
n183183	Thailand
MF692778	Taiwan
KY241704	Singapore
KY241770	Singapore
KY241763	Singapore
KY241754	Singapore
n186	Singapore
KY241732	Singapore
KY241747	Singapore
KY241702	Singapore
KY241741	Singapore
KY241761	Singapore
KY241703	Singapore
n187	Singapore
n188188	Singapore
KY241737	Singapore
KY241699	Singapore
n190	Singapore
KY241726	Singapore
KY241696	Singapore
MH255601	Singapore
KY241687	Singapore
n190190	Singapore
KY241728	Singapore
KY241748	Singapore
KY241752	Singapore
KY241743	Singapore
KY241772	Singapore
KY241755	Singapore
KY241750	Singapore
KY241709	Singapore
KY241739	Singapore
KY241745	Singapore
KY241724	Singapore
KY241725	Singapore
KY241701	Singapore
KY241746	Singapore
KY241742	Singapore
KY241719	Singapore
KY241708	Singapore
KY241695	Singapore
KY241711	Singapore
KY241723	Singapore
n191	Singapore
KY241757	Singapore
KY241731	Singapore
KY241705	Singapore
KY241768	Singapore
KY241765	Singapore
KY241710	Singapore
KY241718	Singapore
KY241735	Singapore
KY241722	Singapore
KY241753	Singapore
KY241715	Singapore
KY241771	Singapore
KY241733	Singapore
KY241679	Singapore
KY241758	Singapore
n191191	Singapore
KY241762	Singapore
KY241760	Singapore
KX827309	Singapore
n192	Singapore
KY241764	Singapore
n1414	Brazil
KX447510	French Polynesia
KX447518	French Polynesia
KY766069	French Polynesia
n168	French Polynesia
KX447512	French Polynesia
KX447513	French Polynesia
KX447519	French Polynesia
MG976700	French Polynesia
KX447520	French Polynesia
LC191864	Japan
KX806557	Australia
KU761561	China
n171171	China
IonXpress_041_rawlib	Vietnam
8711_IonXpress_002_rawlib	Vietnam
IonXpress_040_rawlib	Vietnam
8546_IonXpress_034_rawlib	Vietnam
7040_IonXpress_033_rawlib	Vietnam
n180	Vietnam
LC369584	Japan
n184	Thailand
KY241730	Singapore
n186186	Singapore
KY241683	Singapore
n187187	Singapore
KY241734	Singapore
KY241714	Singapore
KY241688	Singapore
KY241773	Singapore
KY241707	Singapore
KY241751	Singapore
KY241744	Singapore
KY241738	Singapore
KY241729	Singapore
n189	Singapore
KX813683	Singapore
KY241713	Singapore
KY241717	Singapore
KY241720	Singapore
KY241736	Singapore
KY241689	Singapore
KY241684	Singapore
KY241675	Singapore
KY241677	Singapore
KY241756	Singapore
KY241678	Singapore
KY241681	Singapore
KY241676	Singapore
KY241685	Singapore
KY241767	Singapore
KY241680	Singapore
KY241769	Singapore
KY241674	Singapore
KY241727	Singapore
KY241682	Singapore
n15	Brazil
n164164	Brazil
KX369547	French Polynesia
MG827392	French Polynesia
KU761560	China
n172	China
LC219720	Japan
222_IonXpress_003_rawlib	Vietnam
MG548660	Thailand
n184184	Thailand
KY241673	Singapore
KY241766	Singapore
KY241686	Singapore
KY241694	Singapore
KY241690	Singapore
n188	Singapore
KY241706	Singapore
KY241716	Singapore
KY241721	Singapore
KY241671	Singapore
KY241749	Singapore
n189189	Singapore
KY241697	Singapore
n1515	Brazil
n1919	Brazil
n23	Brazil
n9898	Brazil
n102	Brazil
KY241788	Singapore
n124	Brazil
n159	Brazil
KX051563	USA
n165	Brazil
n172172	China
n174174	China
KX117076	China
MF996804	Thailand
MG548661	Thailand
KY241759	Singapore
KY241693	Singapore
KY241692	Singapore
KY241740	Singapore
KY241698	Singapore
n16	Argentina
n16	Brazil
n16	USA
n1616	Brazil
KY559021	Brazil
n20	Brazil
n2121	Brazil
n2323	Brazil
n98	Brazil
KY014313	Brazil
n9999	Brazil
KY559030	Brazil
n102102	Brazil
n124124	Brazil
n128128	Brazil
n158	Brazil
n159159	Brazil
n160	Brazil
KU509998	Haiti
n165165	Brazil
KU820899	China
KX185891	China
KU963796	China
n173	China
KX013000	China
n175	China
MK269360	USA
MT636065	Argentina
n17	Brazil
n1717	Brazil
KY785446	Brazil
n2020	Brazil
KY785483	Dominican Republic
n2222	Brazil
n24	Brazil
n64	Brazil
KY559023	Brazil
KY559024	Brazil
KY559018	Brazil
MK216724	Brazil
n100	Brazil
KY559031	Brazil
KY014309	Brazil
n100100	Brazil
n101	Brazil
KY014317	Brazil
KU497555	Brazil
KY785429	Brazil
n103	Brazil
n104	Brazil
n122122	Brazil
n125	Brazil
n126126	Colombia
n128	Brazil
n129	Brazil
n129129	Brazil
KY559000	Brazil
n158158	Brazil
KY559003	Brazil
KU729218	Brazil
KX101061	Brazil
n160160	Brazil
n166	Brazil
n166166	Brazil
n173173	China
n174	China
KX253996	China
KU955589	China
KX266255	China
KU997667	China
KU866423	China
KY559005	Brazil
KY559007	Brazil
n18	Brazil
KY559008	Brazil
MH882544	Brazil
MH882543	Brazil
n21	Brazil
KX197205	Brazil
KX830930	Brazil
n2424	Brazil
n2424	Honduras
n6262	Brazil
n63	Brazil
KY441401	Brazil
n6464	Brazil
n8282	Brazil
MH513600	Brazil
KY785479	Brazil
KY014301	Brazil
KY014320	Brazil
KY014296	Brazil
n101101	Brazil
KY785427	Brazil
KY558995	Brazil
KY559001	Brazil
n103103	Brazil
KY559002	Brazil
n104104	Brazil
n106	Brazil
n106106	Brazil
n106106	Colombia
KY558996	Brazil
KY558999	Brazil
KY558992	Brazil
KY558997	Brazil
n123	Brazil
n125125	Angola
KY559016	Brazil
MK049249	Colombia
n127	Colombia
MK049252	Colombia
MH513599	Brazil
KX280026	Brazil
KU527068	Brazil
KU926310	Brazil
n130	Brazil
n133	Brazil
n157	Brazil
MF073359	Brazil
MK216697	Brazil
MK216721	Brazil
n161	Brazil
KX101060	Brazil
KY558990	Brazil
KY558993	Brazil
n167	Brazil
KX197192	Brazil
KR872956	Brazil
KU321639	Brazil
MG674719	China
MG674718	China
KY967711	China
MF036115	China
KY559011	Brazil
KY559010	Brazil
KY559012	Brazil
KY559017	Brazil
KY559006	Brazil
n1818	Brazil
MH882546	Brazil
MH882548	Brazil
MH882545	Brazil
MH882547	Brazil
n25	Nicaragua
n2525	Honduras
MN473450	Canada
KY785410	Brazil
KY558991	Brazil
n6363	Brazil
KY559004	Brazil
n65	Brazil
n67	Brazil
n83	Brazil
n8383	Brazil
n8585	Brazil
n8686	Brazil
MH763833	Brazil
MH763832	Brazil
KU991811	Italy
KY559022	Brazil
n105	Brazil
n105105	Brazil
KY559015	Brazil
KY559014	Brazil
MN473453	Canada
n107	Colombia
n123123	Brazil
KY014307	Brazil
KY559027	Brazil
MK829152	Angola
n126	Angola
MK049248	Colombia
n127127	Ecuador
MH882529	Brazil
MH882542	Brazil
MH882527	Brazil
MH882528	Brazil
n130130	Brazil
KY558989	Brazil
n133133	Brazil
KY785426	Brazil
MF073358	Brazil
n157157	Brazil
n161161	Italy
n162	Brazil
MT078742	Brazil
MF352141	Brazil
n19	Brazil
KY559009	Brazil
KY765326	Nicaragua
KY765323	Nicaragua
n26	Honduras
n27	Honduras
n27	Nicaragua
