parameter	value
pastml_version	1.9.29.6
character	country
log_likelihood	-707.033470867809
log_likelihood_restricted_JOINT	-718.7696708481517
log_likelihood_restricted_MAP	-720.8278292840896
log_likelihood_restricted_MPPA	-709.9540487603938
method	MPPA
model	F81
num_nodes	1133
num_scenarios	94058496
num_states_per_node_avg	1.030891438658429
num_tips	747
num_unresolved_nodes	18
percentage_of_unresolved_nodes	1.588702559576346
scaling_factor	0.14589955886500675
smoothing_factor	0.276526448467753
state_changes_per_avg_branch	0.1439269791621739
Angola	0.0075724143471205575
Argentina	0.007487308390445763
Australia	0.0074873236298866885
Brazil	0.03841373753442034
Cambodia	0.007489782139644633
Canada	0.04478711960452867
Cape Verde	0.0074899355122387224
China	0.042786188174663044
Colombia	0.047314606886646564
Cuba	0.02354601481951682
Dominican Republic	0.039830141857784995
Ecuador	0.007488905350981923
El Salvador	0.007488113543856785
French Guiana	0.007489065937582723
French Polynesia	0.00768845878795568
Guatemala	0.022759780636127373
Guinea	8.215176045606839e-09
Haiti	0.022587709609024873
Honduras	0.008365536684848112
India	0.007511262293115668
Indonesia	0.00748751132710478
Italy	0.029968333822320406
Jamaica	0.029944955047955128
Japan	0.037137512528619736
Martinique	0.0075892058149654665
Mexico	0.09874394744252674
Micronesia	0.007487866387412578
Nicaragua	0.09405315897839125
Nigeria	8.215176045606839e-09
Panama	0.015324344452856355
Peru	0.0074876405467986405
Philippines	0.007486973467596685
Portugal	0.007489074140790516
Puerto Rico	0.015429731119293884
Russia	0.04482618227813561
Singapore	0.03143999007477281
South Korea	0.015079869945198512
Suriname	0.015237367716732465
Taiwan	0.015053899492164614
Thailand	0.009023105401531622
USA	0.11484620011409265
Venezuela	0.015064531684390644
Vietnam	0.00821517604560684
