accession	length	begin	end	type	collection_date	country	host	mol_type	strain	pubmed	organism	location_details	host_details
KJ776791	10269	0	10269	Asian	28-Nov-2013	French Polynesia	Homo sapiens	genomic RNA	H/PF/2013	24903869	Zika virus		
KF268949	10251	0	10251	African		Central African Republic	Aedes opok	genomic RNA		25514122	Zika virus		
KF268948	10266	0	10266	African	1976	Central African Republic	Aedes africanus	genomic RNA		25514122	Zika virus		
KX280026	10269	0	10269	Asian	2015	Brazil	Homo sapiens	genomic RNA		27555311	Zika virus		
MH513599	10269	0	10269	Asian	11-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Sinop, MT	
KX369547	10269	0	10269	Asian	25-Oct-2013	French Polynesia	Homo sapiens	genomic RNA	PF13/251013-18		Zika virus		
KX827268	10269	0	10269	Asian	01-Jan-2016	USA	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/USA/UT-1/2016	27681699	Zika virus		
KU527068	10269	0	10269	Asian	2015	Brazil	Homo sapiens	genomic RNA	Natal RGN	26862926	Zika virus	Rio Grande do Norte, Natal	
KU820897	10269	0	10269	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA		27654889	Zika virus	Barranquilla	
KX156774	10269	0	10269	Asian	18-Dec-2015	Panama	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/PAN/CDC-259359_V1-V3/2015		Zika virus		
KX842449	10269	0	10269	Asian	22-Jun-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Miami, Florida	
KY325472	10269	0	10269	Asian	23-Aug-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KR872956	10269	0	10269	Asian	2015	Brazil	Homo sapiens	genomic RNA	17829		Zika virus		
KU321639	10269	0	10269	Asian	Mar-2015	Brazil	Homo sapiens	genomic RNA	ZikaSPH2015	26941134	Zika virus		
MF783073	10269	0	10269	Asian	10-May-2016	Haiti	mosquito	viral cRNA	Zika virus/mosquito/Haiti/1919/2016		Zika virus		
KX922707	10269	0	10269	Asian	17-Aug-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KX838906	10269	0	10269	Asian	23-Aug-2016	USA	Aedes aegypti	genomic RNA		28538723	Zika virus	Miami, Florida	
KX838905	10269	0	10269	Asian	23-Aug-2016	USA	Aedes aegypti	genomic RNA		28538723	Zika virus	Miami, Florida	
KX922704	10269	0	10269	Asian	02-Aug-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Miami, Florida	
KU955593	10269	0	10269	Asian	2010	Cambodia	Homo sapiens	genomic RNA		27174284	Zika virus		
KX377337	10269	0	10269	Asian	Dec-2015	Puerto Rico	Homo sapiens	genomic RNA	PRVABC-59		Zika virus		
KU681081	10269	0	10269	Asian	19-Jul-2014	Thailand	Homo sapiens	genomic RNA		27174274	Zika virus		
KY325465	10269	0	10269	Asian	28-Sep-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KY325479	10269	0	10269	Asian	28-Sep-2016	USA	Homo sapiens	genomic RNA		28538723	Zika virus	Florida	
KY415986	10269	0	10269	Asian	29-May-2014	Haiti	Homo sapiens	genomic RNA			Zika virus		
KY415987	10269	0	10269	Asian	29-May-2014	Haiti	Homo sapiens	genomic RNA			Zika virus		
KY415990	10269	0	10269	Asian	02-Jun-2014	Haiti	Homo sapiens	genomic RNA			Zika virus		
KY415989	10269	0	10269	Asian	10-Jun-2014	Haiti	Homo sapiens	genomic RNA			Zika virus		
KY415991	10269	0	10269	Asian	24-Jun-2014	Haiti	Homo sapiens	genomic RNA			Zika virus		
