accession	length	begin	end	type	collection_date	country	host	mol_type	strain	pubmed	organism	location_details	host_details	country_code	continent	sub-region	region	int-region	location	host_type
MK560179	10269	0	10269	Asian	18-Jan-2018	Cuba	Homo sapiens	genomic RNA			Zika virus			CUB	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MK560178	10269	0	10269	Asian	09-Oct-2017	Cuba	Homo sapiens	genomic RNA			Zika virus			CUB	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MG976700	10260	12	10272	Asian	06-Jan-2014	French Polynesia	Homo sapiens	genomic RNA			Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
MK238039	9801	471	10272	Asian	11-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state		IND	Asia	Southern Asia	Asia	Southern Asia	Southern Asia	human
MK238038	10272	0	10272	Asian	15-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state		IND	Asia	Southern Asia	Asia	Southern Asia	Southern Asia	human
MK238037	10272	0	10272	Asian	10-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state		IND	Asia	Southern Asia	Asia	Southern Asia	Southern Asia	human
MK238036	10032	240	10272	Asian	10-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state		IND	Asia	Southern Asia	Asia	Southern Asia	Southern Asia	human
MK238035	10272	0	10272	Asian	18-Sep-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state		IND	Asia	Southern Asia	Asia	Southern Asia	Southern Asia	human
MH900227	10272	0	10272	Asian	2016	Mexico	Aedes aegypti larvae	genomic RNA			Zika virus	Morelos		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	mosquito
MH179341	10272	0	10272	Asian	10-Dec-2015	Colombia	Aedes aegypti	genomic RNA			Zika virus			COL	Americas	Latin America and the Caribbean	Americas	South America	South America	mosquito
MH882548	10272	0	10272	Asian	2016-06-09	Brazil	Homo sapiens	genomic RNA		30405055	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
