"name","assignment","length","begin","end","species","species-score","type","type support","subtype","subtype support"
"MK560179","","10269","0","10269","Zika Virus","","Asian","1000.0","",""
"MK560178","","10269","0","10269","Zika Virus","","Asian","1000.0","",""
"MG976700","","10260","12","10272","Zika Virus","","Asian","1000.0","",""
"MK238039","","9801","471","10272","Zika Virus","","Asian","1000.0","",""
"MK238038","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MK238037","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MK238036","","10032","240","10272","Zika Virus","","Asian","1000.0","",""
"MK238035","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH900227","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH179341","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882548","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882547","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882546","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882545","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882544","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882543","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882542","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882541","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882540","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882539","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882538","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882537","","10230","0","10230","Zika Virus","","Asian","1000.0","",""
"MH882536","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882535","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882534","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882533","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882532","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882531","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882530","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882529","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882528","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MH882527","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MK049252","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MK049251","","10020","252","10272","Zika Virus","","Asian","1000.0","",""
"MK049250","","10020","252","10272","Zika Virus","","Asian","1000.0","",""
"MK049249","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MK049248","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MK049247","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MK049246","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MK049245","","10272","0","10272","Zika Virus","","Asian","1000.0","",""
"MK105975","","10260","0","10260","Zika Virus","","African","1000.0","",""
"MG770186","","10209","60","10269","Zika Virus","","Asian","1000.0","",""
"MG770185","","9955","255","10210","Zika Virus","","Asian","1000.0","",""
"MG770184","","10269","0","10269","Zika Virus","","Asian","1000.0","",""
