accession	length	begin	end	type	collection_date	country	host	mol_type	strain	pubmed	organism	location_details	host_details
MT636065	10272.0	108.0	10379.0	Asian	02-Jan-2016	Argentina	Homo sapiens	genomic RNA			Zika virus		
MT483911	10272.0	108.0	10379.0	Asian	25-Jul-2016	Brazil	Homo sapiens	genomic RNA			Zika virus		
MT507050	10272.0	108.0	10379.0	Asian	2017	Mexico	Homo sapiens	genomic RNA			Zika virus		
MT507049	10272.0	108.0	10379.0	Asian	2017	Mexico	Homo sapiens	genomic RNA			Zika virus		
MT507048	10272.0	108.0	10379.0	Asian	2017	Mexico	Homo sapiens	genomic RNA			Zika virus		
MT507047	10272.0	108.0	10379.0	Asian	2017	Mexico	Homo sapiens	genomic RNA			Zika virus		
MT078742	10269.0	108.0	10376.0	Asian	29-Jun-2017	Brazil	Homo sapiens	genomic RNA			Zika virus		
MK269361	9997.0	108.0	10104.0	Asian	05-Aug-2016	USA	Homo sapiens	genomic RNA			Zika virus		
MK269359	10272.0	108.0	10379.0	Asian	18-Aug-2016	USA	Homo sapiens	genomic RNA			Zika virus		
MK269358	9807.0	573.0	10379.0	Asian	01-Sep-2016	USA	Homo sapiens	genomic RNA			Zika virus		
MK269355	10045.0	108.0	10152.0	Asian	02-Sep-2016	USA	Homo sapiens	genomic RNA			Zika virus		
MK269354	10272.0	108.0	10379.0	Asian	20-Aug-2016	USA	Homo sapiens	genomic RNA			Zika virus		
MK216748	9366.0	108.0	9473.0	Asian	15-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	
MK216747	9366.0	108.0	9473.0	Asian	15-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	
MK216745	10272.0	108.0	10379.0	Asian	08-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	
MK216744	9904.0	108.0	10011.0	Asian	07-Apr-2017	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216743	10272.0	108.0	10379.0	Asian	28-Mar-2017	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216742	10272.0	108.0	10379.0	Asian	29-Mar-2017	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216741	10272.0	108.0	10379.0	Asian	28-Mar-2017	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216740	8766.0	108.0	8873.0	Asian	27-Mar-2017	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216738	9648.0	108.0	9755.0	Asian	24-Mar-2017	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216737	8801.0	384.0	9184.0	Asian	22-Mar-2017	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	
MK216736	9077.0	108.0	9184.0	Asian	27-Mar-2017	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216734	8766.0	108.0	8873.0	Asian	20-Mar-2017	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216733	9366.0	108.0	9473.0	Asian	01-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216732	9366.0	108.0	9473.0	Asian	02-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216731	8766.0	108.0	8873.0	Asian	29-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216730	9366.0	108.0	9473.0	Asian	05-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216729	9366.0	108.0	9473.0	Asian	16-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216728	9366.0	108.0	9473.0	Asian	23-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216727	10272.0	108.0	10379.0	Asian	30-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216726	10214.0	108.0	10321.0	Asian	25-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216725	8801.0	384.0	9184.0	Asian	26-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216724	8766.0	108.0	8873.0	Asian	14-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216723	9366.0	108.0	9473.0	Asian	14-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216722	9648.0	108.0	9755.0	Asian	20-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216721	9648.0	108.0	9755.0	Asian	25-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216720	9648.0	108.0	9755.0	Asian	25-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216719	9648.0	108.0	9755.0	Asian	10-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216718	9648.0	108.0	9755.0	Asian	10-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216717	9648.0	108.0	9755.0	Asian	02-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216716	9648.0	108.0	9755.0	Asian	02-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216715	9648.0	108.0	9755.0	Asian	10-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216714	9648.0	108.0	9755.0	Asian	29-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216713	10272.0	108.0	10379.0	Asian	08-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216712	9366.0	108.0	9473.0	Asian	10-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216711	9366.0	108.0	9473.0	Asian	10-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216710	10272.0	108.0	10379.0	Asian	03-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216709	9648.0	108.0	9755.0	Asian	01-Mar-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216708	9366.0	108.0	9473.0	Asian	02-Mar-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216707	9366.0	108.0	9473.0	Asian	29-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216706	9366.0	108.0	9473.0	Asian	01-Mar-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216705	9366.0	108.0	9473.0	Asian	05-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216704	8766.0	108.0	8873.0	Asian	19-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216703	9648.0	108.0	9755.0	Asian	15-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	female
MK216699	10272.0	108.0	10379.0	Asian	16-May-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
MK216698	10272.0	108.0	10379.0	Asian	25-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus	Manaus, Amazonas	male
